Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1005,---,G10050,0.06,0.35,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1005,---,G10050,0.06,0.35,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C4D,1.0300,---,0.06,0.30-0.60,0.30,0.035,0.035,0.20,0.25,0.05,Cu 0.30; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C3D2,1.1110,---,0.05,0.30-0.50,0.30,0.020,0.025,0.10,0.10,0.05,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1006,---,G10060,0.08,0.25-0.40,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1006,---,G10060,0.08,0.25-0.40,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C7D,1.0313,---,0.05-0.09,0.30-0.60,0.30,0.035,0.035,0.20,0.25,0.05,Cu 0.30; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C5D2,1.1111,---,0.07,0.30-0.50,0.30,0.020,0.025,0.10,0.10,0.05,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1008,---,G10080,0.10,0.30-0.50,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 108-03,1008,---,G10080,0.10,0.30-0.50,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 576-90b (2000),1008,---,G10080,0.10,0.30-0.50,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1008,---,G10080,0.10,0.30-0.50,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C9D,1.0304,---,0.10,0.60,0.30,0.035,0.035,0.25,0.25,0.08,Cu 0.30
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C8D2,1.1113,---,0.06-0.10,0.30-0.50,0.30,0.020,0.025,0.10,0.10,0.05,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1010,---,G10100,0.08-0.13,0.30-0.60,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 108-03,1010,---,G10100,0.08-0.13,0.30-0.60,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 576-90b (2000),1010,---,G10100,0.08-0.13,0.30-0.60,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1010,---,G10100,0.08-0.13,0.30-0.60,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,JIS G 4051:1979,S 10 C,---,---,0.08-0.13,0.30-0.60,0.15-0.35,0.030,0.035,0.20,0.20,---,Cu 0.30; Ni+Cr 0.35
2.1 Chemical Composition of Carbon Steels for General Use,JIS G 4051:1979,S 09 CK,---,---,0.07-0.12,0.30-0.60,0.10-0.35,0.025,0.025,0.20,0.20,---,Cu 0.25; Ni+Cr 0.30
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C10D,1.0310,---,0.08-0.13,0.30-0.60,0.30,0.035,0.035,0.20,0.25,0.05,Cu 0.30; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C10D2,1.1114,---,0.08-0.12,0.30-0.50,0.30,0.020,0.025,0.10,0.10,0.05,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,EN 10084:1998,C10E,1.1121,---,0.07-0.13,0.30-0.60,0.40,0.035,≤ 0.035,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,EN 10084:1998,C10R,1.1207,---,0.07-0.13,0.30-0.60,0.40,0.035,0.020-0.040,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ISO 683-11:1987,C 10,---,---,0.07-0.13,0.30-0.60,0.15-0.40,0.035,0.035,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1012,---,G10120,0.10-0.15,0.30-0.60,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 576-90b (2000),1012,---,G10120,0.10-0.15,0.30-0.60,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1012,---,G10120,0.10-0.15,0.30-0.60,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,JIS G 4051:1979,S 12 C,---,---,0.10-0.15,0.30-0.60,0.15-0.35,0.030,0.035,.20,.20,---,Cu 0.30; Ni+Cr 0.35
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C12D,1.0311,---,0.10-0.15,0.30-0.60,0.30,0.035,0.035,0.20,0.25,0.05,Cu 0.30; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C12D2,1.1124,---,0.10-0.14,0.30-0.50,0.30,0.020,0.025,0.10,0.10,0.05,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1015,---,G10150,0.13-0.18,0.30-0.60,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1016,---,G10160,0.13-0.18,0.60-0.90,---,0.040,0.050,---,---,---,---
