Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,ASTM A 29/A 29M-03,1522,---,G15220,0.18-0.24,1.10-1.40,---,0.040,0.050,---,---,---,---
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,ASTM A 576-90b (2000),1522,---,G15220,0.18-0.24,1.10-1.40,---,0.040,0.050,---,---,---,---
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,SAE J403 NOV01,1522,---,G15220,0.18-0.24,1.10-1.40,---,0.030,0.050,---,---,---,---
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,JIS G 4053:2003,SMn 420,---,---,0.17-0.23,1.20-1.50,0.15-0.35,0.030,0.030,0.35,0.25,---,Cu 0.30
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,JIS G 4053:2003,SMnC 420,---,---,0.17-0.23,1.20-1.50,0.15-0.35,0.030,0.030,0.35-0.70,0.25,---,Cu 0.30
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,ISO 683-1:1987,22 Mn 6,---,---,0.19-0.26,1.30-1.60,0.10-0.40,0.035,0.035,---,---,---,---
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,ASTM A 29/A 29M-03,1536,---,G15360,0.30-0.37,1.20-1.50,---,0.040,0.050,---,---,---,---
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,ASTM A 576-90b (2000),1536,---,G15360,0.30-0.37,1.20-1.50,---,0.040,0.050,---,---,---,---
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,JIS G 4053:2003,SMn 433,---,---,0.30-0.36,1.20-1.50,0.15-0.35,0.030,0.030,0.35,0.25,---,Cu 0.30
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,EN 10083-1:1991,28Mn6,---,---,0.25-0.32,1.30-1.65,0.40,0.035,0.035,0.40,0.40,0.10,Cr+Ni+Mo 0.63
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,ISO 683-1:1987,28 Mn 6,---,---,0.25-0.32,1.30-1.65,0.10-0.40,0.035,0.035,---,---,---,---
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,SAE J403 NOV01,1541,---,G15410,0.36-0.44,1.35-1.65,---,0.030,0.050,---,---,---,---
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,ASTM A 29/A 29M-03,1541,---,G15410,0.36-0.44,1.35-1.65,---,0.040,0.050,---,---,---,---
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,ASTM A 576-90b (2000),1541,---,G15410,0.36-0.44,1.35-1.65,---,0.040,0.050,---,---,---,---
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,JIS G 4053:2003,SMn 438,---,---,0.35-0.41,1.35-1.65,0.15-0.35,0.030,0.030,0.35,0.25,---,Cu 0.30
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,ISO 683-1:1987,36 Mn 6,---,---,0.33-0.40,1.35-1.65,0.10-0.40,0.035,0.035,---,---,---,---
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,JIS G 4053:2003,SMn 443,---,---,0.40-0.46,1.35-1.65,0.15-0.35,0.030,0.030,0.35,0.25,---,Cu 0.30
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,JIS G 4053:2003,SMnC 443,---,---,0.40-0.46,1.35-1.65,0.15-0.35,0.030,0.030,0.35-0.70,0.25,---,Cu 0.30
2.2 Chemical Composition of High Manganese Carbon Steels for General Use,ISO 683-1:1987,42 Mn 6,---,---,0.39-0.46,1.30-1.65,0.10-0.40,0.035,0.035,---,---,---,---
