Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
2.3.1 Chromium (Cr) Steels,JIS G 4053:2003,SCr 415,---,---,0.13-0.18,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,---,Cu 0.30
2.3.1 Chromium (Cr) Steels,EN 10084:1998,17Cr3,1.7016,---,0.14-0.20,0.60-0.90,0.40,0.035,0.035,0.70-1.00,---,---,---
2.3.1 Chromium (Cr) Steels,EN 10084:1998,17CrS3,1.7014,---,0.14-0.20,0.60-0.90,0.40,0.035,0.020-0.040,0.70-1.00,---,---,---
2.3.1 Chromium (Cr) Steels,ASTM A 29/A 29M-03,5120,---,G51200,0.17-0.22,0.70-0.90,0.15-0.35,0.035,0.040,0.70-0.90,0.25,0.06,Cu 0.35
2.3.1 Chromium (Cr) Steels,ASTM A 322-91 (2001),5120,---,G51200,0.17-0.22,0.70-0.90,0.15-0.35,0.035,0.040,0.70-0.90,0.25,0.06,Cu 0.35
2.3.1 Chromium (Cr) Steels,SAE J404 JUN00,5120,---,G51200,0.17-0.22,0.70-0.90,0.15-0.35,0.030,0.040,0.70-0.90,0.25,0.06,Cu 0.35
2.3.1 Chromium (Cr) Steels,JIS G 4053:2003,SCr 420,---,---,0.18-0.23,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,---,Cu 0.30
2.3.1 Chromium (Cr) Steels,ISO 683-11:1987,20 Cr 4,---,---,0.17-0.23,0.60-0.90,0.15-0.40,0.035,0.035,0.90-1.20,---,---,---
2.3.1 Chromium (Cr) Steels,ISO 683-11:1987,20 CrS 4,---,---,0.17-0.23,0.60-0.90,0.15-0.40,0.035,0.020-0.040,0.90-1.20,---,---,---
2.3.1 Chromium (Cr) Steels,ASTM A 29/A 29M-03,5130,---,G51300,0.28-0.33,0.70-0.90,0.15-0.35,0.035,0.040,0.80-1.10,0.25,0.06,Cu 0.35
2.3.1 Chromium (Cr) Steels,ASTM A 322-91 (2001),5130,---,G51300,0.28-0.33,0.70-0.90,0.15-0.35,0.035,0.040,0.80-1.10,0.25,0.06,Cu 0.35
2.3.1 Chromium (Cr) Steels,SAE J404 JUN00,5130,---,G51300,0.28-0.33,0.70-0.90,0.15-0.35,0.030,0.040,0.80-1.10,0.25,0.06,Cu 0.35
2.3.1 Chromium (Cr) Steels,JIS G 4053:2003,SCr 430,---,---,0.28-0.33,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,---,Cu 0.30
2.3.1 Chromium (Cr) Steels,EN 10084:1998,28Cr4,1.7030,---,0.24-0.31,0.60-0.90,0.40,0.035,0.035,0.90-1.20,---,---,---
2.3.1 Chromium (Cr) Steels,EN 10084:1998,28CrS4,1.7036,---,0.24-0.31,0.60-0.90,0.40,0.035,0.020-0.040,0.90-1.20,---,---,---
2.3.1 Chromium (Cr) Steels,ASTM A 29/A 29M-03,5132,---,G51320,0.30-0.35,0.60-0.80,0.15-0.35,0.035,0.040,0.75-1.00,0.25,0.06,Cu 0.35
2.3.1 Chromium (Cr) Steels,ASTM A 322-91 (2001),5132,---,G51320,0.30-0.35,0.60-0.80,0.15-0.35,0.035,0.040,0.75-1.00,0.25,0.06,Cu 0.35
2.3.1 Chromium (Cr) Steels,SAE J404 JUN00,5132,---,G51320,0.30-0.35,0.60-0.80,0.15-0.35,0.030,0.040,0.75-1.00,0.25,0.06,Cu 0.35
2.3.1 Chromium (Cr) Steels,JIS G 4053:2003,SCr 435,---,---,0.33-0.38,0.60-0.85,0.15-0.35,0.035,0.030,0.90-1.20,0.25,---,Cu 0.30
2.3.1 Chromium (Cr) Steels,EN 10083-1:1991,34Cr4,1.7033,---,0.30-0.37,0.60-0.90,0.40,0.035,0.035,0.90-1.20,---,---,---
