Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,ASTM A 29/A 29M-03,4118,---,G41180,0.18–0.23,0.70–0.90,0.15-0.35,0.035,0.040,0.40–0.60,0.25,0.08–0.15,Cu 0.35
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,ASTM A 29/A 29M-03,4120,---,G41200,0.18–0.23,0.90–1.20,0.15-0.35,0.035,0.040,0.40–0.60,0.25,0.13–0.20,Cu 0.35
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,ASTM A 29/A 29M-03,4121,---,G41210,0.18–0.23,0.75–1.00,0.15-0.35,0.035,0.040,0.45–0.65,0.25,0.20–0.30,Cu 0.35
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,ASTM A 322-91 (2001),4118,---,G41180,0.18–0.23,0.70–0.90,0.15-0.35,0.035,0.040,0.40–0.60,0.25,0.08–0.15,Cu 0.35
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,ASTM A 322-91 (2001),---,---,G41200,0.18–0.23,0.90–1.20,0.15-0.35,0.035,0.040,0.40–0.60,0.25,0.13–0.20,Cu 0.35
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,ASTM A 322-91 (2001),---,---,G41210,0.18–0.23,0.75–1.00,0.15-0.35,0.035,0.040,0.45–0.65,0.25,0.20–0.30,Cu 0.35
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,SAE J404 JUN00,4118,---,G41180,0.18–0.23,0.70–0.90,0.15-0.35,0.030,0.040,0.40–0.60,0.25,0.08–0.15,Cu 0.35
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,SAE J404 JUN00,4120,---,G41200,0.18–0.23,0.90–1.20,0.15-0.35,0.030,0.040,0.40–0.60,0.25,0.13–0.20,Cu 0.35
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,JIS G 4053:2003,SCM 418,---,---,0.16-0.21,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,0.15-0.30,Cu 0.30
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,JIS G 4053:2003,SCM 420,---,---,0.18-0.23,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,0.15-0.30,Cu 0.30
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,JIS G 4053:2003,SCM 421,---,---,0.17-0.23,0.70-1.00,0.15-0.35,0.030,0.030,0.90-1.20,0.25,0.15-0.30,Cu 0.30
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,JIS G 4053:2003,SCM 822,---,---,0.20-0.25,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,0.35-0.45,Cu 0.30
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,EN 10084:1998,18CrMo4,1.7243,---,0.15-0.21,0.60-0.90,0.40,0.035,0.035,0.90-1.20,---,0.15-0.25,---
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,EN 10084:1998,18CrMoS4,1.7244,---,0.15-0.21,0.60-0.90,0.40,0.035,0.020-0.040,0.90-1.20,---,0.15-0.25,---
2.3.2 Chromium-Molybdenum (Cr-Mo) Steels,EN 10084:1998,22CrMoS3-5,1.7333,---,0.19-0.24,0.70-1.00,0.40,0.035,0.020-0.040,0.70-1.00,---,0.40-0.50,---
