Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ASTM A 29/A 29M-03,4137,---,G41370,0.35-0.40,0.70-0.90,0.15-0.35,0.035,0.040,0.80-1.10,0.25,0.15-0.25,Cu 0.35
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ASTM A 322-91 (2001),4137,---,G41370,0.35-0.40,0.70-0.90,0.15-0.35,0.035,0.040,0.80-1.10,0.25,0.15-0.25,Cu 0.35
2.3.3 Chromium-Nickel (Cr-Ni) Steels,SAE J404 JUN00,4137,---,G41370,0.35-0.40,0.70-0.90,0.15-0.35,0.030,0.040,0.80-1.10,0.25,0.15-0.25,Cu 0.35
2.3.3 Chromium-Nickel (Cr-Ni) Steels,JIS G 4053:2003,SCM 435,---,---,0.33-0.38,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,0.15-0.30,Cu 0.30
2.3.3 Chromium-Nickel (Cr-Ni) Steels,EN 10083-1:1991,34CrMo4,1.7220,---,0.30-0.37,0.60-0.90,0.40,0.035,0.035,0.90-1.20,---,0.15-0.30,---
2.3.3 Chromium-Nickel (Cr-Ni) Steels,EN 10083-1:1991,34CrMoS4,1.7226,---,0.30-0.37,0.60-0.90,0.40,0.035,0.020-0.040,0.90-1.20,---,0.15-0.30,---
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ISO 683-1:1987,34 CrMo 4,---,---,0.30-0.37,0.60-0.90,0.10-0.40,0.035,0.035,0.90-1.20,---,0.15-0.30,---
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ISO 683-1:1987,34 CrMoS 4,---,---,0.30-0.37,0.60-0.90,0.10-0.40,0.035,0.020-0.040,0.90-1.20,---,0.15-0.30,---
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ASTM A 29/A 29M-03,4140,---,G41400,0.38-0.43,0.75-1.00,0.15-0.35,0.035,0.040,0.80-1.10,0.25,0.15-0.25,Cu 0.35
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ASTM A 322-91 (2001),4140,---,G41400,0.38-0.43,0.75-1.00,0.15-0.35,0.035,0.040,0.80-1.10,0.25,0.15-0.25,Cu 0.35
2.3.3 Chromium-Nickel (Cr-Ni) Steels,SAE J404 JUN00,4140,---,G41400,0.38-0.43,0.75-1.00,0.15-0.35,0.030,0.040,0.80-1.10,0.25,0.15-0.25,Cu 0.35
2.3.3 Chromium-Nickel (Cr-Ni) Steels,JIS G 4053:2003,SCM 440,---,---,0.38-0.43,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,0.15-0.30,Cu 0.30
2.3.3 Chromium-Nickel (Cr-Ni) Steels,EN 10083-1:1991,42CrMo4,1.7225,---,0.38-0.45,0.60-0.90,0.40,0.035,0.035,0.90-1.20,---,0.15-0.30,---
2.3.3 Chromium-Nickel (Cr-Ni) Steels,EN 10083-1:1991,42CrMoS4,1.7227,---,0.38-0.45,0.60-0.90,0.40,0.035,0.020-0.040,0.90-1.20,---,0.15-0.30,---
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ISO 683-1:1987,42 CrMo 4,---,---,0.38-0.45,0.60-0.90,0.10-0.40,0.035,0.035,0.90-1.20,---,0.15-0.30,---
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ISO 683-1:1987,42 CrMoS 4,---,---,0.38-0.45,0.60-0.90,0.10-0.40,0.035,0.020-0.040,0.90-1.20,---,0.15-0.30,---
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ASTM A 29/A 29M-03,4145,---,G41450,0.43-0.48,0.75-1.00,0.15-0.35,0.035,0.040,0.80-1.10,0.25,0.15-0.25,Cu 0.35
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ASTM A 322-91 (2001),4145,---,G41450,0.43-0.48,0.75-1.00,0.15-0.35,0.035,0.040,0.80-1.10,0.25,0.15-0.25,Cu 0.35
2.3.3 Chromium-Nickel (Cr-Ni) Steels,SAE J404 JUN00,4145,---,G41450,0.43-0.48,0.75-1.00,0.15-0.35,0.030,0.040,0.80-1.10,0.25,0.15-0.25,Cu 0.35
2.3.3 Chromium-Nickel (Cr-Ni) Steels,JIS G 4053:2003,SCM 445,---,---,0.43-0.48,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,0.15-0.30,Cu 0.30
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ASTM A 29/A 29M-03,4150,---,G41500,0.48-0.53,0.75-1.00,0.15-0.35,0.035,0.040,0.80-1.10,0.25,0.15-0.25,Cu 0.35
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ASTM A 322-91 (2001),4150,---,G41500,0.48-0.53,0.75-1.00,0.15-0.35,0.035,0.040,0.80-1.10,0.25,0.15-0.25,Cu 0.35
2.3.3 Chromium-Nickel (Cr-Ni) Steels,SAE J404 JUN00,4150,---,G41500,0.48-0.53,0.75-1.00,0.15-0.35,0.030,0.040,0.80-1.10,0.25,0.15-0.25,Cu 0.35
2.3.3 Chromium-Nickel (Cr-Ni) Steels,EN 10083-1:1991,50CrMo4,1.7228,---,0.46-0.54,0.50-0.80,0.40,0.035,0.035,0.90-1.20,1.30-1.70,0.15-0.30,---
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ISO 683-1:1987,50 CrMo 4,---,---,0.46-0.54,0.50-0.80,0.10-0.40,0.035,0.035,0.90-1.20,---,0.15-0.30,---
2.3.3 Chromium-Nickel (Cr-Ni) Steels,ISO 683-11:1987,15 NiCr 13,,---,0.12-0.18,0.35-0.65,0.15-0.40,0.035,0.035,0.60-0.90,3.00-3.50,---,---
2.3.3 Chromium-Nickel (Cr-Ni) Steels,JIS G 4053:2003,SNC 815,---,---,0.12-0.18,0.35-0.65,0.15-0.35,0.30,0.30,0.60-1.00,3.00-3.50,---,Cu 0.30
