Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
2.3.4 Nickel-Chromium-Molybdenum (Ni-Cr-Mo) Steels,JIS G 4053:2003,SNCM 415,---,---,0.12-0.18,0.40-0.70,0.15-0.35,0.030,0.030,0.40-0.65,1.60-2.00,0.15-0.30,Cu 0.30
2.3.4 Nickel-Chromium-Molybdenum (Ni-Cr-Mo) Steels,ISO 683-11:1987,17 NiCrMo 6,---,---,0.14-0.20,0.60-0.90,0.15-0.40,0.035,0.035,0.80-1.10,1.20-1.60,0.15-0.25,---
2.3.4 Nickel-Chromium-Molybdenum (Ni-Cr-Mo) Steels,ASTM A 29/A 29M-03,4320,---,G43200,0.17-0.22,0.45-0.65,0.15-0.35,0.035,0.040,0.40-0.60,1.65-2.00,0.20-0.30,Cu 0.35
2.3.4 Nickel-Chromium-Molybdenum (Ni-Cr-Mo) Steels,ASTM A 322-91 (2001),4320,---,G43200,0.17-0.22,0.45-0.65,0.15-0.35,0.035,0.040,0.40-0.60,1.65-2.00,0.20-0.30,Cu 0.35
2.3.4 Nickel-Chromium-Molybdenum (Ni-Cr-Mo) Steels,SAE J404 JUN00,4320,---,G43200,0.17-0.22,0.45-0.65,0.15-0.35,0.030,0.040,0.40-0.60,1.65-2.00,0.20-0.30,Cu 0.35
2.3.4 Nickel-Chromium-Molybdenum (Ni-Cr-Mo) Steels,JIS G 4053:2003,SNCM 420,---,---,0.17-0.23,0.40-0.70,0.15-0.35,0.030,0.030,0.40-0.65,1.60-2.00,0.15-0.30,Cu 0.30
2.3.4 Nickel-Chromium-Molybdenum (Ni-Cr-Mo) Steels,EN 10084:1998,20NiCrMoS6-4,1.6571,---,0.16-0.23,0.50-0.90,0.40,0.035,0.020-0.040,0.60-0.90,1.40-1.70,0.25-0.35,---
2.3.4 Nickel-Chromium-Molybdenum (Ni-Cr-Mo) Steels,ASTM A 29/A 29M-03,4340,---,G43400,0.38-0.43,0.60-0.80,0.15-0.35,0.035,0.040,0.70-0.90,1.65-2.00,0.20-0.30,Cu 0.35
2.3.4 Nickel-Chromium-Molybdenum (Ni-Cr-Mo) Steels,ASTM A 29/A 29M-03,E4340,---,G43406,0.38-0.43,0.65-0.85,0.15-0.35,0.025,0.025,0.70-0.90,1.65-2.00,0.20-0.30,Cu 0.35
2.3.4 Nickel-Chromium-Molybdenum (Ni-Cr-Mo) Steels,ASTM A 322-91 (2001),4340,---,G43400,0.38-0.43,0.60-0.80,0.15-0.35,0.035,0.040,0.70-0.90,1.65-2.00,0.20-0.30,Cu 0.35
