Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
2.3.6 Boron (B) Steels,ASTM A 29/A 29M-03,50B44,---,G50441,0.43–0.48,0.75–1.00,0.15–0.35,0.035,0.040,0.20–0.60,0.25,0.06,B 0.0005-0.003; Cu 0.35
2.3.6 Boron (B) Steels,ASTM A 29/A 29M-03,50B46,---,G50461,0.44–0.49,0.75–1.00,0.15–0.35,0.035,0.040,0.20–0.35,0.25,0.06,B 0.0005-0.003; Cu 0.35
2.3.6 Boron (B) Steels,ASTM A 29/A 29M-03,50B50,---,G50501,0.48–0.53,0.75–1.00,0.15–0.35,0.035,0.040,0.40–0.60,0.25,0.06,B 0.0005-0.003; Cu 0.35
2.3.6 Boron (B) Steels,ASTM A 29/A 29M-03,50B60,---,G50601,0.56–0.64,0.75–1.00,0.15–0.35,0.035,0.040,0.40–0.60,0.25,0.06,B 0.0005-0.003; Cu 0.35
2.3.6 Boron (B) Steels,ASTM A 29/A 29M-03,51B60,---,G51601,0.56–0.64,0.75–1.00,0.15–0.35,0.035,0.040,0.70–0.90,0.25,0.06,B 0.0005-0.003; Cu 0.35
2.3.6 Boron (B) Steels,ASTM A 322-91 (2001),50B44,---,G50441,0.43–0.48,0.75–1.00,0.15–0.35,0.035,0.040,0.20–0.60,0.25,0.06,B 0.0005-0.003; Cu 0.35
2.3.6 Boron (B) Steels,ASTM A 322-91 (2001),50B46,---,G50461,0.44–0.49,0.75–1.00,0.15–0.35,0.035,0.040,0.20–0.35,0.25,0.06,B 0.0005-0.003; Cu 0.35
2.3.6 Boron (B) Steels,ASTM A 322-91 (2001),50B50,---,G50501,0.48–0.53,0.75–1.00,0.15–0.35,0.035,0.040,0.40–0.60,0.25,0.06,B 0.0005-0.003; Cu 0.35
2.3.6 Boron (B) Steels,ASTM A 322-91 (2001),50B60,---,G50601,0.56–0.64,0.75–1.00,0.15–0.35,0.035,0.040,0.40–0.60,0.25,0.06,B 0.0005-0.003; Cu 0.35
2.3.6 Boron (B) Steels,ASTM A 322-91 (2001),51B60,---,G51601,0.56–0.64,0.75–1.00,0.15–0.35,0.035,0.040,0.70–0.90,0.25,0.06,B 0.0005-0.003; Cu 0.35
2.3.6 Boron (B) Steels,SAE J404 JUN00,50B46,---,G50461,0.44–0.49,0.75–1.00,0.15–0.35,0.030,0.040,0.20–0.35,0.25,0.06,B 0.0005-0.003; Cu 0.35
2.3.6 Boron (B) Steels,SAE J404 JUN00,51B60,---,G51601,0.56–0.64,0.75–1.00,0.15–0.35,0.030,0.040,0.70–0.90,0.25,0.06,B 0.0005-0.003; Cu 0.35
2.3.6 Boron (B) Steels,EN 10083-3:1995,27MnCrB5-2,1.7182,---,0.24-0.30,1.10-1.40,0.40,0.035,0.040,0.30-0.60,---,---,B 0.0008-0.0050
2.3.6 Boron (B) Steels,EN 10083-3:1995,33MnCrB5-2,1.7185,---,0.30-0.36,1.20-1.50,0.40,0.035,0.040,0.30-0.60,---,---,B 0.0008-0.0050
2.3.6 Boron (B) Steels,EN 10083-3:1995,39MnCrB5-2,1.7189,---,0.36-0.42,1.40-1.70,0.40,0.035,0.040,0.30-0.60,---,---,B 0.0008-0.0050
