Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,E 185,---,---,---,---,---,---,---,---,---,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 283/A 283M-03,A,---,---,≤ 40,≤ 1.5,0.14,0.90,0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 283/A 283M-03,,,,> 40,> 1.5,0.14,0.90,0.15-0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S185,1.0035,---,≤ 16,---,---,---,---,---,---,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3101:1995,SS330,---,---,---,---,---,---,---,0.050,0.050,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 1011/A 1011M-03,30 [205],---,K02502,≤ 6.0,≤ 0.229,0.25,0.90,report value,0.035,0.04,0.15,0.20,0.06,Cb 0.008; V 0.008; Al report value; Cu see standard; Cu + Ni + Cr + Mo 0.50; Cr + Mo see standard
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,E 235 A,---,---,---,---,0.22,---,---,0.050,0.050,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,E 235 B,---,---,≤ 16,---,0.17,1.40,0.40,0.045,0.045,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,,,,16 < t ≤ 25,---,0.20,1.40,0.40,0.045,0.045,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,,,,≤ 40,---,0.17,1.40,0.40,0.045,0.045,---,---,---,Non-rimming
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,,,,> 40,---,0.20,1.40,0.40,0.045,0.045,---,---,---,Non-rimming
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,E 235 C,---,---,---,---,0.17,1.40,0.40,0.040,0.040,---,---,---,Non-rimming
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,E 235 D,---,---,---,---,0.17,1.40,0.40,0.035,0.035,---,---,---,Fine-grained
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 283/A 283M-03,B,---,---,≤ 40,≤ 1.5,0.17,0.90,0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 283/A 283M-03,,,,> 40,> 1.5,0.17,0.90,0.15-0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 1011/A 1011M-03,33 [230],---,K02502,≤ 6.0,≤ 0.229,0.25,0.90,report value,0.035,0.04,0.15,0.20,0.06,Cb 0.008; V 0.008; Al report value; Cu see standard; Cu + Ni + Cr + Mo 0.50; Cr + Mo see standard
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S235JR,1.0037,---,≤ 16,---,0.17,1.40,---,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.20,1.40,---,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S235JRG1,1.0036,---,≤ 16,---,0.17,1.40,---,0.045,0.045,---,---,---,N 0.007
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.20,1.40,---,0.045,0.045,---,---,---,N 0.007
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S235JRG2,1.0038,---,≤ 16,---,0.17,1.40,---,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.17,1.40,---,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.20,1.40,---,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S235J0,1.0114,---,≤ 16,---,0.17,1.40,---,0.040,0.040,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.17,1.40,---,0.040,0.040,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.17,1.40,---,0.040,0.040,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S235J2G3,1.0116,---,≤ 16,---,0.17,1.40,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.17,1.40,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.17,1.40,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S235J2G4,1.0117,---,≤ 16,---,0.17,1.40,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.17,1.40,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.17,1.40,---,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 1011/A 1011M-03,36 [250] Type 1,---,K02502,≤ 6.0,≤ 0.229,0.25,0.90,report value,0.035,0.04,0.15,0.20,0.06,Cb 0.008; V 0.008; Al report value; Cu see standard; Cu + Ni + Cr + Mo 0.50; Cr + Mo see standard
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 283/A 283M-03,C,---,K02401,≤ 40,≤ 1.5,0.24,0.90,0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 283/A 283M-03,,,,> 40,> 1.5,0.24,0.90,0.15-0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 1011/A 1011M-03,40 [275],---,K02502,≤ 6.0,≤ 0.229,0.25,0.90,report value,0.035,0.04,0.15,0.20,0.06,Cb 0.008; V 0.008; Al report value; Cu see standard; Cu + Ni + Cr + Mo 0.50; Cr + Mo see standard
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 36/A 36M-03a,---,---,K02595,≤ 20,≤ ¾,0.25,---,0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 36/A 36M-03a,,,K02596,20 < t ≤ 40,¾ < t ≤ 1½,0.25,0.80-1.20,0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 36/A 36M-03a,,,K02597,40 < t ≤ 65,1½ < t ≤ 2½,0.26,0.80-1.20,0.15-0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 36/A 36M-03a,,,K02598,65 < t ≤ 100,2½ < t ≤ 4,0.27,0.85-1.20,0.15-0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 36/A 36M-03a,,,K02599-,> 100,> 4,0.29,0.85-1.20,0.15-0.40,0.04,0.05,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 1011/A 1011M-03,36 [250] Type 2,---,K02502,≤ 6.0,≤ 0.229,0.25,1.35,report value,0.035,0.04,0.15,0.20,0.06,"Cb 0.008; V 0.008; Si, Al report value; Cu see standard; Cu + Ni + Cr + Mo 0.50; Cr + Mo see standard"
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 573/A 573M-00a,58 [400],---,K02301,≤ 13,≤ ½,0.23,0.60-0.90,0.10-0.35,0.035,0.04,---,---,---,---
