Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,260WT (38WT),---,---,---,---,0.20,0.80-1.50,0.15-0.40,0.03,0.04,---,---,---,grain refining elements 0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,260W (38W),---,---,≤ 40,≤ 1½,0.20,0.50-1.50,0.40,0.04,0.05,---,---,---,grain refining elements 0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,,,,> 40,> 1½,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,,,,>100,> 4,0.22,,,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,42 [290] Type 1,---,---,≤ 40,≤ 1½,0.21,1.35,0.40,0.04,0.05,---,---,---,Cb 0.005-0.05
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 150,1½ < t ≤ 6,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,42 [290] Type 2,---,---,≤ 40,≤ 1½,0.21,1.35,0.40,0.04,0.05,---,---,---,V 0.01-0.15
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 150,1½ < t ≤ 6,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,42 [290] Type 3,---,---,≤ 40,≤ 1½,0.21,1.35,0.40,0.04,0.05,---,---,---,Cb 0.005-0.05; V 0.01-0.15; Cb + V 0.02-0.15
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 150,1½ < t ≤ 6,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,42 [290] Type 4,---,---,≤ 40,≤ 1½,0.21,1.35,0.40,0.04,0.05,---,---,---,V 0.01-0.15; N 0.015 V:N > 4:1
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 150,1½ < t ≤ 6,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,42 [290] Type 5,---,---,≤ 40,≤ 1½,0.21,1.35,0.40,0.04,0.05,---,---,---,Ti 0.006-0.04; N 0.003-0.015; V 0.06
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 150,1½ < t ≤ 6,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 656/A 656M-03,50 [345] Type 3,---,---,---,---,0.18,1.65,0.60,0.025,0.035,---,---,---,V 0.08; N 0.020; Cb 0.008-0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 656/A 656M-03,50 [345] Type 7,---,---,---,---,0.18,1.65,0.60,0.025,0.035,---,---,---,V 0.15; N 0.020; Cb 0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 633/A 633M-01,A,---,K01802,≤ 100,≤ 4,0.18,1.00-1.35,0.15-0.50,0.035,0.04,---,---,---,Cb 0.05
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 709/A 709M-03a,50 [345] Type 1,---,---,≤ 40,≤ 1½,0.23,1.35,0.40,0.04,0.05,---,---,---,Cb 0.005-0.05
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 709/A 709M-03a,,,,40 < t ≤ 100,1½ < t ≤ 4,0.23,1.35,0.15-0.40,0.04,0.05,---,---,---,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 709/A 709M-03a,50 [345] Type 2,---,---,≤ 40,≤ 1½,0.23,1.35,0.40,0.04,0.05,---,---,---,V 0.01-0.15
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 709/A 709M-03a,,,,40 < t ≤ 100,1½ < t ≤ 4,0.23,1.35,0.15-0.40,0.04,0.05,---,---,---,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 709/A 709M-03a,50 [345] Type 3,---,---,≤ 40,≤ 1½,0.23,1.35,0.40,0.04,0.05,---,---,---,Cb 0.005-0.05; V 0.01-0.15; Cb + V 0.02-0.15
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 709/A 709M-03a,,,,40 < t ≤ 100,1½ < t ≤ 4,0.23,1.35,0.15-0.40,0.04,0.05,---,---,---,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 709/A 709M-03a,50 [345] Type 4,---,---,≤ 40,≤ 1½,0.23,1.35,0.40,0.04,0.05,---,---,---,V 0.01-0.15; N 0.015 V:N > 4:1
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 709/A 709M-03a,,,,40 < t ≤ 100,1½ < t ≤ 4,0.23,1.35,0.15-0.40,0.04,0.05,---,---,---,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 709/A 709M-03a,50 [345] Type 5,---,---,≤ 40,≤ 1½,0.23,1.35,0.40,0.04,0.05,---,---,---,Ti 0.006-0.04; V 0.01-0.15; N 0.015
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 709/A 709M-03a,,,,40 < t ≤ 100,1½ < t ≤ 4,0.23,1.35,0.15-0.40,0.04,0.05,---,---,---,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,50 [345] Type 1,---,---,≤ 40,≤ 1½,0.23,1.35,0.40,0.04,0.05,---,---,---,Cb 0.005-0.05
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 100,1½ < t ≤ 4,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,50 [345] Type 2,---,---,≤ 40,≤ 1½,0.23,1.35,0.40,0.04,0.05,---,---,---,V 0.01-0.15
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 100,1½ < t ≤ 4,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,50 [345] Type 3,---,---,≤ 40,≤ 1½,0.23,1.35,0.40,0.04,0.05,---,---,---,Cb 0.005-0.05; V 0.01-0.15; Cb + V 0.02-0.15
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 100,1½ < t ≤ 4,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,50 [345] Type 4,---,---,≤ 40,≤ 1½,0.23,1.35,0.40,0.04,0.05,---,---,---,V 0.01-0.15; N 0.015 V:N > 4:1
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 100,1½ < t ≤ 4,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,50 [345] Type 5,---,---,≤ 40,≤ 1½,0.23,1.35,0.40,0.04,0.05,---,---,---,Ti 0.006-0.04; N 0.003-0.015; V 0.06
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 100,1½ < t ≤ 4,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,EN 10113-3:1993,S355M,1.8823,---,≤ 63,---,0.14,1.60,0.50,0.035,0.030,---,0.30,0.20,Nb 0.05; V 0.10; Al 0.02 min; Ti 0.05; N 0.015
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,EN 10113-3:1993,S355ML,1.8834,---,≤ 63,---,0.14,1.60,0.50,0.030,0.025,---,0.30,0.20,Nb 0.05; V 0.10; Al 0.02 min; Ti 0.05; N 0.015
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,300WT (44WT),---,---,---,---,0.22,0.80-1.50,0.15-0.40,0.03,0.04,---,---,---,grain refining elements 0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,300W (44W),---,---,≤ 40,≤ 1½,0.22,0.50-1.50,0.40,0.04,0.05,---,---,---,grain refining elements 0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,,,,> 40,> 1½,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,,,,>100,> 4,0.23,,,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,EN 10113-2:1998,S355N,1.0545,---,≤ 150,---,0.20,0.90-1.65,0.50,0.035,0.030,0.30,0.30,0.10,Nb 0.05; V 0.05; Al 0.02 min; Ti 0.03; Cu 0.35; N 0.015
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,EN 10113-2:1998,S355NL,1.0546,---,≤ 150,---,0.18,0.90-1.65,0.50,0.030,0.025,0.30,0.50,0.10,Nb 0.05; V 0.12; Al 0.02 min; Ti 0.03; Cu 0.35; N 0.015
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 242/A 242M-03a,1,---,K11510,≤ 100,≤ 4,0.15,1.00,---,0.15,0.05,---,---,---,Cu 0.20
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,350WT (50WT),---,---,---,---,0.22,0.80-1.50,0.15-0.40,0.03,0.04,---,---,---,grain refining elements 0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,350W (50W),---,---,≤ 40,≤ 1½,0.23,0.50-1.50,0.40,0.04,0.05,---,---,---,grain refining elements 0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,,,,> 40,> 1½,,,0.15-0.40,,,,,,
