Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ISO 4950-2:1995,E 355 DD,---,---,---,---,0.18,0.9-1.6,0.50,0.030,0.030,0.25,0.30,0.10,Nb 0.015-0.060; V 0.02-0.10; Al 0.020 min; Ti 0.02-0.20; Cu 0.35
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ISO 4950-2:1995,E 355 E,---,---,---,---,0.18,0.9-1.6,0.50,0.025,0.025,0.25,0.30,0.10,Nb 0.015-0.060; V 0.02-0.10; Al 0.020 min; Ti 0.02-0.20; Cu 0.35
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ASTM A 709/A 709M-03a,50W [345W] Type A,---,---,---,---,0.19,0.80-1.25,0.30-0.65,0.04,0.05,0.40-0.65,0.40,---,Cu 0.25-0.40; V 0.02-0.10
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ASTM A 709/A 709M-03a,50W [345W] Type B,---,---,---,---,0.20,0.75-1.35,0.15-0.50,0.04,0.05,0.40-0.70,0.50,---,Cu 0.20-0.40; V 0.01-0.10
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ASTM A 709/A 709M-03a,50W [345W] Type C,---,---,---,---,0.15,0.80-1.35,0.15-0.40,0.04,0.05,0.30-0.50,0.25-0.50,---,Cu 0.20-0.50; V 0.01-0.10
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ASTM A 710/A 710M-02,Grade A Class 2,---,K20747,---,---,0.07,0.40-0.70,0.40,0.025,0.025,0.60-0.90,0.70-1.00,0.15-0.25,Cu 1.00-1.30; Cb 0.02 min
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-2:1996,S460Q,1.8908,---,---,---,0.20,1.70,0.80,0.025,0.015,1.50,2.0,0.70,N 0.015; B 0.0050; Cu 0.50; Nb 0.06; Ti 0.05; V 0.12; Zr 0.15
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-2:1996,S460QL,1.8906,---,---,---,0.20,1.70,0.80,0.020,0.010,1.50,2.0,0.70,N 0.015; B 0.0050; Cu 0.50; Nb 0.06; Ti 0.05; V 0.12; Zr 0.15
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-2:1996,S460QL1,1.8916,---,---,---,0.20,1.70,0.80,0.020,0.010,1.50,2.0,0.70,N 0.015; B 0.0050; Cu 0.50; Nb 0.06; Ti 0.05; V 0.12; Zr 0.15
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ISO 4950-3:1995,E 460 DD,---,---,---,---,0.20,0.7-1.7,0.55,0.035,0.035,see std,see std,see std,see standard
