Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ISO 5952:1998,Gr. HSA 235W Class B,---,---,---,---,0.13,0.20-0.60,0.10-0.40,0.040,0.035,0.40-0.80,0.65,---,Cu 0.25-0.55
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ISO 5952:1998,Gr. HSA 235W Class D,---,---,---,---,0.13,0.20-0.60,0.10-0.40,0.040,0.035,0.40-0.80,0.65,---,Cu 0.25-0.55; Al 0.020 min
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,EN 10155:1993,S235J0W,1.8958,---,≤ 100,---,0.13,0.20-0.60,0.40,0.040,0.040,0.40-0.80,0.65,---,N 0.009; Cu 0.25-0.55
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,EN 10155:1993,S235J2W,1.8961,---,≤ 100,---,0.13,0.20-0.60,0.40,0.040,0.035,0.40-0.80,0.65,---,Cu 0.25-0.55; N binding el.
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ISO 4952:2003,Gr. Fe 235W Quality B,---,---,---,---,0.13,0.20-0.60,0.10-0.40,0.040,0.035,0.40-0.80,0.65,---,Cu 0.20-0.55
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ISO 4952:2003,Gr. Fe 235W Quality C,---,---,---,---,0.13,0.20-0.60,0.10-0.40,0.040,0.035,0.40-0.80,0.65,---,Cu 0.20-0.55; grain-refining el.
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ISO 4952:2003,Gr. Fe 235W Quality D,---,---,---,---,0.13,0.20-0.60,0.10-0.40,0.040,0.035,0.40-0.80,0.65,---,Cu 0.20-0.55; grain-refining el.
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ISO 5952:1998,HSA 245W-B,---,---,---,---,0.18,1.25,0.15-0.65,0.035,0.035,0.45-0.75,0.05-0.30,---,Cu 0.30-0.50; Mo+Nb+Ti+V+Zr 0.15 Total
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,ISO 5952:1998,HSA 245W-D,---,---,---,---,0.18,1.25,0.15-0.65,0.035,0.035,0.45-0.75,0.05-0.30,---,Cu 0.30-0.50; Al 0.020 min; Mo+Nb+Ti+V+Zr 0.15 Total
3.3B Chemical Composition of Structural Steels with Improved Atmospheric Corrosion-Resistance,JIS G 3114:1998,SMA400AW,---,---,≤ 200,---,0.18,1.25,0.15-0.65,0.035,0.035,0.45-0.75,0.05-0.30,---,Cu 0.30-0.50
