Section,Standard Designation,"Grade, Class, Type, Symbol, or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.2B Chemical Composition of Carbon Steels for Pressure Vessel Plates - Impact Tested Below -20C,ISO 9328-4:1991,P 255 TN PH 255 TN,---,---,---,---,0.17,0.50-1.40,0.10-0.35,0.035,0.035,0.30,0.30,0.08,Cu 0.30; Nb 0.05; Ti 0.03; V 0.05; N 0.020; Al ≥ 0.020; Nb+Ti+V 0.05; Cr+Cu+Mo 0.45
4.2B Chemical Composition of Carbon Steels for Pressure Vessel Plates - Impact Tested Below -20C,ISO 9328-4:1991,PL 255 TN,---,---,---,---,0.15,,,0.030,0.030,,,,
4.2B Chemical Composition of Carbon Steels for Pressure Vessel Plates - Impact Tested Below -20C,EN 10028-3:2003,P275NL1,1.0488,---,---,---,0.16,0.80-1.50,0.40,0.025,0.015,0.30,0.30,0.08,Cu 0.30; Nb 0.05; Ti 0.03; V 0.05; N 0.012; Al ≥ 0.020; Nb+Ti+V 0.05; Cr+Cu+Mo 0.45
4.2B Chemical Composition of Carbon Steels for Pressure Vessel Plates - Impact Tested Below -20C,EN 10028-3:2003,P275NL2,1.1104,---,---,---,,,,0.020,0.010,,,,
4.2B Chemical Composition of Carbon Steels for Pressure Vessel Plates - Impact Tested Below -20C,ISO 9328-4:1991,P 285 TN PH 285 TN,---,---,---,---,0.18,0.50-1.40,0.10-0.40,0.035,0.035,0.30,0.30,0.08,Cu 0.30; Nb 0.05; Ti 0.03; V 0.05; N 0.020; Al ≥ 0.020; Nb+Ti+V 0.05; Cr+Cu+Mo 0.45
4.2B Chemical Composition of Carbon Steels for Pressure Vessel Plates - Impact Tested Below -20C,ISO 9328-4:1991,PL 285 TN,---,---,---,---,0.16,,,0.030,0.030,,,,
4.2B Chemical Composition of Carbon Steels for Pressure Vessel Plates - Impact Tested Below -20C,ASTM A 662/A 662M-03,A,---,K01701,---,---,0.14,0.90-1.35,0.15-0.40,0.035,0.035,---,---,---,---
4.2B Chemical Composition of Carbon Steels for Pressure Vessel Plates - Impact Tested Below -20C,JIS G 3126:2000,"SLA 235 A,B",---,---,6 ≤ t ≤ 50,---,0.15,0.70-1.50,0.15-0.30,0.030,0.025,---,---,---,---
4.2B Chemical Composition of Carbon Steels for Pressure Vessel Plates - Impact Tested Below -20C,JIS G 3126:2000,"SLA 325 A,B",---,---,6 ≤ t ≤ 32,---,0.16,0.80-1.60,0.15-0.55,0.030,0.025,---,---,---,---
4.2B Chemical Composition of Carbon Steels for Pressure Vessel Plates - Impact Tested Below -20C,ASTM A 662/A 662M-03,B,---,K02203,---,---,0.19,0.85-1.50,0.15-0.40,0.035,0.035,---,---,---,---
