Section,Standard Designation,"Grade, Class, Type, Symbol, or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,EN 10028-2:2003,16Mo3,1.5415,---,---,---,0.12-0.20,0.40-0.90,0.35,0.025,0.010,0.30,0.30,0.25-0.35,N 0.012; Cu 0.30; Al/N>2
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ISO 9328-2:1991,16 Mo 3,---,---,---,---,0.12-0.20,0.40-0.90,0.35,0.035,0.030,0.30,---,0.25-0.35,Cu 0.30
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,EN 10028-2:2003,18MnMo4-5,1.5414,---,---,---,0.20,0.90-1.50,0.40,0.015,0.005,0.30,0.30,0.45-0.60,N 0.012; Cu 0.30
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 204/A 204M-03,A,---,K11820,≤ 25,≤ 1,0.18,0.90,0.15-0.40,0.035,0.035,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 204/A 204M-03,,,,25 < t ≤ 50,1 < t ≤ 2,0.21,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 204/A 204M-03,,,,50 < t ≤ 100,2 < t ≤ 4,0.23,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 204/A 204M-03,,,,> 100,> 4,0.25,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3103:1987,SB 450 M,---,---,≤ 25,---,0.18,0.90,0.15-0.30,0.035,0.040,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3103:1987,,,,25 < t ≤ 50,---,0.21,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3103:1987,,,,50 < t ≤ 100,---,0.23,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3103:1987,,,,100 < t ≤ 150,---,0.25,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3103:1987,SB 480 M,---,---,≤ 25,---,0.20,0.90,0.15-0.30,0.035,0.040,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3103:1987,,,,25 < t ≤ 50,---,0.23,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3103:1987,,,,50 < t ≤ 100,---,0.25,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3103:1987,,,,100 < t ≤ 150,---,0.27,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 204/A 204M-03,B,---,K12020,≤ 25,≤ 1,0.20,0.90,0.15-0.40,0.035,0.035,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 204/A 204M-03,,,,25 < t ≤ 50,1 < t ≤ 2,0.23,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 204/A 204M-03,,,,50 < t ≤ 100,2 < t ≤ 4,0.25,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 204/A 204M-03,,,,> 100,> 4,0.27,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 204/A 204M-03,C,---,K12320,≤ 25,≤ 1,0.23,0.90,0.15-0.40,0.035,0.035,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 204/A 204M-03,,,,25 < t ≤ 50,1 < t ≤ 2,0.26,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 204/A 204M-03,,,,50 < t ≤ 100,2 < t ≤ 4,0.28,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 204/A 204M-03,,,,> 100,> 4,0.28,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 302/A 302M-03,A,---,K12021,≤ 25,≤ 1,0.20,0.95-1.30,0.15-0.40,0.035,0.035,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 302/A 302M-03,,,,25 < t ≤ 50,1 < t ≤ 2,0.23,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 302/A 302M-03,,,,> 50,> 2,0.25,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3119:1987,SBV 1 A,---,---,≤ 25,---,0.20,0.95-1.30,0.15-0.30,0.035,0.040,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3119:1987,,,,25 < t ≤ 50,---,0.23,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3119:1987,,,,50 < t ≤ 150,---,0.25,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3124:1987,SEV 295,---,---,6 ≤ t ≤ 150,---,0.19,0.80-1.60,0.15-0.60,0.035,0.035,---,---,0.10-0.40,Cu 0.35; Nb 0.05; V 0.10
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3119:1987,SBV 1 B,---,---,≤ 25,---,0.20,1.15-1.50,0.15-0.30,0.035,0.040,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3119:1987,,,,25 < t ≤ 50,---,0.23,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3119:1987,,,,50 < t ≤ 150,---,0.25,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 302/A 302M-03,B,---,K12022,≤ 25,≤ 1,0.20,1.15-1.50,0.15-0.40,0.035,0.035,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 302/A 302M-03,,,,25 < t ≤ 50,1 < t ≤ 2,0.23,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 302/A 302M-03,,,,> 50,> 2,0.25,,,,,,,,
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3120:1987,SQV 1 A,---,---,---,---,0.25,1.15-1.50,0.15-0.30,0.035,0.040,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 533/A 533M-93 (1999),"Type A, Class 1",---,K12521,---,---,0.25,1.15-1.50,0.15-0.40,0.035,0.035,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3124:1987,SEV 345,---,---,6 ≤ t ≤ 150,---,0.19,0.80-1.70,0.15-0.60,0.035,0.035,---,---,0.15-0.50,Cu 0.35; Nb 0.05; V 0.10
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,JIS G 3120:1987,SQV 1 B,---,---,---,---,0.25,1.15-1.50,0.15-0.30,0.035,0.040,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 533/A 533M-93 (1999),"Type A, Class 2",---,K12521,---,---,0.25,1.15-1.50,0.15-0.40,0.035,0.035,---,---,0.45-0.60,---
4.3A Chemical Composition of 1/2 Mo Alloy Steels for Pressure Vessel Plates,ASTM A 533/A 533M-93 (1999),"Type A, Class 3",,,,,,,,,,,,,
