Section,Standard Designation,"Grade, Class, Type, Symbol, or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.5.4A Chemical Composition of 3.5Ni Alloy Steels for Pressure Vessel Plates,JIS G 3127:2000,SL3N255,---,---,6 ≤ t ≤ 50,---,0.15,0.70,0.30,0.025,0.025,---,3.25-3.75,---,---
4.5.4A Chemical Composition of 3.5Ni Alloy Steels for Pressure Vessel Plates,ASTM A 203/A 203M-97 (2003),D,---,K31718,≤ 50,≤ 2,0.17,0.70,0.15-0.40,0.035,0.035,---,3.25-3.75,---,---
4.5.4A Chemical Composition of 3.5Ni Alloy Steels for Pressure Vessel Plates,ASTM A 203/A 203M-97 (2003),,,,50 < t ≤ 100,2 < t ≤ 4,0.20,0.80,0.15-0.40,0.035,0.035,---,3.25-3.75,---,---
4.5.4A Chemical Composition of 3.5Ni Alloy Steels for Pressure Vessel Plates,ISO 9328-3:1991,12 Ni 14 G1,---,---,3 ≤ t ≤ 50,---,0.15,0.30-0.80,0.35,0.025,0.020,---,3.25-3.75,---,V 0.05
4.5.4A Chemical Composition of 3.5Ni Alloy Steels for Pressure Vessel Plates,ISO 9328-3:1991,12 Ni 14 G2,---,---,3 ≤ t ≤ 50,---,0.15,0.30-0.80,0.35,0.025,0.020,---,3.25-3.75,---,V 0.05
4.5.4A Chemical Composition of 3.5Ni Alloy Steels for Pressure Vessel Plates,JIS G 3127:2000,SL3N275,---,---,6 ≤ t ≤ 50,---,0.17,0.70,0.30,0.025,0.025,---,3.25-3.75,---,---
4.5.4A Chemical Composition of 3.5Ni Alloy Steels for Pressure Vessel Plates,ASTM A 203/A 203M-97 (2003),E,---,K32018,≤ 50,≤ 2,0.20,0.70,0.15-0.40,0.035,0.035,---,3.25-3.75,---,---
4.5.4A Chemical Composition of 3.5Ni Alloy Steels for Pressure Vessel Plates,ASTM A 203/A 203M-97 (2003),,,,50 < t ≤ 100,2 < t ≤ 4,0.23,0.80,0.15-0.40,0.035,0.035,---,3.25-3.75,---,---
4.5.4A Chemical Composition of 3.5Ni Alloy Steels for Pressure Vessel Plates,EN 10028-4:2003,12Ni14,1.5637,---,---,---,0.15,0.30-0.80,0.35,0.020,0.010,---,3.25-3.75,---,V 0.05
4.5.4A Chemical Composition of 3.5Ni Alloy Steels for Pressure Vessel Plates,JIS G 3127:2000,SL3N440,---,---,6 ≤ t ≤ 50,---,0.15,0.70,0.30,0.025,0.025,---,3.25-3.75,---,---
4.5.4A Chemical Composition of 3.5Ni Alloy Steels for Pressure Vessel Plates,ASTM A 203/A 203M-97 (2003),F,---,---,≤ 50,≤ 2,0.20,0.70,0.15-0.40,0.035,0.035,---,3.25-3.75,---,---
4.5.4A Chemical Composition of 3.5Ni Alloy Steels for Pressure Vessel Plates,ASTM A 203/A 203M-97 (2003),,,,50 < t ≤ 100,2 < t ≤ 4,0.23,0.80,0.15-0.40,0.035,0.035,---,3.25-3.75,---,---
