Section,Standard Designation,"Grade, Class, Type, Symbol, or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.6.1A Chemical Composition of 1/4Ni-1/8Mo Alloy Steels for Pressure Vessel Plates,ASTM A 533/A 533M-93 (1999),Type B Class 1,---,K12539,---,---,0.25,1.15-1.50,0.15-0.40,0.035,0.035,---,0.40-0.70,0.45-0.60,---
4.6.1A Chemical Composition of 1/4Ni-1/8Mo Alloy Steels for Pressure Vessel Plates,JIS G 3120:1987,SQV 2 A,---,---,---,---,0.25,1.15-1.50,0.15-0.30,0.035,0.040,---,0.40-0.70,0.45-0.60,---
4.6.1A Chemical Composition of 1/4Ni-1/8Mo Alloy Steels for Pressure Vessel Plates,JIS G 3119:1987,SBV 2,---,---,≤ 25,---,0.20,1.15-1.50,0.15-0.30,0.035,0.040,---,0.40-0.70,0.45-0.60,---
4.6.1A Chemical Composition of 1/4Ni-1/8Mo Alloy Steels for Pressure Vessel Plates,JIS G 3119:1987,,,,25 < t ≤ 50,---,0.23,,,,,,,,
4.6.1A Chemical Composition of 1/4Ni-1/8Mo Alloy Steels for Pressure Vessel Plates,JIS G 3119:1987,,,,50 < t ≤ 150,---,0.25,,,,,,,,
4.6.1A Chemical Composition of 1/4Ni-1/8Mo Alloy Steels for Pressure Vessel Plates,ASTM A 302/A 302M-03,C,---,K12039,≤ 25,≤ 1,0.20,1.15-1.50,0.15-0.40,0.035,0.035,---,0.40-0.70,0.45-0.60,---
4.6.1A Chemical Composition of 1/4Ni-1/8Mo Alloy Steels for Pressure Vessel Plates,ASTM A 302/A 302M-03,,,,25 < t ≤ 50,1 < t ≤ 2,0.23,,,,,,,,
4.6.1A Chemical Composition of 1/4Ni-1/8Mo Alloy Steels for Pressure Vessel Plates,ASTM A 302/A 302M-03,,,,> 50,> 2,0.25,,,,,,,,
4.6.1A Chemical Composition of 1/4Ni-1/8Mo Alloy Steels for Pressure Vessel Plates,EN 10028-2:2003,20MnMoNi4-5,1.6311,---,---,---,0.15-0.23,1.00-1.50,0.40,0.020,0.010,0.20,0.40-0.80,0.45-0.60,N 0.012; Cu 0.20; V 0.02
4.6.1A Chemical Composition of 1/4Ni-1/8Mo Alloy Steels for Pressure Vessel Plates,ASTM A 533/A 533M-93 (1999),Type B Class 2,---,K12539,---,---,0.25,1.15-1.50,0.15-0.40,0.035,0.035,---,0.40-0.70,0.45-0.60,---
4.6.1A Chemical Composition of 1/4Ni-1/8Mo Alloy Steels for Pressure Vessel Plates,JIS G 3120:1987,SQV 2 B,---,---,---,---,0.25,1.15-1.50,0.15-0.30,0.035,0.040,---,0.40-0.70,0.45-0.60,---
4.6.1A Chemical Composition of 1/4Ni-1/8Mo Alloy Steels for Pressure Vessel Plates,ASTM A 533/A 533M-93 (1999),Type B Class 3,---,K12539,---,---,0.25,1.15-1.50,0.15-0.40,0.035,0.035,---,0.40-0.70,0.45-0.60,---
