Section,Standard Designation,"Grade, Class, Type, Symbol, or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.6.2A Chemical Composition of 3/4Ni-1/2Mo Alloy Steels for Pressure Vessel Plates,ASTM A 533/A 533M-93 (1999),"Type C, Class 1",---,K12554,---,---,0.25,1.15-1.50,0.15-0.40,0.035,0.035,---,0.70-1.00,0.45-0.60,---
4.6.2A Chemical Composition of 3/4Ni-1/2Mo Alloy Steels for Pressure Vessel Plates,JIS G 3119:1987,SBV 3,---,---,≤ 25,---,0.20,1.15-1.50,0.15-0.30,0.035,0.040,---,0.70-1.00,0.45-0.60,---
4.6.2A Chemical Composition of 3/4Ni-1/2Mo Alloy Steels for Pressure Vessel Plates,JIS G 3119:1987,,,,25 < t ≤ 50,---,0.23,1.15-1.50,0.15-0.30,0.035,0.040,---,0.70-1.00,0.45-0.60,---
4.6.2A Chemical Composition of 3/4Ni-1/2Mo Alloy Steels for Pressure Vessel Plates,JIS G 3119:1987,,,,50 < t ≤ 150,---,0.25,1.15-1.50,0.15-0.30,0.035,0.040,---,0.70-1.00,0.45-0.60,---
4.6.2A Chemical Composition of 3/4Ni-1/2Mo Alloy Steels for Pressure Vessel Plates,ASTM A 302/A 302M-03,D,---,K12054,≤ 25,≤ 1,0.20,1.15-1.50,0.15-0.40,0.035,0.035,---,0.70-1.00,0.45-0.60,---
4.6.2A Chemical Composition of 3/4Ni-1/2Mo Alloy Steels for Pressure Vessel Plates,ASTM A 302/A 302M-03,,,,25 < t ≤ 50,1 < t ≤ 2,0.23,1.15-1.50,0.15-0.40,0.035,0.035,---,0.70-1.00,0.45-0.60,---
4.6.2A Chemical Composition of 3/4Ni-1/2Mo Alloy Steels for Pressure Vessel Plates,ASTM A 302/A 302M-03,,,,> 50,> 2,0.25,1.15-1.50,0.15-0.40,0.035,0.035,---,0.70-1.00,0.45-0.60,---
4.6.2A Chemical Composition of 3/4Ni-1/2Mo Alloy Steels for Pressure Vessel Plates,JIS G 3120:1987,SQV 3 A,---,---,---,---,0.25,1.15-1.50,0.15-0.30,0.035,0.040,---,0.70-1.00,0.45-0.60,---
4.6.2A Chemical Composition of 3/4Ni-1/2Mo Alloy Steels for Pressure Vessel Plates,EN 10028-2:2003,15NiCuMoNb 5-6-4,1.6368,---,---,---,0.17,0.80-1.20,0.25-0.50,0.025,0.010,0.30,1.00-1.30,0.25-0.50,N 0.020; Cu 0.50-0.80; Nb 0.015-0.045
4.6.2A Chemical Composition of 3/4Ni-1/2Mo Alloy Steels for Pressure Vessel Plates,ASTM A 533/A 533M-93 (1999),"Type C, Class 2",---,K12554,---,---,0.25,1.15-1.50,0.15-0.40,0.035,0.035,---,0.70-1.00,0.45-0.60,---
4.6.2A Chemical Composition of 3/4Ni-1/2Mo Alloy Steels for Pressure Vessel Plates,JIS G 3120:1987,SQV 3 B,---,---,---,---,0.25,1.15-1.50,0.15-0.30,0.035,0.040,---,0.70-1.00,0.45-0.60,---
4.6.2A Chemical Composition of 3/4Ni-1/2Mo Alloy Steels for Pressure Vessel Plates,ASTM A 533/A 533M-93 (1999),"Type C, Class 3",---,K12554,---,---,0.25,1.15-1.50,0.15-0.40,0.035,0.035,---,0.70-1.00,0.45-0.60,---
