Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,405,---,S40500,---,---,0.08,1.00,1.00,0.040,0.030,11.5-14.5,0.60,---,Al 0.10-0.30
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNi12,1.4003,---,---,---,0.030,1.50,1.00,0.040,0.015,10.50-12.50,0.30-1.00,---,N 0.030
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,---,---,S40975,---,---,0.030,1.00,1.00,0.040,0.030,10.5-11.7,0.50-1.00,---,N 0.030; Ti 6 x (C+N) to 0.75
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X6CrNiTi12,1.4516,---,---,---,0.08,1.50,0.70,0.040,0.015,10.50-12.50,0.50-1.50,---,Ti 0.05-0.35
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,---,---,S41500,---,---,0.05,0.50-1.00,0.60,0.030,0.030,11.5-14.0,3.5-5.5,0.50-1.00,---
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X3CrNiMo13-4,1.4313,---,---,---,0.05,1.50,0.70,0.040,0.015,12.00-14.00,3.50-4.50,0.30-0.70,N 0.020
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,439,---,S43035,---,---,0.030,1.00,1.00,0.040,0.030,17.0-19.0,0.50,---,Ti [0.20+4(C+N)] to 1.10 N 0.030; Al 0.15
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X3CrTi17,1.4510,---,---,---,0.05,1.00,1.00,0.040,0.015,16.00-18.00,---,---,Ti [4 x (C+N)+0.15] to 0.80
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,---,---,S43932,---,---,0.030,1.00,1.00,0.040,0.030,17.0-19.0,0.50,---,(Ti+Cb) [0.20+4(C+N)] to 0.75 N 0.030; Al 0.15
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,---,---,S43940,---,---,0.030,1.00,1.00,0.040,0.015,17.5-18.5,---,---,Ti 0.10-0.60; Cb [0.30+(3 x C)] min
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrTiNb18,1.4509,---,---,---,0.030,1.00,1.00,0.040,0.015,17.50-18.50,---,---,Ti 0.10-0.60; Nb [3 x C+0.30] to 1.00
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,444,---,S44400,---,---,0.025,1.00,1.00,0.040,0.030,17.5-19.5,1.00,1.75-2.50,(Ti+Cb) [0.20+4(C+N)] to 0.80; N 0.035
4.7A Chemical Composition of Ferritic and Martensitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrMoTi18-2,1.4521,---,---,---,0.025,1.00,1.00,0.040,0.015,17.00-20.00,---,1.80-2.50,Ti [4 x (C+N)+0.15] to 0.80; N 0.030
