Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,301LN,---,S30153,---,---,0.03,2.00,1.00,0.045,0.030,16.0-18.0,6.0-8.0,---,N 0.07-0.20
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiN18-7,1.4318,---,---,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,6.00-8.00,---,N 0.10-0.20
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,304,---,S30400,---,---,0.08,2.00,0.75,0.045,0.030,18.0-20.0,8.0-10.5,---,N 0.10
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X5CrNi18-10,1.4301,---,---,---,0.07,2.00,1.00,0.045,0.015,17.00-19.50,8.00-10.50,---,N 0.11
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 5 CrNi 18 9,---,---,---,---,0.07,2.00,1.00,0.045,0.030,17.00-19.00,8.00-11.00,---,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,304H,---,S30409,---,---,0.04-0.10,2.00,0.75,0.045,0.030,18.0-20.0,8.0-10.5,---,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X6CrNi18-10,1.4948,---,---,---,0.04-0.08,2.00,1.00,0.035,0.015,17.00-19.00,8.00-11.00,---,N 0.11
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 7 CrNi 18 9,---,---,---,---,0.04-0.10,2.00,1.00,0.045,0.030,17.00-19.00,8.00-11.00,---,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,304L,---,S30403,---,---,0.030,2.00,0.75,0.045,0.030,18.0-20.0,8.0-12.0,---,N 0.10
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiN18-9,1.4307,---,---,---,0.030,2.00,1.00,0.045,0.015,17.50-19.50,8.00-10.00,---,N 0.11
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNi19-11,1.4306,---,---,---,0.030,2.00,1.00,0.045,0.015,18.00-20.00,10.00-12.00,---,N 0.11
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 2 CrNi 18 10,---,---,---,---,0.030,2.00,1.00,0.045,0.030,17.00-19.00,9.00-12.00,---,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,304N,---,S30451,---,---,0.08,2.00,0.75,0.045,0.030,18.0-20.0,8.0-10.5,---,N 0.10-0.16
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X5CrNiN19-9,1.4315,---,---,---,0.06,2.00,1.00,0.045,0.015,18.00-20.00,8.00-11.00,---,N 0.12-0.22
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,304LN,---,S30453,---,---,0.030,2.00,0.75,0.045,0.030,18.0-20.0,8.0-12.0,---,N 0.10-0.16
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiN18-10,1.4311,---,---,---,0.030,2.00,1.00,0.045,0.015,17.00-19.50,8.50-11.50,---,N 0.12-0.22
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 2 CrNiN 18 10,---,---,---,---,0.030,2.00,1.00,0.045,0.030,17.00-19.00,8.50-11.50,---,N 0.12-0.22
