Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.9A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,2205,---,S32205,---,---,0.030,2.00,1.00,0.030,0.020,22.0-23.0,4.5-6.5,3.0-3.5,N 0.14-0.20
4.9A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiMoN22-5-3,1.4462,---,---,---,0.030,2.00,1.00,0.035,0.015,21.00-23.00,4.50-6.50,2.50-3.50,N 0.10-0.22
4.9A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,2304,---,S32304,---,---,0.030,2.50,1.00,0.040,0.030,21.5-24.5,3.0-5.5,0.05-0.60,N 0.05-0.20; Cu 0.05-0.60
4.9A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiN23-4,1.4362,---,---,---,0.030,2.00,1.00,0.035,0.015,22.00-24.00,3.50-5.50,0.10-0.60,N 0.05-0.20; Cu 0.10-0.60
4.9A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,---,---,S32520,---,---,0.030,1.50,0.80,0.035,0.020,24.0-26.0,5.5-8.0,3.0-4.0,N 0.20-0.35; Cu 0.50-2.00
4.9A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiMoCuN25-6-3,1.4507,---,---,---,0.030,2.00,0.70,0.035,0.015,24.00-26.00,5.50-7.50,2.70-4.00,N 0.15-0.30; Cu 1.00-2.50
4.9A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,2507,---,S32750,---,---,0.030,1.20,0.80,0.035,0.020,24.0-26.0,6.0-8.0,3.0-5.0,N 0.24-0.32; Cu 0.50
4.9A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiMoN25-7-4,1.4410,---,---,---,0.030,2.00,1.00,0.035,0.015,24.00-26.00,6.00-8.00,3.00-4.50,N 0.20-0.35
4.9A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,---,---,S32760,---,---,0.030,1.00,1.00,0.030,0.010,24.0-26.0,6.0-8.0,3.0-4.0,N 0.20-0.30; Cu 0.50-1.00; W 0.50-1.00
4.9A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiMoCuWN25-7-4,1.4501,---,---,---,0.030,1.00,1.00,0.035,0.015,24.00-26.00,6.00-8.00,3.00-4.00,N 0.20-0.30; Cu 0.50-1.00; W 0.50-1.00
