Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,API 5L-2004,"A25, Class I, PSL 1 seamless",---,---,0.21,0.60,---,0.030,0.030,---,---,---,---
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,API 5L-2004,"A25, Class II, PSL 1 seamless",---,---,0.21,0.60,---,0.045-0.080,0.030,---,---,---,---
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,API 5L-2004,"A25, Class I, PSL 1 welded",---,---,0.21,0.60,---,0.030,0.030,---,---,---,---
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,API 5L-2004,"A25, Class II, PSL 1 welded",---,---,0.21,0.60,---,0.045-0.080,0.030,---,---,---,---
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,ISO 3183-1:1996,"L175, Class I S/NE/CE*",---,---,0.21,0.30-0.60,---,0.030,0.030,---,---,---,see standard
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,ISO 3183-1:1996,"L175, Class II S/NE/CE*",---,---,0.21,0.30-0.60,---,0.045-0.080,0.030,---,---,---,see standard
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,ISO 3183-1:1996,"L175, Class I W/EW/CW*",---,---,0.21,0.30-0.60,---,0.030,0.030,---,---,---,see standard
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,ISO 3183-1:1996,"L175, Class II W/EW/CW*",---,---,0.21,0.30-0.60,---,0.045-0.080,0.030,---,---,---,see standard
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,API 5L-2004,"A, PSL 1 seamless",---,---,0.22,0.90,---,0.030,0.030,---,---,---,---
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,API 5L-2004,"A, PSL 1 welded",---,---,0.22,0.90,---,0.030,0.030,---,---,---,---
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,EN 10208-1:1997,L210GA,1.0319,---,0.21,0.90,0.40,0.030,0.030,---,---,---,AL 0.015-0.060; Nb+V+Ti 0.15
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,ISO 3183-1:1996,L210 S/NE/CE*,---,---,0.22,0.90,---,0.030,0.030,---,---,---,see standard
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,ISO 3183-1:1996,L210 W/NE/CE*,---,---,0.21,0.90,---,0.030,0.030,---,---,---,see standard
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,API 5L-2004,"B, PSL 1 seamless",---,---,0.28,1.20,---,0.030,0.030,---,---,---,Cb+V 0.03; Ti 0.04; Cb+V+Ti 0.15
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,API 5L-2004,"B, PSL 1 welded",---,---,0.26,1.20,---,0.030,0.030,---,---,---,Cb+V 0.03; Ti 0.04; Cb+V+Ti 0.15
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,CSA Z245.1-2002,241 - Category I,---,---,0.26,2.00,0.50,0.030,0.035,---,---,---,Nb 0.11; Ti 0.11; V 0.11; B 0.001 CE 0.40 (see standard)
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,EN 10208-1:1997,L245GA,1.0459,---,0.20,1.15,0.40,0.030,0.030,---,---,---,AL 0.015-0.060; Nb+V+Ti 0.15
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,ISO 3183-1:1996,L245 S/NE/CE*,---,---,0.27,1.15,---,0.030,0.030,---,---,---,see standard
5.10.1B Chemical Composition of Line Pipe Steels Without Notch Toughness Requirements,ISO 3183-1:1996,L245 W/NE/CE*,---,---,0.26,1.15,---,0.030,0.030,---,---,---,see standard
