Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ASTM A 1005/A 1005M-00,35,---,---,0.16,---,---,---,---,---,---,---,B 0.0007; CE 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,API 5L-2004,"B, PSL 2 seamless",---,---,0.24,1.20,---,0.025,0.015,---,---,---,Cb+V+Ti 0.15; Cb+V 0.06; Ti 0.04
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,API 5L-2004,"B, PSL 2 welded",---,---,0.22,1.20,---,0.025,0.015,---,---,---,Cb+V+Ti 0.15; Cb+V 0.06; Ti 0.04
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,CSA Z245.1-2002,241 - Category II or III,---,---,0.26,2.00,0.50,0.030,0.035,---,---,---,Nb 0.11; Ti 0.11; V 0.11; B 0.001; CE 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ASTM A 984/A 984M-03,35,---,---,0.22,---,---,0.025,0.015,---,---,---,B 0.0007; CE 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,EN 10208-2:1996,L245NB seamless and welded,1.0457,---,0.16,1.1,0.40,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; Al:N ≥ 2; CEV 0.42 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,EN 10208-2:1996,L245MB welded,1.0418,---,0.16,1.5,0.45,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; V 0.04; Nb 0.04; Al:N ≥ 2; CEV 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ISO 3183-2:1996,L245NB seamless and welded,---,---,0.16,1.1,0.40,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; Al:N ≥ 2; CEV 0.42 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ISO 3183-2:1996,L245MB welded,---,---,0.16,1.5,0.45,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; V 0.04; Nb 0.04; Al:N ≥ 2; CEV 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,API 5L-2004,"X 42, PSL 2 seamless",---,---,0.24,1.30,---,0.025,0.015,---,---,---,Cb+V+Ti 0.15; Ti 0.04
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,API 5L-2004,"X 42, PSL 2 welded",---,---,0.22,1.30,---,0.025,0.015,---,---,---,Cb+V+Ti 0.15; Ti 0.04
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,CSA Z245.1-2002,290 - Category II or III,---,---,0.26,2.00,0.50,0.030,0.035,---,---,---,Nb 0.11; Ti 0.11; V 0.11; B 0.001; CE 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,EN 10208-2:1996,L290NB seamless and welded,1.0484,---,0.17,1.2,0.40,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; Ti 0.04; V 0.05; Nb 0.05; Al:N ≥ 2; CEV 0.42 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,EN 10208-2:1996,L290MB welded,1.0429,---,0.16,1.5,0.45,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; V 0.04; Nb 0.04; Al:N ≥ 2; CEV 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ISO 3183-2:1996,L290NB seamless and welded,---,---,0.17,1.2,0.40,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; Ti 0.04; V 0.05; Nb 0.05; Al:N ≥ 2; CEV 0.42 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ISO 3183-2:1996,L290MB welded,---,---,0.16,1.5,0.45,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; V 0.04; Nb 0.04; Al:N ≥ 2; CEV 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,API 5L-2004,"X46, PSL 2 seamless",---,---,0.24,1.40,---,0.025,0.015,---,---,---,Cb+V+Ti 0.15; Ti 0.04
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,API 5L-2004,"X46, PSL 2 welded",---,---,0.22,1.40,---,0.025,0.015,---,---,---,Cb+V+Ti 0.15; Ti 0.04
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,CSA Z245.1-2002,317 - Category II or III,---,---,0.26,2.00,0.50,0.030,0.035,---,---,---,Nb 0.11; Ti 0.11; V 0.11; B 0.001; CE 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,API 5L-2004,"X52, PSL 2 seamless",---,---,0.24,1.40,---,0.025,0.015,---,---,---,Cb+V+Ti 0.15; Ti 0.04
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,API 5L-2004,"X52, PSL 2 welded",---,---,0.22,1.40,---,0.025,0.015,---,---,---,Cb+V+Ti 0.15; Ti 0.04
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,CSA Z245.1-2002,359 - Category II or III,---,---,0.26,2.00,0.50,0.030,0.035,---,---,---,Nb 0.11; Ti 0.11; V 0.11; B 0.001; CE 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,EN 10208-2:1996,L360NB seamless and welded,1.0582,---,0.20,1.6,0.45,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; Ti 0.04; V 0.10; Nb 0.05; Al:N ≥ 2; Nb+V+Ti 0.15; CEV 0.45 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,EN 10208-2:1996,L360QB seamless,1.8948,---,0.16,1.4,0.45,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; Ti 0.04; V 0.05; Nb 0.05; Al:N ≥ 2; CEV 0.42 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,EN 10208-2:1996,L360MB welded,1.0578,---,0.16,1.6,0.45,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; Ti 0.04; V 0.05; Nb 0.05; Al:N ≥ 2; CEV 0.41 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ISO 3183-2:1996,L360NB seamless and welded,---,---,0.20,1.6,0.45,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; Ti 0.04; V 0.10; Nb 0.05; Al:N ≥ 2; CEV 0.45 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ISO 3183-2:1996,L360QB seamless,---,---,0.16,1.4,0.45,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; Ti 0.04; V 0.05; Nb 0.05; Al:N ≥ 2; Nb+V+Ti 0.15; CEV 0.42 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ISO 3183-2:1996,L360MB welded,---,---,0.16,1.6,0.45,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; Ti 0.04; V 0.05; Nb 0.05; Al:N ≥ 2; CEV 0.41 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ASTM A 984/A 984M-03,50,---,---,0.22,---,---,0.025,0.015,---,---,---,B 0.0007; CE 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,API 5L-2004,"X56, PSL 2 seamless",---,---,0.24,1.40,---,0.025,0.015,---,---,---,Cb+V+Ti 0.15; Ti 0.04
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,API 5L-2004,"X56, PSL 2 welded",---,---,0.22,1.40,---,0.025,0.015,---,---,---,Cb+V+Ti 0.15; Ti 0.04
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,CSA Z245.1-2002,386 - Category II or III,---,---,0.26,2.00,0.50,0.030,0.035,---,---,---,Nb 0.11; Ti 0.11; V 0.11; B 0.001; CE 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,API 5L-2004,"X60, PSL 2 seamless",---,---,0.24,1.40,---,0.025,0.015,---,---,---,Cb+V+Ti 0.15; Ti 0.04
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,API 5L-2004,"X60, PSL 2 welded",---,---,0.22,1.40,---,0.025,0.015,---,---,---,Cb+V+Ti 0.15; Ti 0.04
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,CSA Z245.1-2002,414 - Category II or III,---,---,0.26,2.00,0.50,0.030,0.035,---,---,---,Nb 0.11; Ti 0.11; V 0.11; B 0.001; CE 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ASTM A 1005/A 1005M-00,60,---,---,0.16,---,---,---,---,---,---,---,B 0.0007; CE 0.40 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,EN 10208-2:1996,L415NB seamless and welded,1.8972,---,0.21,1.6,0.45,0.025,0.020,0.30,0.30,0.35,Al 0.015-0.060; N 0.0012; Cu 0.25; Nb+V+Ti 0.15; Ti 0.04; V 0.15; Nb 0.05; Al:N ≥ 2; CEV by agreement (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,EN 10208-2:1996,L415QB seamless,1.8947,---,0.16,1.6,0.45,0.025,0.020,0.30,0.30,0.35,Al 0.015-0.060; N 0.0012; Cu 0.25; Nb+V+Ti 0.15; Ti 0.04; V 0.08; Nb 0.05; Al:N ≥ 2; CEV 0.43 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,EN 10208-2:1996,L415MB welded,1.8973,---,0.16,1.6,0.45,0.025,0.020,0.30,0.30,0.10,Al 0.015-0.060; N 0.0012; Cu 0.25; Nb+V+Ti 0.15; Ti 0.06; V 0.08; Nb 0.05; Al:N ≥ 2; CEV 0.42 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ISO 3183-2:1996,L415NB seamless and welded,---,---,0.21,1.6,0.45,0.025,0.020,0.30,0.30,0.35,Al 0.015-0.060; N 0.0012; Cu 0.25; Nb+V+Ti 0.15; Ti 0.04; V 0.15; Nb 0.05; Al:N ≥ 2; CEV by agreement (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ISO 3183-2:1996,L415QB seamless,---,---,0.16,1.6,0.45,0.025,0.020,0.30,0.30,0.35,Al 0.015-0.060; N 0.0012; Cu 0.25; Nb+V+Ti 0.15; Ti 0.04; V 0.08; Nb 0.05; Al:N ≥ 2; CEV 0.43 (see standard)
5.10.2B Chemical Composition of Line Pipe Steels With Notch Toughness Requirements,ISO 3183-2:1996,L415MB welded,---,---,0.16,1.6,0.45,0.025,0.020,0.30,0.30,0.35,Al 0.015-0.060; N 0.0012; Cu 0.25; Nb+V+Ti 0.15; Ti 0.06; V 0.08 Nb 0.05; Al:N ≥ 2; CEV 0.42 (see standard)
