Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,EN 10296-1:2003,E155,1.0033,---,0.11,0.70,0.35,0.045,0.045,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,EN 10305-3:2002,E155,1.0033,---,0.11,0.70,0.35,0.025,0.025,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,EN 10305-2:2002,E155,1.0033,---,0.11,0.70,0.05,0.025,0.025,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,ASTM A 512-96 (2001)*,1008,---,---,0.10,0.50,---,0.040,0.045,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,ASTM A 513-03a*,1008,---,G10080,0.10,0.50,---,0.035,0.035,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,ISO 3304:1985,R28,---,---,0.10,0.30,---,0.040,0.040,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,ISO 3305:1985,R28,---,---,0.13,0.60,---,0.050,0.050,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,ISO 3306:1985,R28,---,---,0.13,0.60,---,0.050,0.050,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,EN 10296-1:2003,E190,1.0031,---,0.10,0.70,0.35,0.045,0.045,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,EN 10305-3:2002,E190,1.0031,---,0.10,0.70,0.35,0.025,0.025,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,ASTM A 512-96 (2001)*,1010,---,---,0.08-0.13,0.30-0.60,---,0.040,0.045,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,ASTM A 512-96 (2001)*,MT 1010,---,G10100,0.05-0.15,0.30-0.60,---,0.04,0.045,---,---,---,--
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,ASTM A 513-03a*,1010,---,G10100,0.08-0.13,0.30-0.60,---,0.035,0.035,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,EN 10305-1:2002,E215,1.0212,---,0.10,0.70,0.05,0.025,0.025,---,---,---,Al 0.025 min
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,ASTM A 512-96 (2001)*,1012,---,G10120,0.10-0.15,0.30-0.60,---,0.040,0.045,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,JIS G 3444:1994,STK290,---,---,---,---,---,0.050,0.050,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,JIS G 3445:1988,STKM 11 A,---,---,0.12,0.60,0.35,0.040,0.040,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,JIS G 3452:1997,SGP,---,---,---,---,---,0.040,0.040,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,EN 10305-3:2002,E195,1.0034,---,0.15,0.70,0.35,0.025,0.025,---,---,---,---
5.1B Chemical Composition of Carbon Steel Tubes for General and Structural Applications,EN 10305-2:2002,E195,1.0034,---,0.15,0.70,0.35,0.025,0.025,---,---,---,---
