Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,ASTM A 519-03,4028,---,G40280,0.25-0.30,0.70-0.90,0.15-0.35,0.040,0.035-0.050,---,---,0.20-0.30,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,EN 10305-1:2002,26Mo2,1.5417,---,0.22-0.29,1.50,0.40,0.035,0.035,---,0.40,0.15-0.25,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,JIS G 3441:1988,SCM 418 TK,---,---,0.16-0.21,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,0.15-0.30,Cu 0.30
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,JIS G 3441:1988,SCM 420 TK,---,---,0.18-0.23,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,0.15-0.30,Cu 0.30
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,EN 10297-1:2003,25CrMo4,1.7218,---,0.22-0.29,0.60-0.90,0.40,0.035,0.035,0.90-1.20,---,0.15-0.30,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,EN 10305-1:2002,25CrMo4,1.7218,---,0.22-0.29,0.60-0.90,0.40,0.035,0.035,0.90-1.20,---,0.15-0.30,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,ASTM A 513-03a*,4130,---,G41300,0.28-0.33,0.40-0.60,0.15-0.35,0.035,0.040,0.80-1.10,---,0.15-0.25,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,ASTM A 519-03,4130,---,G41300,0.28-0.33,0.40-0.60,0.15-0.35,0.040,0.040,0.80-1.10,---,0.15-0.25,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,EN 10297-1:2003,30CrMo4,1.7216,---,0.27-0.34,0.35-0.60,0.35,0.035,0.035,0.80-1.15,---,0.15-0.30,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,JIS G 3441:1988,SCM 430 TK,---,---,0.28-0.33,0.60-0.85,0.25-0.35,0.030,0.030,0.90-1.20,0.25,0.15-0.30,Cu 0.30
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,ASTM A 519-03,4135,---,G41350,0.33-0.38,0.70-0.90,0.15-0.35,0.040,0.040,0.80-1.10,---,0.15-0.25,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,JIS G 3441:1988,SCM 435 TK,---,---,0.33-0.38,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,0.15-0.30,Cu 0.30
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,EN 10297-1:2003,34CrMo4,1.7220,---,0.30-0.37,0.60-0.90,0.40,0.035,0.035,0.90-1.20,---,0.15-0.30,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,ASTM A 519-03,4137,---,G41370,0.35-0.40,0.70-0.90,0.15-0.35,0.040,0.040,0.80-1.10,---,0.15-0.25,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,ASTM A 513-03a*,4140,---,G41400,0.38-0.43,0.75-1.00,0.15-0.35,0.035,0.040,0.80-1.10,---,0.15-0.25,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,ASTM A 519-03,4140,---,G41400,0.38-0.43,0.75-1.00,0.15-0.35,0.040,0.040,0.80-1.10,---,0.15-0.25,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,JIS G 3441:1988,SCM 440 TK,---,---,0.38-0.43,0.60-0.85,0.15-0.35,0.030,0.030,0.90-1.20,0.25,0.15-0.30,Cu 0.30
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,EN 10297-1:2003,42CrMo4,1.7225,---,0.38-0.45,0.60-0.90,0.40,0.035,0.035,0.90-1.20,---,0.15-0.30,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,EN 10305-1:2002,42CrMo4,1.7225,---,0.38-0.45,0.60-0.90,0.40,0.035,0.035,0.90-1.20,---,0.15-0.30,---
5.2A Chemical Composition of Alloy Steel Tubes for General and Structural Applications,ASTM A 519-03,4142,---,G41420,0.40-0.45,0.75-1.00,0.15-0.35,0.040,0.040,0.80-1.10,---,0.15-0.25,---
