Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,ASTM A 268/A 268M-03,TP405,---,S40500,0.08,1.00,1.00,0.040,0.030,11.5-14.5,0.50,---,Al 0.10-0.30
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,ASTM A 511-96,MT 405,---,---,0.08,1.00,1.00,0.040,0.030,11.5-14.5,0.50,---,Al 0.10-0.30
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X6CrAl13,1.4002,---,0.08,1.00,1.00,0.040,0.015,12.00-14.00,---,---,Al 0.10-0.30
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,ASTM A 268/A 268M-03,TP410,---,S41000,0.15,1.00,1.00,0.040,0.030,11.5-13.5,---,---,---
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,ASTM A 511-96,MT 410,---,---,0.15,1.00,1.00,0.040,0.030,11.5-13.5,0.50,---,---
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,JIS G 3446:1994,SUS410TKA,---,---,0.15,1.00,1.00,0.040,0.030,11.50-13.50,---,---,---
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,JIS G 3446:1994,SUS410TKC,---,---,0.15,1.00,1.00,0.040,0.030,11.50-13.50,---,---,---
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X12Cr13,1.4006,---,0.08-0.15,1.50,1.00,0.040,0.015,11.50-13.50,0.75,---,---
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,ASTM A 268/A 268M-03,TP409,---,S40900,0.08,1.00,1.00,0.045,0.030,10.5-11.7,0.50,---,Ti 6 x C to 0.75
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,BS 6323-8:1982 AMD 2:1989,LW 12,---,---,0.06,0.60,0.90,0.040,0.020,11.0-13.0,0.50,---,N 0.025; Ti 5 x C to 0.70
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,BS 6323-8:1982 AMD 2:1989,LW 19,---,---,0.08,1.00,1.00,0.040,0.030,10.5-12.5,1.00,---,Ti 6 x C to 1.00
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,DIN 17455:1999,X2CrTi12,1.4512,---,0.030,1.00,1.00,0.040,0.015,10.50-12.50,---,---,Ti 6 x (C+N) to 0.65
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X2CrTi12,1.4512,---,0.030,1.00,1.00,0.040,0.015,10.50-12.50,---,---,Ti 6 x (C+N) to 0.65
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,ASTM A 268/A 268M-03,TP430,---,S43000,0.12,1.00,1.00,0.040,0.030,16.0-18.0,---,---,---
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,ASTM A 554-03,MT-430,---,---,0.12,1.00,1.00,0.040,0.030,16.0-18.0,0.50,---,---
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,ASTM A 511-96,MT 430,---,---,0.12,1.00,1.00,0.040,0.030,16.0-18.0,0.50,---,---
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,JIS G 3446:1994,SUS430TKA,---,---,0.12,1.00,0.75,0.040,0.030,16.00-18.00,---,---,---
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,JIS G 3446:1994,SUS430TKC,---,---,0.12,1.00,0.75,0.040,0.030,16.00-18.00,---,---,---
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,DIN 17455:1999,X6Cr17,1.4016,---,0.08,1.00,1.00,0.040,0.015,16.00-18.00,---,---,Al 0.10-0.30
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X6Cr17,1.4016,---,0.08,1.00,1.00,0.040,0.015,16.00-18.00,---,---,---
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,AFNOR NF A 49-647:1979,TS Z 8 C 17,---,---,0.10,1.0,1.00,0.040,0.030,16-18,0.50,---,---
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,ASTM A 268/A 268M-03,TP439,---,S43035,0.07,1.00,1.00,0.040,0.030,17.00-19.00,0.50,---,Al 0.15; N 0.04; Ti 0.20 + 4 (C + N) to 1.10
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,DIN 17455:1999,X3CrTi17,1.4510,---,0.05,1.00,1.00,0.040,0.015,16.00-18.00,---,---,Ti 4 x (C+N)+0.15 to 0.80
5.3.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X3CrTi17,1.4510,---,0.05,1.00,1.00,0.040,0.015,16.00-18.00,---,---,Ti 4 x (C+N)+0.15 to 0.80
