Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 269-02a,TP304,---,S30400,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.0-11.0,---,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 511-96,MT 304,---,---,0.08,2.00,1.00,0.040,0.030,18.0-20.0,8.0-11.0,---,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 554-03,MT-304,---,---,0.08,2.00,1.00,0.040,0.030,18.0-20.0,8.0-11.0,---,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 632-02a,TP 304,---,S30400,0.08,2.00,0.75,0.045,0.030,18.0-20.0,8.0-11.0,---,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,JIS G 3446:1994,SUS304TKA,---,---,0.08,2.00,1.00,0.040,0.030,18.00-20.00,8.00-11.00,---,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,JIS G 3446:1994,SUS304TKC,---,---,0.08,2.00,1.00,0.040,0.030,18.00-20.00,8.00-11.00,---,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,BS 6323-8:1982 AMD 2:1989,LW 21,---,---,0.06,2.00,1.00,0.045,0.030,17.5-19.0,8.0-11.0,---,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,BS 6323-8:1982 AMD 2:1989,LWCF 21,---,---,0.06,2.00,1.00,0.045,0.030,17.5-19.0,8.0-11.0,---,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17455:1999,X5CrNi18-10,1.4301,---,0.07,2.00,1.00,0.045,0.015,17.00-19.50,8.00-10.50,---,N 0.11
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X5CrNi18-10,1.4301,---,0.07,2.0,1.00,0.045,0.015,17.00-19.50,8.00-10.50,---,N 0.11
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,AFNOR NF A 49-647:1979,TS Z 6 CN 18-09,---,---,0.07,2.0,1.0,0.040,0.030,18-20,8-12,---,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 269-02a,TP304L,---,S30403,0.035,2.00,1.00,0.045,0.030,18.0-20.0,8.0-12.0,---,---
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 511-96,MT 304L,---,---,0.035,2.00,1.00,0.040,0.030,18.0-20.0,8.0-13.0,---,---
