Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,EN 10216-4:2002,P215NL,1.0451,---,0.15,0.40-1.20,0.35,0.025,0.020,0.30,0.30,0.08,Al 0.020 min; Cu 0.30; Nb 0.01; Ti 0.040; V 0.02
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,EN 10217-4:2002,P215NL,1.0451,---,0.15,0.40-1.20,0.35,0.025,0.020,0.30,0.30,0.08,Al 0.020 min; Cu 0.30; Nb 0.010; Ti 0.03; V 0.02
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,EN 10217-6:2002,P215NL,1.0451,---,0.15,0.40-1.20,0.35,0.025,0.020,0.30,0.30,0.08,Al 0.020 min; Cu 0.30; Nb 0.010; Ti 0.03; V 0.02
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,ISO 9329-3:1997,PL 21,---,---,0.17,0.40-1.00,0.35,0.030,0.025,---,---,---,Al 0.015 min
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,ISO 9330-3:1997,PL 21,---,---,0.17,0.40-1.00,0.35,0.030,0.025,---,---,---,Al 0.015 min
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,ISO 9330-5:2000,PL 21,---,---,0.17,0.40-1.00,0.35,0.030,0.025,---,---,---,Al 0.015 min
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,EN 10216-4:2002,P255QL,1.0452,---,0.17,0.40-1.20,0.35,0.025,0.020,0.30,0.30,0.08,Al 0.020 min; Cu 0.30; Nb 0.01; Ti 0.040; V 0.02
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,ISO 9329-3:1997,PL 25,---,---,0.17,0.40-1.00,0.35,0.030,0.025,---,---,---,Al 0.015 min
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,ISO 9330-3:1997,PL 25,---,---,0.17,0.60-1.20,0.35,0.030,0.025,---,---,---,Al 0.015 min
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,ISO 9330-5:2000,PL 25,---,---,0.17,0.40-1.00,0.35,0.030,0.025,---,---,---,Al 0.015 min
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,ASTM A 333/A 333M-99,1,---,K03008,0.30,0.40-1.06,---,0.025,0.025,---,---,---,---
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,ASTM A 334/A 334M-99,1,---,K03008,0.30,0.40-1.06,---,0.025,0.025,---,---,---,---
5.4B Chemical Composition of Carbon Steel Tubes and Pipes - Impact Tested Below -20C,JIS G 3460:1988,STBL 380,---,---,0.25,1.35,0.35,0.035,0.035,---,---,---,---
