Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,EN 10216-4:2002,11MnNi5-3,1.6212,---,0.14,0.70-1.50,0.50,0.025,0.015,---,0.30-0.80,---,Al 0.020 min; Cu 0.30; Nb 0.05; V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9329-3:1997,11 MnNi 5-3,---,---,0.14,0.70-1.50,0.50,0.030,0.025,---,0.30-0.80,---,Al 0.020 min; V 0.05; Nb 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9330-3:1997,11 MnNi 5-3,---,---,0.14,0.70-1.50,0.50,0.030,0.025,---,0.30-0.80,---,Al 0.020 min; V 0.05; Nb 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9330-5:2000,11 MnNi 5-3,---,---,0.14,0.70-1.50,0.50,0.030,0.025,---,0.30-0.80,---,Al 0.020 min; V 0.05; Nb 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,EN 10216-4:2002,13MnNi6-3,1.6217,---,0.16,0.85-1.70,0.50,0.025,0.015,---,0.30-0.85,---,Al 0.020 min; Cu 0.30; Nb 0.05; V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9329-3:1997,13 MnNi 6-3,---,---,0.18,0.85-1.65,0.50,0.030,0.025,---,0.30-0.85,---,Al 0.020 min; V 0.05; Nb 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9330-3:1997,13 MnNi 6-3,---,---,0.18,0.85-1.65,0.50,0.030,0.025,---,0.30-0.80,---,Al 0.020 min; V 0.05; Nb 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9330-5:2000,13 MnNi 6-3,---,---,0.18,0.85-1.65,0.50,0.030,0.025,---,0.30-0.85,---,Al 0.020 min; V 0.05; Nb 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ASTM A 333/A 333M-99,3,---,K31918,0.19,0.31-0.64,0.18-0.37,0.025,0.025,---,3.18-3.82,---,---
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ASTM A 334/A 334M-99,3,---,K31918,0.19,0.31-0.64,0.18-0.37,0.025,0.025,---,3.18-3.82,---,---
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,JIS G 3460:1988,STPL 450,---,---,0.18,0.30-0.60,0.10-0.35,0.030,0.030,---,3.20-3.80,---,---
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,JIS G 3464:1988,STBL 450,---,---,0.18,0.30-0.60,0.10-0.35,0.030,0.030,---,3.20-3.80,---,---
