Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,EN 10216-1:2002,P195TR1,1.0107,---,0.13,0.70,0.35,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.010; Ti 0.04; V 0.02;Cr+Cu+Mo+Ni 0.70
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,EN 10216-1:2002,P195TR2,1.0108,---,0.13,0.70,0.35,0.025,0.020,0.30,0.30,0.08,Al 0.02 min; Cu 0.30; Nb 0.010; Ti 0.04; V 0.02;Cr+Cu+Mo+Ni 0.70
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,EN 10217-1:2002,P195TR1,1.0107,---,0.13,0.70,0.35,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.01; Ti 0.040; V 0.02; Cr+Cu+Mo+Ni 0.70
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,EN 10217-1:2002,P195TR2,1.0108,---,0.13,0.70,0.35,0.025,0.020,0.30,0.30,0.08,Al 0.020 min; Cu 0.30; Nb 0.01; Ti 0.040; V 0.02; Cr+Cu+Mo+Ni 0.70
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,ASTM A 53/A 53M-02,Type E Grade A,---,K02504,0.25,0.95,---,0.05,0.045,0.40,0.40,0.15,Cu 0.40; V 0.08; Cu+Ni+Cr+Mo+V 1.00
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,ASTM A 53/A 53M-02,Type F Grade A,---,---,0.30,1.20,---,0.05,0.045,0.40,0.40,0.15,Cu 0.40; V 0.08; Cu+Ni+Cr+Mo+V 1.00
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,ASTM A 53/A 53M-02,Type S Grade A,---,K02504,0.25,0.95,---,0.05,0.045,0.40,0.40,0.15,Cu 0.40; V 0.08; Cu+Ni+Cr+Mo+V 1.00
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,ASTM A 139-00,A,---,---,0.25,1.00,---,0.035,0.035,---,---,---,---
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,ASTM A 135-01,A,---,---,0.25,0.95,---,0.035,0.035,---,---,---,---
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,EN 10216-1:2002,P235TR1,1.0254,---,0.16,1.20,0.35,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.010; Ti 0.04; V 0.02;Cr+Cu+Mo+Ni 0.70
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,EN 10216-1:2002,P235TR2,1.0255,---,0.16,1.20,0.35,0.025,0.020,0.30,0.30,0.08,Al 0.02 min; Cu 0.30; Nb 0.010; Ti 0.04; V 0.02;Cr+Cu+Mo+Ni 0.70
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,EN 10217-1:2002,P235TR1,1.0254,---,0.16,1.20,0.35,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.01; Ti 0.040; V 0.02; Cr+Cu+Mo+Ni 0.70
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,EN 10217-1:2002,P235TR2,1.0255,---,0.16,1.20,0.35,0.025,0.020,0.30,0.30,0.08,Al 0.020 min; Cu 0.30; Nb 0.01; Ti 0.040; V 0.02; Cr+Cu+Mo+Ni 0.70
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,JIS G 3454:1988,STPG 370,---,---,0.25,0.30-0.90,0.35,0.040,0.040,---,---,---,---
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,JIS G 3457:1988,STPY 400,---,---,0.25,---,---,0.040,0.040,---,---,---,---
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,EN 10216-1:2002,P265TR1,1.0258,---,0.20,1.40,0.40,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.010; Ti 0.04; V 0.02;Cr+Cu+Mo+Ni 0.70
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,EN 10216-1:2002,P265TR2,1.0259,---,0.20,1.40,0.40,0.025,0.020,0.30,0.30,0.08,Al 0.02 min; Cu 0.30; Nb 0.010; Ti 0.04; V 0.02;Cr+Cu+Mo+Ni 0.70
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,EN 10217-1:2002,P265TR1,1.0258,---,0.20,1.40,0.40,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.01; Ti 0.040; V 0.02; Cr+Cu+Mo+Ni 0.70
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,EN 10217-1:2002,P265TR2,1.0259,---,0.20,1.40,0.40,0.025,0.020,0.30,0.30,0.08,Al 0.020 min; Cu 0.30; Nb 0.01; Ti 0.040; V 0.02; Cr+Cu+Mo+Ni 0.70
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,JIS G 3454:1988,STPG 410,---,---,0.30,0.30-1.00,0.35,0.040,0.040,---,---,---,---
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,ASTM A 135-01,B,---,---,0.30,1.20,---,0.035,0.035,---,---,---,---
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,ASTM A 53/A 53M-02,Type E Grade B,---,K03005,0.30,1.20,---,0.05,0.045,0.40,0.40,0.15,Cu 0.40; V 0.08; Cu+Ni+Cr+Mo+V 1.00
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,ASTM A 53/A 53M-02,Type S Grade B,---,K03005,0.30,1.20,---,0.05,0.045,0.40,0.40,0.15,Cu 0.40; V 0.08; Cu+Ni+Cr+Mo+V 1.00
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,ASTM A 139-00,B,---,K03003,0.26,1.00,---,0.035,0.035,---,---,---,---
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,ASTM A 139-00,C,---,K03004,0.28,1.20,---,0.035,0.035,---,---,---,---
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,ASTM A 139-00,D,---,K03010,0.30,1.30,---,0.035,0.035,---,---,---,---
5.6B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes,ASTM A 139-00,E,---,K03012,0.30,1.40,---,0.035,0.035,---,---,---,---
