Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 214/A 214M-96 (2001),---,---,K01807,0.18,0.27-0.63,---,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 556/A 556M-96 (2001),A2,---,K01807,0.18,0.27-0.63,---,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,P195GH,1.0348,---,0.13,0.70,0.35,0.025,0.020,0.30,0.30,0.08,Al 0.020; Cu 0.30; Nb 0.010; Ti 0.040; V 0.02;Cr+Cu+Mo+Ni 0.70
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10217-2:2002,P195GH,1.0348,---,0.13,0.70,0.35,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.010; Ti 0.03; V 0.02; Al 0.020 min; Cr+Cu+Mo+Ni 0.70
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 1,---,---,0.16,0.30-0.70,---,0.050,0.050,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 2,---,---,0.16,0.40-0.70,---,0.050,0.050,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 1,---,---,0.16,0.30-0.70,---,0.050,0.050,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 2,---,---,0.16,0.30-0.70,---,0.050,0.050,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 178/A 178M-02*,A,---,K01200,0.06-0.18,0.27-0.63,---,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 179/A 179M-90a (2001)*,---,---,K01200,0.06-0.18,0.27-0.63,---,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 192/A 192M-02*,---,---,K01201,0.06-0.18,0.27-0.63,0.25,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 106-02a,A,---,K02501,0.25,0.27-0.93,≥ 0.10,0.035,0.035,0.40,0.40,0.15,Cu 0.40; V 0.08; Cu+Ni+Cr+Mo+V 1.0
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3461:1988,STB 340,---,---,0.18,0.30-0.60,0.35,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,DIN 28180:1985,TTSt 35 N,1.0356,---,0.17,0.40,0.35,0.030,0.025,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,DIN 28181:1985,TT St 35 N,1.0356,---,0.17,0.40,0.35,0.030,0.025,---,---,---,Al 0.020 min
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,DIN 1630:1984,St 37.4,1.0255,---,0.17,≥ 0.35,0.35,0.040,0.040,---,---,---,N fixing elements
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,DIN 28180:1985,St 37.0,1.0254,---,0.17,---,---,0.040,0.040,---,---,---,N 0.009
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,DIN 28181:1985,St 37.0,1.0254,---,0.17,---,---,0.040,0.040,---,---,---,N 0.009
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 4,---,---,0.17,0.40-0.80,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 5,---,---,0.17,0.40-0.80,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 6,---,---,0.17,0.40-1.00,0.35,0.045,0.045,---,---,---,Al 0.015
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 4,---,---,0.17,0.40-0.80,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 5,---,---,0.17,0.40-0.80,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 6,---,---,0.17,0.40-1.00,0.35,0.045,0.045,---,---,---,Al 0.015
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,AFNOR NF A 49-220:1990,TU 37 C,---,---,0.16,0.35-0.75,0.06-0.30,0.025,0.025,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,DIN 28180:1985,St 35.8,1.0305,---,0.17,0.40-0.80,0.10-0.35,0.040,0.040,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,DIN 28181:1985,St 37.8,1.0315,---,0.17,0.40-0.80,0.10-0.35,0.040,0.040,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,DIN 28180:1985,TTSt 35 N,1.0356,---,0.17,0.40,0.35,0.030,0.025,---,---,---,Al 0.020 min
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,P235GH,1.0345,---,0.16,1.20,0.35,0.025,0.020,0.30,0.30,0.08,Al 0.020; Cu 0.30; Nb 0.010; Ti 0.040; V 0.02;Cr+Cu+Mo+Ni 0.70
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10217-2:2002,P235GH,1.0345,---,0.16,1.20,0.35,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.010; Ti 0.03; V 0.02; Al 0.020 min; Cr+Cu+Mo+Ni 0.70
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10217-5:2002,P235GH,1.0345,---,0.16,1.20,0.35,0.025,0.020,0.30,0.30,0.08,Cu 0.30; Nb 0.010; Ti 0.03; V 0.02; Al 0.020 min; Cr+Cu+Mo+Ni 0.70
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3455:1988,STS 370,---,---,0.25,0.30-1.10,0.10-0.35,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3456:1988,STPT 370,---,---,0.25,0.30-0.90,0.10-0.35,0.035,0.035,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,AFNOR NF A 49-220:1990,TU 42 C,---,---,0.20,0.45-1.00,0.08-0.35,0.025,0.025,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 9,---,---,0.21,0.40-1.20,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 9H,---,---,0.21,0.40-1.20,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 10,---,---,0.19,0.60-1.20,0.35,0.045,0.045,---,---,---,Al 0.015
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 9,---,---,0.21,0.40-1.20,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 9H,---,---,0.21,0.40-1.20,0.35,0.045,0.045,---,---,---,---
5.7B Chemical Composition of Carbon Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 10,---,---,0.19,0.60-1.20,0.35,0.045,0.045,---,---,---,Al 0.015
