Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.8.2A Chemical Composition of 3/4Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 209/A 209M-03,T1,---,K11522,0.10-0.20,0.30-0.80,0.10-0.50,0.025,0.025,---,---,0.44-0.65,---
5.8.2A Chemical Composition of 3/4Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 209/A 209M-03,T1a,---,K12023,0.15-0.25,0.30-0.80,0.10-0.50,0.025,0.025,---,---,0.44-0.65,---
5.8.2A Chemical Composition of 3/4Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 209/A 209M-03,T1b,---,K11422,0.14,0.30-0.80,0.10-0.50,0.025,0.025,---,---,0.44-0.65,---
5.8.2A Chemical Composition of 3/4Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 250/A 250M-95 (2001),T1,---,K11522,0.10-0.20,0.30-0.80,0.10-0.50,0.025,0.025,---,---,0.44-0.65,---
5.8.2A Chemical Composition of 3/4Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 250/A 250M-95 (2001),T1a,---,K12023,0.15-0.25,0.30-0.80,0.10-0.50,0.025,0.025,---,---,0.44-0.65,---
5.8.2A Chemical Composition of 3/4Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 250/A 250M-95 (2001),T1b,---,K11422,0.14,0.30-0.80,0.10-0.50,0.025,0.025,---,---,0.44-0.65,---
5.8.2A Chemical Composition of 3/4Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 335/A 335M-03,P1,---,K11522,0.10-0.20,0.30-0.80,0.10-0.50,0.025,0.025,---,---,0.44-0.65,---
5.8.2A Chemical Composition of 3/4Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3458:1988,STPA 12,---,---,0.10-0.20,0.30-0.80,0.10-0.50,0.035,0.035,---,---,0.45-0.65,---
5.8.2A Chemical Composition of 3/4Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3462:1988,STBA 12,---,---,0.10-0.20,0.30-0.80,0.10-0.50,0.035,0.035,---,---,0.45-0.65,---
5.8.2A Chemical Composition of 3/4Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3467:1988,STFA 12,---,---,0.10-0.20,0.30-0.80,0.10-0.50,0.035,0.035,---,---,0.45-0.65,---
5.8.2A Chemical Composition of 3/4Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3462:1988,STBA 13,---,---,0.15-0.25,0.30-0.80,0.10-0.50,0.035,0.035,---,---,0.45-0.65,---
5.8.2A Chemical Composition of 3/4Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,8MoB5-4,1.5450,---,0.06-0.10,0.60-0.80,0.10-0.35,0.025,0.020,0.20,---,0.40-0.50,Al 0.060; Cu 0.30; Ti 0.060; B 0.002-0.006
