Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.8.4A Chemical Composition of 1Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 213/A 213M-03a,T12,---,K11562,0.05-0.15,0.30-0.61,0.50,0.025,0.025,0.80-1.25,---,0.44-0.65,---
5.8.4A Chemical Composition of 1Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 250/A 250M-95 (2001),T12,---,K11562,0.05-0.15,0.30-0.61,0.50,0.030,0.020,0.80-1.25,---,0.44-0.65,---
5.8.4A Chemical Composition of 1Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 335/A 335M-03,P12,---,K11562,0.05-0.15,0.30-0.61,0.50,0.025,0.025,0.80-1.25,---,0.44-0.65,---
5.8.4A Chemical Composition of 1Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,AFNOR NF A 49-220:1990,TU 13 CD 4-04,---,---,0.10-0.18,0.40-0.70,0.10-0.35,0.025,0.025,0.70-1.10,---,0.45-0.65,---
5.8.4A Chemical Composition of 1Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,BS 3604-2:1991,620,---,---,0.09-0.18,0.40-0.65,0.15-0.40,0.025,0.015,0.80-1.15,0.30,0.45-0.60,Cu 0.30; Al 0.02
5.8.4A Chemical Composition of 1Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3458:1988,STPA 22,---,---,0.15,0.30-0.60,0.50,0.035,0.035,0.80-1.25,---,0.45-0.65,---
5.8.4A Chemical Composition of 1Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3462:1988,STBA 22,---,---,0.15,0.30-0.60,0.50,0.035,0.035,0.80-1.25,---,0.45-0.65,---
5.8.4A Chemical Composition of 1Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3467:1988,STFA 22,---,---,0.15,0.30-0.60,0.50,0.035,0.035,0.80-1.25,---,0.45-0.65,---
5.8.4A Chemical Composition of 1Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,DIN 28180:1985,13 CrMo 4 4,1.7335,---,0.10-0.18,0.40-0.70,0.10-0.35,0.035,0.035,0.70-1.10,---,0.45-0.65,---
5.8.4A Chemical Composition of 1Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,13CrMo4-5,1.7335,---,0.10-0.17,0.40-0.70,0.35,0.025,0.020,0.70-1.15,0.30,0.40-0.60,Al 0.040; Cu 0.30
5.8.4A Chemical Composition of 1Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 32,---,---,0.10-0.18,0.40-0.70,0.10-0.35,0.040,0.040,0.70-1.10,---,0.45-0.65,Al 0.02
5.8.4A Chemical Composition of 1Cr-1/2Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-III:1975,TW 32,---,---,0.10-0.18,0.40-0.70,0.10-0.35,0.040,0.040,0.70-1.10,---,0.45-0.65,Al 0.020
