Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.8.6A Chemical Composition of 2.25Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 213/A 213M-03a,T22,---,K21590,0.05-0.15,0.30-0.60,0.50,0.025,0.025,1.90-2.60,---,0.87-1.13,---
5.8.6A Chemical Composition of 2.25Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 250/A 250M-95 (2001),T22,---,K21590,0.15,0.30-0.60,0.50,0.025,0.020,1.90-2.60,---,0.87-1.13,---
5.8.6A Chemical Composition of 2.25Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 335/A 335M-03,P22,---,K21590,0.05-0.15,0.30-0.60,0.50,0.025,0.025,1.90-2.60,---,0.87-1.13,---
5.8.6A Chemical Composition of 2.25Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,AFNOR NF A 49-220:1990,TU 10 CD 9-10,---,---,0.15,0.30-0.60,0.10-0.50,0.025,0.025,2.00-2.50,---,0.90-1.10,---
5.8.6A Chemical Composition of 2.25Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,BS 3604-2:1991,622,---,---,0.09-0.15,0.30-0.60,0.50,0.025,0.015,2.00-2.50,0.30,0.90-1.10,Cu 0.30; Al 0.02
5.8.6A Chemical Composition of 2.25Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,10CrMo9-10,1.7380,---,0.08-0.14,0.30-0.70,0.50,0.025,0.020,2.00-2.50,0.30,0.90-1.10,Al 0.040; Cu 0.30
5.8.6A Chemical Composition of 2.25Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,11CrMo9-10,1.7383,---,0.08-0.15,0.40-0.80,0.50,0.025,0.020,2.00-2.50,0.30,0.90-1.10,Al 0.040; Cu 0.30
5.8.6A Chemical Composition of 2.25Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3458:1988,STPA 24,---,---,0.15,0.30-0.60,0.50,0.030,0.030,1.90-2.60,---,0.87-1.13,---
5.8.6A Chemical Composition of 2.25Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3462:1988,STBA 24,---,---,0.15,0.30-0.60,0.50,0.030,0.030,1.90-2.60,---,0.87-1.13,---
5.8.6A Chemical Composition of 2.25Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3467:1988,STFA 24,---,---,0.15,0.30-0.60,0.50,0.030,0.030,1.90-2.60,---,0.87-1.13,---
5.8.6A Chemical Composition of 2.25Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 34,---,---,0.08-0.15,0.40-0.70,0.50,0.040,0.040,2.00-2.50,---,0.90-1.20,Al 0.02
