Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.8.8A Chemical Composition of 9Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 213/A 213M-03a,T9,---,S50400,0.15,0.30-0.60,0.25-1.00,0.025,0.025,8.00-10.00,---,0.90-1.10,---
5.8.8A Chemical Composition of 9Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 335/A 335M-03,P9,---,S50400,0.15,0.30-0.60,0.25-1.00,0.025,0.025,8.00-10.00,---,0.90-1.10,---
5.8.8A Chemical Composition of 9Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,X11CrMo9-1+I,1.7386+I,---,0.08-0.15,0.30-0.60,0.25-1.00,0.025,0.020,8.00-10.00,---,0.90-1.10,Al 0.040; Cu 0.30
5.8.8A Chemical Composition of 9Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,X11CrMo9-1+NT,1.7386+NT,---,0.08-0.15,0.30-0.60,0.25-1.00,0.025,0.020,8.00-10.00,---,0.90-1.10,Al 0.040; Cu 0.30
5.8.8A Chemical Composition of 9Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3458:1988,STPA 26,---,---,0.15,0.30-0.60,0.25-1.00,0.030,0.030,8.00-10.00,---,0.90-1.10,---
5.8.8A Chemical Composition of 9Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3462:1988,STBA 26,---,---,0.15,0.30-0.60,0.25-1.00,0.030,0.030,8.00-10.00,---,0.90-1.10,---
5.8.8A Chemical Composition of 9Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,JIS G 3467:1988,STFA 26,---,---,0.15,0.30-0.60,0.25-1.00,0.030,0.030,8.00-10.00,---,0.90-1.10,---
5.8.8A Chemical Composition of 9Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ISO 2604-II:1975,TS 38,---,---,0.15,0.30-0.60,0.25-1.00,0.030,0.030,8.00-10.00,---,0.90-1.10,Al 0.02
5.8.8A Chemical Composition of 9Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,ASTM A 213/A 213M-03a,T91,---,---,0.08-0.12,0.30-0.60,0.20-0.50,0.020,0.010,8.00-9.50,0.40,0.85-1.05,V 0.18-0.25; Cb 0.06-0.1; N 0.030-0.070; Al 0.04
5.8.8A Chemical Composition of 9Cr-1Mo Alloy Steel Tubes and Pipes for Pressure Purposes at High Temperatures,EN 10216-2:2002,X10CrMoVNb9-1,1.4903,---,0.08-0.12,0.30-0.60,0.20-0.50,0.020,0.010,8.00-9.50,0.40,0.85-1.05,V 0.18-0.25; Nb 0.06-0.10; N 0.030-0.070; Al 0.040; Cu 0.30
