Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 268/A 268M-03,TP409,---,S40900,0.08,1.00,1.00,0.045,0.030,10.5-11.7,0.50,---,Ti 6 x C to 0.75
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 803/A 803M-03,TP409,---,S40900,0.08,1.00,1.00,0.045,0.030,10.5-11.7,0.50,---,Ti 6 x C to 0.75
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3463:1994,SUS409TB,---,---,0.08,1.00,1.00,0.040,0.030,10.50-11.75,---,---,Ti 6 x C to 0.75
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,AFNOR NF A 49-217:1987,TU Z 12 C 13,---,---,0.15,1.00,1.00,0.040,0.030,11.50-13.50,0.50,---,---
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 268/A 268M-03,TP410,---,S41000,0.15,1.00,1.00,0.040,0.030,11.5-13.5,---,---,---
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ISO 2604-II:1975,TS 39,---,---,0.08,1.00,1.00,0.040,0.030,11.5-14.0,0.50,---,---
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3463:1994,SUS410TB,---,---,0.015,1.00,1.00,0.040,0.030,11.50-13.50,---,---,---
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,AFNOR NF A 49-217:1987,TU Z 10 C 17,---,---,0.12,1.00,1.00,0.040,0.030,16.00-18.00,0.50,---,---
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 268/A 268M-03,TP430,---,S43000,0.12,1.00,1.00,0.040,0.030,16.0-18.0,---,---,---
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3463:1994,SUS430TB,---,---,0.12,1.00,0.75,0.040,0.030,16.00-18.00,---,---,---
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3463:1994,SUS430LXTB,---,---,0.030,1.00,0.75,0.040,0.030,16.00-19.00,---,---,Ti or Nb 0.10-1.00
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 803/A 803M-03,TP XM-27,---,S44627,0.01,0.40,0.40,0.02,0.02,25.0-27.5,0.5,0.75-1.50,Cu 0.20; N 0.015; Cb 0.05-0.20
5.9.1A Chemical Composition of Ferritic and Martensitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3463:1994,SUSXM27TB,---,---,0.010,0.40,0.40,0.030,0.020,25.00-27.50,---,0.75-1.50,N 0.015
