Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 213/A 213M-03a,TP304,---,S30400,0.08,2.00,0.75,0.040,0.030,18.0-20.0,8.00-11.0,---,---
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 249/A 249M-03,TP304,---,S30400,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.0-11.0,---,---
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 312/A 312M-03,TP304,---,S30400,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.0-11.0,---,---
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 358/A 358M-01,304,---,S30400,0.08,2.00,0.75,0.045,0.030,18.0-20.0,8.0-10.5,---,N 0.10
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 376/A 376M-02a,TP304,---,---,0.08,2.00,0.75,0.045,0.030,18.0-20.0,8.00-11.0,---,---
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 409/A 409M-01,TP304,---,S30400,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.00-11.0,---,---
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 688/A 688M-03,TP304,---,S30400,0.08,2.00,0.75,0.040,0.030,18.00-20.00,8.00-11.00,---,---
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3459:1997,SUS304TP,---,---,0.08,2.00,1.00,0.040,0.030,18.00-20.00,8.00-11.00,---,---
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3463:1994,SUS304TB,---,---,0.08,2.00,1.00,0.040,0.030,18.00-20.00,8.00-11.00,---,---
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3467:1988,SUS 304 TF,---,---,0.08,2.00,1.00,0.040,0.030,18.00-20.00,8.00-11.00,---,---
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,JIS G 3468:1994,SUS304,---,---,0.08,2.00,1.00,0.045,0.030,18.00-20.00,8.00-10.50,---,---
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,BS 3605-1:1991 AMD 2:1997,304S31,---,---,0.070,2.00,1.00,0.040,0.030,17.00-19.00,8.00-11.00,---,---
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,BS 3605-2:1992 AMD 1:1997,304S31,---,---,0.070,2.00,1.00,0.04,0.03,17.00-19.00,8.00-11.00,---,---
