Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,ASTM A 668/A 668M-03,A,---,---,---,1.35,---,0.050,0.050,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,JIS G 3201:1988,SF 340 A,---,---,0.60,0.30-1.20,0.15-0.50,0.030,0.035,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,S235JRG2,1.0038,---,0.20,1.40,0.55,0.045,0.045,0.30,0.30,0.08,Al 0.020 min; Cr+Mo+Ni to 0.48
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,S235J2G3,1.0116,---,0.17,1.40,0.55,0.035,0.035,0.30,0.30,0.08,Al 0.020 min; Cr+Mo+Ni to 0.48
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,JIS G 3201:1988,SF 390 A,---,---,0.60,0.30-1.20,0.15-0.50,0.030,0.035,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C22,1.0402,---,0.17-0.24,0.40-0.70,0.40,0.045,0.045,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,ISO 9327-2:1999,PH 26,---,---,0.20,0.50-1.40,0.35,0.035,0.030,0.30,0.30,0.08,Al 0.020; Cu 0.30; Cr+Cu+Mo+Ni to 0.70
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,ASTM A 668/A 668M-03,B,---,---,---,1.35,---,0.050,0.050,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,JIS G 3201:1988,SF 440 A,---,---,0.60,0.30-1.20,0.15-0.50,0.030,0.035,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C25,1.0406,---,0.22-0.29,0.40-0.70,0.40,0.045,0.045,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C25E,1.1158,---,0.22-0.29,0.40-0.70,0.40,0.035,0.035,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,ASTM A 668/A 668M-03,C,---,---,---,1.35,---,0.050,0.050,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,ISO 9327-2:1999,PH 29,---,---,0.20,0.90-1.50,0.40,0.035,0.030,0.30,0.30,0.08,Al 0.020; Cu 0.30; Cr+Cu+Mo+Ni to 0.70
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C30,1.0528,---,0.27-0.34,0.50-0.80,0.40,0.045,0.045,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,JIS G 3201:1988,SF 490 A,---,---,0.60,0.30-1.20,0.15-0.50,0.030,0.035,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,ISO 9327-2:1999,PH 31,---,---,0.20,0.90-1.60,0.10-0.50,0.035,0.030,0.30,0.30,0.08,Al 0.020; Cu 0.30; Cr+Cu+Mo+Ni to 0.70
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,ASTM A 668/A 668M-03,D,---,---,---,1.35,---,0.050,0.050,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C35,1.0501,---,0.32-0.39,0.50-0.80,0.40,0.045,0.045,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C35E,1.1181,---,0.32-0.39,0.50-0.80,0.40,0.035,0.035,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,JIS G 3201:1988,SF 540 A,---,---,0.60,0.30-1.20,0.15-0.50,0.030,0.035,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,JIS G 3201:1988,SF 540 B,---,---,0.60,0.30-1.20,0.15-0.50,0.030,0.035,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C35E,1.1181,---,0.32-0.39,0.50-0.80,0.40,0.035,0.035,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C40,1.0511,---,0.37-0.44,0.50-0.80,0.40,0.045,0.045,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C45,1.0503,---,0.42-0.50,0.50-0.80,0.40,0.045,0.045,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C45E,1.1191,---,0.42-0.50,0.50-0.80,0.40,0.035,0.035,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,ASTM A 668/A 668M-03,E,---,---,---,1.35,---,0.050,0.050,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,JIS G 3201:1988,SF 590 A,---,---,0.60,0.30-1.20,0.15-0.50,0.030,0.035,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,JIS G 3201:1988,SF 590 B,---,---,0.60,0.30-1.20,0.15-0.50,0.030,0.035,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C50,1.0540,---,0.47-0.55,0.60-0.90,0.40,0.045,0.045,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,ASTM A 668/A 668M-03,F,---,---,---,1.35,---,0.050,0.050,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C45E,1.1191,---,0.42-0.50,0.50-0.80,0.40,0.045,0.045,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,JIS G 3201:1988,SF 640 B,---,---,0.60,0.30-1.20,0.15-0.50,0.030,0.035,---,---,---,---
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C55,1.0535,---,0.52-0.60,0.60-0.90,0.40,0.045,0.045,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
6.1.1B Chemical Composition of Carbon Steel Forgings for General Use,EN 10250-2:1999,C55E,1.0535,---,0.52-0.60,0.60-0.90,0.40,0.035,0.035,0.40,0.40,0.10,Cr+Mo+Ni to 0.63
