Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
"6.1.2B Chemical Composition of Carbon Steel Forgings for Piping, Pressure Vessel and Components",EN 10222-4:1998 A1:2001,P285QH,1.0478,---,0.18,0.60,0.40,0.025,0.015,0.30,0.30,0.08,Al 0.020-0.060; N 0.020; Cu 0.20; Nb 0.03; V 0.05; Nb+V 0.05
"6.1.2B Chemical Composition of Carbon Steel Forgings for Piping, Pressure Vessel and Components",EN 10222-4:1998 A1:2001,P285NH,1.0477,---,,,,,,,,,
"6.1.2B Chemical Composition of Carbon Steel Forgings for Piping, Pressure Vessel and Components",ISO 9327-4:1999,"P 28, PH 28",---,---,0.18,0.50-1.40,0.10-0.40,0.035,0.030,0.30,0.30,0.08,Al 0.020 min; Cu 0.30; N 0.020; Nb0.05; Ti 0.03; V 0.05; Cr+Cu+Mo to 0.45; Nb+Ti+V to 0.05
"6.1.2B Chemical Composition of Carbon Steel Forgings for Piping, Pressure Vessel and Components",ISO 9327-4:1999,PL 28,---,---,0.16,,,0.025,0.020,,,,
"6.1.2B Chemical Composition of Carbon Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3202:1988,SFVC 1,---,---,0.30,0.40-1.35,0.35,0.030,0.030,---,---,---,---
"6.1.2B Chemical Composition of Carbon Steel Forgings for Piping, Pressure Vessel and Components",EN 10222-2:1999,P245GH,1.0352,---,0.08-0.20,0.50-1.30,0.40,0.025,0.015,---,---,---,---
"6.1.2B Chemical Composition of Carbon Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 181/A 181M-01,60,---,K03502,0.35,1.10,0.10-0.35,0.05,0.05,---,---,---,---
"6.1.2B Chemical Composition of Carbon Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 266/A 266M-03a,1,---,---,0.30,0.40-1.05,0.15-0.35,0.025,0.025,---,---,---,---
"6.1.2B Chemical Composition of Carbon Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 350/A 350M-02b,LF1,---,K03009,0.30,0.60-1.35,0.15-0.30,0.035,0.040,0.30,0.40,0.12,Cu 0.40; Nb 0.02; V 0.08; Cu+Ni+Cr+Mo+V 1.00; Cr+Mo 0.32
"6.1.2B Chemical Composition of Carbon Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3205:1988,SFL 1,---,---,0.30,1.35,0.35,0.030,0.030,---,---,---,---
