Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
"6.2.2.10A Chemical Composition of Ni Alloy Steel Forgings for Piping, Pressure Vessel and Components",EN 10222-3:1998,15NiMn6,1.6228,---,0.18,0.80-1.50,0.35,0.025,0.015,---,1.30-1.70,---,V 0.05
"6.2.2.10A Chemical Composition of Ni Alloy Steel Forgings for Piping, Pressure Vessel and Components",ISO 9327-3:1999,15NiMn6,---,---,0.18,0.80-1.50,0.35,0.025,0.020,---,1.30-1.70,---,V 0.05
"6.2.2.10A Chemical Composition of Ni Alloy Steel Forgings for Piping, Pressure Vessel and Components",ISO 9327-3:1999,12Ni14G1,---,---,0.15,0.30-0.80,0.35,0.025,0.020,---,3.25-3.75,---,V 0.05
"6.2.2.10A Chemical Composition of Ni Alloy Steel Forgings for Piping, Pressure Vessel and Components",ISO 9327-3:1999,12Ni14G2,---,---,,,,,,,,,
"6.2.2.10A Chemical Composition of Ni Alloy Steel Forgings for Piping, Pressure Vessel and Components",EN 10222-3:1998,12Ni14,1.5637,---,0.15,0.30-0.80,0.35,0.020,0.010,---,3.25-3.75,---,V 0.05
"6.2.2.10A Chemical Composition of Ni Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 350/A 350M-02b,LF3,---,K32025,0.20,0.90,0.20-0.35,0.035,0.040,0.30,3.3-3.7,0.12,Cu 0.40; Cb 0.02; V 0.03; Cr+Mo 0.32
"6.2.2.10A Chemical Composition of Ni Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3205:1988,SFL 3,---,---,0.20,0.90,0.35,0.030,0.030,---,3.25-3.75,---,---
"6.2.2.10A Chemical Composition of Ni Alloy Steel Forgings for Piping, Pressure Vessel and Components",EN 10222-3:1998,X12Ni5,1.5680,---,0.15,0.30-0.80,0.35,0.020,0.010,---,4.75-5.25,---,V 0.05
"6.2.2.10A Chemical Composition of Ni Alloy Steel Forgings for Piping, Pressure Vessel and Components",ISO 9327-3:1999,12Ni19,---,---,0.15,0.30-0.80,0.35,0.025,0.020,---,4.50-5.30,---,V 0.05
"6.2.2.10A Chemical Composition of Ni Alloy Steel Forgings for Piping, Pressure Vessel and Components",EN 10222-3:1998,X8Ni9,1.5662,---,0.10,0.30-0.80,0.35,0.020,0.010,---,8.50-10.00,0.10,V 0.05
"6.2.2.10A Chemical Composition of Ni Alloy Steel Forgings for Piping, Pressure Vessel and Components",ISO 9327-3:1999,X8Ni9,---,---,0.10,0.30-0.80,0.35,0.025,0.020,---,8.00-10.00,0.10,V 0.05
