Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3203:1988,SFVA F 22 A,---,---,0.15,0.30-0.60,0.50,0.030,0.030,2.00-2.50,---,0.90-1.10,---
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 182/A 182M-02,"F 22, Class 1",---,K21590,0.05-0.15,0.30-0.60,0.50,0.040,0.040,2.00-2.50,---,0.87-1.13,---
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 336/A 336M-03a,"F22, Class 1",---,K21590,0.05-0.15,0.30-0.60,0.50,0.025,0.025,2.00-2.50,---,0.90-1.10,---
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",EN 10222-2:1999,11CrMo9-10,1.7383,---,0.08-0.15,0.40-0.80,0.50,0.025,0.015,2.00-2.50,---,0.90-1.10,---
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ISO 9327-2:1999,13CrMo9-10,---,---,0.08-0.15,0.40-0.70,0.50,0.035,0.030,2.00-2.50,---,0.90-1.10,Cu 0.30
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 182/A 182M-02,"F 22, Class 3",---,K21590,0.05-0.15,0.30-0.60,0.50,0.040,0.040,2.00-2.50,---,0.87-1.13,---
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 336/A 336M-03a,"F22, Class 3",---,K21590,0.05-0.15,0.30-0.60,0.50,0.025,0.025,2.00-2.50,---,0.90-1.10,---
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3203:1988,SFVA F 22 B,---,---,0.15,0.30-0.60,0.50,0.030,0.030,2.00-2.50,---,0.90-1.10,---
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3206:1993,SFVCM F22B,---,---,0.17,0.30-0.60,0.50,0.015,0.015,2.00-2.50,---,0.90-1.10,V 0.03
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 508/A 508M-03a,"22, Class 3",---,K21590,0.11-0.15,0.30-0.60,0.50,0.015,0.015,2.00-2.50,0.25,0.90-1.10,V 0.02
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 541/A 541M-95 (1999),"22, Class 3",---,K21390,0.11-0.15,0.30-0.60,0.50,0.015,0.015,2.00-2.50,0.25,0.90-1.10,V 0.02
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3206:1993,SFVCM F22V,---,---,0.17,0.30-0.60,0.10,0.015,0.010,2.00-2.50,---,0.90-1.10,V 0.25-0.35
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 336/A 336M-03a,F22V,---,---,0.11-0.15,0.30-0.60,0.10,0.015,0.010,2.00-2.50,0.25,0.90-1.10,Cu 0.20; V 0.25-0.35; Cb 0.07; Ti 0.030; B 0.0020; Ca 0.015
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 541/A 541M-95 (1999),22V,---,---,0.11-0.15,0.30-0.60,0.10,0.015,0.010,2.00-2.50,0.25,0.90-1.10,Cu 0.20; V 0.25-0.35; Cb 0.07; Ti 0.030; B 0.0020; Ca 0.015
"6.2.2.5A Chemical Composition of 2.25Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 182/A 182M-02,F 22V,---,K31835,0.11-0.15,0.30-0.60,0.10,0.015,0.010,2.00-2.50,0.25,0.90-1.10,Cu 0.20; V 0.25-0.35; Cb 0.07; Ti 0.030; B 0.002; Ca 0.015
