Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
"6.2.2.6A Chemical Composition of 3Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3203:1988,SFVA F 21 A,---,---,0.15,0.30-0.60,0.50,0.030,0.030,2.65-3.35,---,0.80-1.00,---
"6.2.2.6A Chemical Composition of 3Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 336/A 336M-03a,"F21, Class 1",---,K31545,0.05-0.15,0.30-0.60,0.50,0.025,0.025,2.7-3.3,---,0.80-1.06,---
"6.2.2.6A Chemical Composition of 3Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 182/A 182M-02,F 21,---,K31545,0.05-0.15,0.30-0.60,0.50,0.040,0.040,2.7-3.3,---,0.80-1.06,---
"6.2.2.6A Chemical Composition of 3Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 336/A 336M-03a,"F21, Class 3",---,K31545,0.05-0.15,0.30-0.60,0.50,0.025,0.025,2.7-3.3,---,0.80-1.06,---
"6.2.2.6A Chemical Composition of 3Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3203:1988,SFVA F 21 B,---,---,0.15,0.30-0.60,0.50,0.030,0.030,2.65-3.35,---,0.80-1.00,---
"6.2.2.6A Chemical Composition of 3Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3206:1993,SFVCM F3V,---,---,0.17,0.30-0.60,0.10,0.015,0.010,2.75-3.25,---,0.90-1.10,V 0.20-0.30
"6.2.2.6A Chemical Composition of 3Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 182/A 182M-02,F 3V,---,K31830,0.05-0.18,0.30-0.60,0.10,0.020,0.020,2.8-3.2,---,0.90-1.10,V 0.20-0.30; Ti 0.015-0.035; B 0.001-0.003
"6.2.2.6A Chemical Composition of 3Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 336/A 336M-03a,F3V,---,---,0.10-0.15,0.30-0.60,0.10,0.020,0.020,2.7-3.3,---,0.90-1.10,V 0.20-0.30; Ti 0.015-0.035; B 0.001-0.003
"6.2.2.6A Chemical Composition of 3Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 508/A 508M-03a,3V,---,K31830,0.10-0.15,0.30-0.60,0.10,0.020,0.020,2.8-3.3,---,0.90-1.10,V 0.20-0.30; Ti 0.015-0.035; B 0.001-0.003
"6.2.2.6A Chemical Composition of 3Cr-1Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 541/A 541M-95 (1999),3V,---,K31830,0.10-0.15,0.30-0.60,0.10,0.020,0.020,2.8-3.3,---,0.90-1.10,V 0.20-0.30; Ti 0.015-0.035; B 0.001-0.003
