Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
"6.2.2.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",EN 10222-2:1999,X16CrMo5-1,1.7366,---,0.18,0.30-0.80,0.40,0.025,0.015,4.00-6.00,---,0.45-0.65,---
"6.2.2.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3203:1988,SFVA F 5 A,---,---,0.15,0.30-0.60,0.50,0.030,0.030,4.00-6.00,---,0.45-0.65,---
"6.2.2.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 336/A 336M-03a,F5,---,K41545,0.15,0.30-0.60,0.50,0.025,0.025,4.0-6.0,0.50,0.45-0.65,---
"6.2.2.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ISO 9327-2:1999,X12CrMo5-1,---,---,0.08-0.15,0.30-0.60,0.50,0.035,0.030,4.00-6.00,---,0.45-0.65,---
"6.2.2.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3203:1988,SFVA F 5 B,---,---,0.15,0.30-0.60,0.50,0.030,0.030,4.00-6.00,---,0.45-0.65,---
"6.2.2.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 182/A 182M-02,F 5,---,K41545,0.15,0.30-0.60,0.50,0.030,0.030,4.0-6.0,0.50,0.44-0.65,---
"6.2.2.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 336/A 336M-03a,F5A,---,K42544,0.25,0.60,0.50,0.025,0.025,4.0-6.0,0.50,0.45-0.65,---
"6.2.2.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3203:1988,SFVA F 5 C,---,---,0.25,0.30-0.60,0.50,0.030,0.030,4.00-6.00,---,0.45-0.65,---
"6.2.2.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",ASTM A 182/A 182M-02,F 5a,---,K42544,0.25,0.60,0.50,0.040,0.030,4.0-6.0,0.50,0.44-0.65,---
"6.2.2.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",JIS G 3203:1988,SFVA F 5 D,---,---,0.25,0.30-0.60,0.50,0.030,0.030,4.00-6.00,---,0.45-0.65,---
"6.2.2.7A Chemical Composition of 5Cr-1/2Mo Alloy Steel Forgings for Piping, Pressure Vessel and Components",EN 10222-2:1999,X16CrMo5-1,1.7366,---,0.18,0.30-0.80,0.40,0.025,0.015,4.00-6.00,---,0.45-0.65,---
