Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,JIS G 3214:1991,"SUS F 410-A, B, C, D",---,---,0.15,1.00,1.00,0.040,0.030,11.50-13.50,0.50,---,---
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 6a,---,S41000,0.15,1.00,1.00,0.040,0.030,11.5-13.5,0.50,---,---
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,ASTM A 473-01,410,---,S41000,0.15,1.00,1.00,0.040,0.030,11.5-13.5,0.75,---,---
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,EN 10250-4:1999,X12Cr13,1.4006,---,0.08-0.15,1.50,1.00,0.040,0.030,11.50-13.50,0.75,---,---
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,ASTM A 1021-02,Grade A,---,S41000,0.15,1.00,1.00,0.018,0.015,11.5-13.5,0.75,---,---
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,ASTM A 1021-02,Grade B,---,---,0.10-0.15,0.25-0.80,0.50,0.018,0.015,11.5-13.5,0.50,---,---
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 6b,---,S41026,0.15,1.00,1.00,0.020,0.020,11.5-13.5,1.00-2.00,0.40-0.60,Cu 0.50
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,JIS G 3214:1991,SUS F 6B,---,---,0.15,1.00,1.00,0.020,0.020,11.50-13.50,1.00-2.00,0.40-0.60,Cu 0.50
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,EN 10250-4:1999,X3CrNiMo13-4,1.4313,---,0.05,1.50,0.70,0.040,0.015,12.00-14.00,3.50-4.50,0.30-0.70,N 0.020
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,EN 10222-5:1999,X3CrNiMo13-4,1.4313,---,0.05,1.50,0.70,0.040,0.015,12.00-14.00,3.50-4.50,0.30-0.70,N 0.020
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 6NM,---,S41500,0.05,0.5-1.0,0.60,0.030,0.030,11.5-14.0,3.5-5.5,0.5-1.0,---
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,JIS G 3214:1991,SUS F 6NM,---,---,0.05,0.50-1.00,0.60,0.030,0.030,11.50-14.00,3.50-5.50,0.50-1.00,---
6.3.1A Chemical Composition of Martensitic Stainless Steel Forgings,ASTM A 473-01,---,---,S41500,0.05,0.5-1.0,0.60,0.030,0.030,11.5-14.0,3.5-5.5,0.5-1.0,---
