Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10222-5:1999,X5CrNi18-10,1.4301,---,0.07,2.00,1.00,0.045,0.015,17.00-19.50,8.00-10.50,---,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10250-4:1999,X5CrNi18-10,1.4301,---,0.07,2.00,1.00,0.045,0.030,17.00-19.50,8.00-10.50,---,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ISO 9327-5:1999,X5CrNi18-9,---,---,0.07,2.00,1.00,0.045,0.030,17.00-19.00,8.00-11.00,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 304,---,S30400,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.0-11.0,---,N 0.10
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 473-01,304,---,S30400,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.0-11.0,---,N 0.10
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 965/A 965M-02,F 304,---,S30400,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.0-11.0,---,N 0.10
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,JIS G 3214:1991,SUS F 304,---,---,0.08,2.00,1.00,0.040,0.030,18.00-20.00,8.00-11.00,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10250-4:1999,X2CrNi18-9,1.4307,---,0.030,2.00,1.00,0.045,0.030,17.50-19.50,8.00-10.00,---,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10250-4:1999,X2CrNi19-11,1.4306,---,0.030,2.00,1.00,0.045,0.030,18.00-20.00,10.00-12.00,---,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,JIS G 3214:1991,SUS F 304L,---,---,0.030,2.00,1.00,0.040,0.030,18.00-20.00,9.00-13.00,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ISO 9327-5:1999,X2CrNi18-10,---,---,0.030,2.00,1.00,0.045,0.030,17.00-19.00,9.00-12.00,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 304L,---,S30403,0.030,2.00,1.00,0.045,0.030,18.0-20.0,8.0-13.0,---,N 0.10
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 473-01,304L,---,S30403,0.030,2.00,1.00,0.045,0.030,18.0-20.0,8.0-13.0,---,N 0.10
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 965/A 965M-02,F 304L,---,S30403,0.030,2.00,1.00,0.045,0.030,18.0-20.0,8.0-13.0,---,N 0.10
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10222-5:1999,X2CrNi18-9,1.4307,---,0.030,2.00,1.00,0.045,0.015,17.50-19.50,8.00-10.00,---,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,EN 10222-5:1999,X6CrNi18-10,1.4948,---,0.04-0.08,2.00,1.00,0.035,0.015,17.00-19.00,8.00-11.00,---,N 0.11
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ISO 9327-5:1999,X7CrNi18-9,---,---,0.04-0.10,2.00,1.00,0.045,0.030,17.00-19.00,8.00-11.00,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 304H,---,S30409,0.04-0.10,2.00,1.00,0.045,0.030,18.0-20.0,8.0-11.0,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 965/A 965M-02,F 304H,---,S30409,0.04-0.10,2.00,1.00,0.045,0.030,18.0-20.0,8.0-11.0,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,JIS G 3214:1991,SUS F 304H,---,---,0.04-0.10,2.00,1.00,0.040,0.030,18.00-20.00,8.00-12.00,---,---
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 304N,---,S30451,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.0-10.5,---,N 0.10-0.16
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 965/A 965M-02,F 304N,---,S30451,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.0-10.5,---,N 0.10-0.16
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,JIS G 3214:1991,SUS F 304N,---,---,0.08,2.00,0.75,0.040,0.030,18.00-20.00,8.00-11.00,---,N 0.10-0.16
6.3.3A Chemical Composition of Austenitic Stainless Steel Forgings,ASTM A 182/A 182M-02,F 304LN,---,S30453,0.03,2.00,1.00,0.045,0.030,18.0-20.0,8.0-10.5,---,N 0.10-0.16
