Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,EN 10250-4:1999,X3CrNiMoN27-5-2,1.4460,---,0.05,2.00,1.00,0.035,0.030,25.00-28.00,4.50-6.50,1.30-2.00,N 0.05-0.20
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,ASTM A 182/A 182M-02,F 50,---,S31200,0.030,2.00,1.00,0.045,0.030,24.0-26.0,5.5-6.5,1.20-2.00,N 0.14-0.20
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,ISO 9327-5:1999,X2CrNiMoN22-5-3,---,---,0.030,2.00,1.00,0.035,0.020,21.00-23.00,4.50-6.50,2.50-3.50,N 0.08-0.20
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,ASTM A 182/A 182M-02,F 51,---,S31803,0.030,2.00,1.00,0.030,0.020,21.0-23.0,4.5-6.5,2.5-3.5,N 0.08-0.20
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,EN 10250-4:1999,X2CrNiMoN22-5-3,1.4462,---,0.030,2.00,1.00,0.035,0.015,21.00-23.00,4.50-6.50,2.50-3.50,N 0.10-0.22
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,ASTM A 182/A 182M-02,F 60,---,S32205,0.030,2.00,1.00,0.030,0.020,22.0-23.0,4.5-6.5,3.0-3.5,N 0.14-0.20
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,EN 10222-5:1999,X2CrNiMoN22-5-3,1.4462,---,0.030,2.00,1.00,0.035,0.015,21.00-23.00,4.50-6.50,2.50-3.50,N 0.10-0.22
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,EN 10250-4:1999,X2CrNiMoN25-7-4,1.4410,---,0.030,2.00,1.00,0.035,0.015,24.0-26.0,6.0-8.0,3.00-4.50,N 0.20-0.35
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,ASTM A 182/A 182M-02,F 53,---,S32750,0.030,1.20,0.80,0.035,0.020,24.0-26.0,6.0-8.0,3.0-5.0,Cu 0.50; N 0.24-0.32
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,EN 10222-5:1999,X2CrNiMoN25-7-4,1.4410,---,0.030,2.00,1.00,0.035,0.015,24.0-26.0,6.0-8.0,3.00-4.50,N 0.20-0.35
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,EN 10250-4:1999,X2CrNiMoCuWN27-7-4,1.4501,---,0.030,1.00,1.00,0.035,0.015,24.00-26.00,6.00-8.00,3.00-4.00,Cu 0.50-1.00; N 0.20-0.30; W 0.50-1.00
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,ASTM A 182/A 182M-02,F 55,---,S32760,0.030,1.00,1.00,0.030,0.010,24.0-26.0,6.0-8.0,3.0-4.0,Cu 0.50-1.00; N 0.20-0.30; W 0.50-1.00
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,ASTM A 473-01,---,---,S32760,0.030,1.00,1.00,0.030,0.010,24.0-26.0,6.0-8.0,3.0-4.0,Cu 0.50-1.00; N 0.20-0.30; W 0.50-1.00
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,EN 10250-4:1999,X2CrNiMoCuN25-6-3,1.4507,---,0.030,2.00,0.70,0.035,0.015,24.00-26.00,5.50-7.50,2.70-4.00,Cu 1.00-2.50; N 0.15-0.30
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,ASTM A 473-01,---,---,S32550,0.040,1.50,1.00,0.040,0.030,24.0-27.0,4.5-6.5,2.9-3.9,Cu 1.50-2.50; N 0.10-0.25
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,ASTM A 182/A 182M-02,F 59,---,S32520,0.030,1.50,0.80,0.035,0.020,24.0-26.0,5.5-8.0,3.0-5.0,Cu 0.50-3.00; N 0.20-0.35
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,ISO 9327-5:1999,X2CrNiN23-4,---,---,0.030,2.50,1.00,0.035,0.020,22.00-24.00,3.50-5.00,0.60,Cu 0.60; N 0.05-0.20
6.3.5A Chemical Composition of Duplex (Ferritic-Austenitic) Stainless Steel Forgings,EN 10250-4:1999,X2CrNiN23-4,1.4362,---,0.030,2.00,1.00,0.035,0.015,22.00-24.00,3.50-5.50,0.10-0.60,Cu 0.10-0.60; N 0.05-0.20
