Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,JIS G 5101:1991,SC 360,---,---,0.20,---,---,0.040,0.040,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,DIN 1681:1985,GS-38,1.0420,---,---,---,---,---,---,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,AFNOR NF A 32-054:1994,GE 230,---,---,0.20,1.20,0.60,0.035,0.030,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,ISO 3755:1991,200-400,---,---,---,---,---,0.035,0.035,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,ISO 3755:1991,200-400W,---,---,0.25,1.00,0.60,0.035,0.035,0.35,0.40,0.15,Cu 0.40; V 0.05; Ni+Cr+Mo+V 1.00
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,JIS G 5101:1991,SC 410,---,---,0.30,---,---,0.040,0.040,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,JIS G 5102:1991,SCW 410,---,---,0.22,1.50,0.80,0.040,0.040,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,ASTM A 27/A 27M-03,U-60-30,---,J02500,0.25,0.75,0.80,0.05,0.06,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,ASTM A 27/A 27M-03,60-30,---,J03000,0.30,0.60,0.80,0.05,0.06,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,BS 3100:1991 AMD.1:1992,A1,---,---,0.25,0.90,0.60,0.050,0.050,0.30,0.40,0.15,Cu 0.30; Cu+Ni+Cr+Mo 0.80
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,AFNOR NF A 32-054:1994,G16Mn5,---,---,0.13-0.20,1.60,0.60,0.030,0.025,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,ASTM A 27/A 27M-03,65-35,---,J03001,0.30,0.70,0.80,0.05,0.06,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,ASTM A 958-00,SC 1020 Class 65/35,---,---,0.18-0.23,0.40-0.80,0.30-0.60,0.040,0.040,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,ASTM A 958-00,SC 1025 Class 65/35,---,---,0.22-0.28,0.40-0.80,0.30-0.60,0.040,0.040,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,ASTM A 958-00,SC 1030 Class 65/35,---,---,0.28-0.34,0.50-0.90,0.30-0.60,0.040,0.040,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,JIS G 5101:1991,SC 450,---,---,0.35,---,---,0.040,0.040,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,JIS G 5102:1991,SCW 450,---,---,0.22,1.50,0.80,0.040,0.040,---,---,---,---
7.1.1B Chemical Composition of Cast Carbon Steel for General and Structural Applications,DIN 1681:1985,GS-45,1.0446,---,---,---,---,---,---,---,---,---,---
