Section,Standard Designation JIS G 5151:1991 ASTM A 216/A 216M-93 (2003) EN 10213-2:1995 ISO 4991:1994,"Grade, Class, Type, Symbol or Name SCPH 1 WCA GP240GR GP240GH C23-45A C23-45AH C23-45B C23-45BH SCPH 2 GP280GH WCB WCC C26-52 C26-52H",Steel Number --- 1.0621 1.0619 1.0625,UNS Number --- J02502 J03002 J02503,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,JIS G 5151:1991,SCPH 1,---,---,0.25,0.70,0.60,0.040,0.040,0.25,0.50,0.25,Cu+Ni+Cr+Mo 1.00
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,ASTM A 216/A 216M-93 (2003),WCA,---,J02502,0.25,0.70,0.60,0.04,0.045,0.50,0.50,0.20,Cu 0.30; V 0.03; Cu+Ni+Cr+Mo+V 1.00
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,EN 10213-2:1995,GP240GP,1.0621,---,0.18-0.25,1.20,0.60,0.030,0.020,---,---,---,---
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,EN 10213-2:1995,GP240GH,1.0619,---,0.18-0.23,0.50-1.20,0.60,0.030,0.020,---,---,---,---
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,ISO 4991:1995,C23-45A,---,---,0.025,1.20,0.60,0.035,0.035,---,---,---,---
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,ISO 4991:1995,C23-45H,,,,,,,,,,,
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,ISO 4991:1995,C23-45B,---,---,0.20,1.00-1.60,0.60,0.030,0.030,---,---,---,---
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,ISO 4991:1995,C23-45BH,,,,,,,,,,,
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,JIS G 5151:1991,SCPH 2,---,---,0.30,1.00,0.60,0.040,0.040,0.25,0.50,0.25,Cu+Ni+Cr+Mo 1.00
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,EN 10213-2:1995,GP280GH,1.0625,---,0.18-0.25,0.80-1.20,0.60,0.030,0.020,---,---,---,---
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,ASTM A 216/A 216M-93 (2003),WCB,---,J03002,0.30,1.00,0.60,0.04,0.045,0.50,0.50,0.20,Cu 0.30; V 0.03; Cu+Ni+Cr+Mo+V 1.00
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,ASTM A 216/A 216M-93 (2003),WCC,---,J02503,0.25,1.20,0.60,0.04,0.045,0.50,0.50,0.20,Cu 0.30; V 0.03; Cu+Ni+Cr+Mo+V 1.00
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,ISO 4991:1995,C26-52,---,---,0.25,1.20,0.60,0.030,0.030,---,---,---,---
7.1.2B Chemical Composition of Cast Carbon Steel for Pressure Purposes at High Temperatures,ISO 4991:1995,C26-52H,,,,,,,,,,,
