Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.2A Chemical Composition of Cast Manganese Steels,JIS G 5131:1991,SCMnH 1,---,---,0.90-1.30,11.00-14.00,---,0.100,0.050,---,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,JIS G 5131:1991,SCMnH 2,---,---,0.90-1.20,11.00-14.00,0.80,0.070,0.040,---,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,JIS G 5131:1991,SCMnH 3,---,---,0.90-1.20,11.00-14.00,0.30-0.80,0.050,0.035,---,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,ASTM A 128/A 128M-93 (2003),A,---,J91109,1.05-1.35,11.0,1.00,0.07,---,---,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,ASTM A 128/A 128M-93 (2003),B-1,---,J91119,0.9-1.05,11.5-14.0,1.00,0.07,---,---,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,ASTM A 128/A 128M-93 (2003),B-2,---,J91129,1.05-1.2,11.5-14.0,1.00,0.07,---,---,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,ASTM A 128/A 128M-93 (2003),B-3,---,J91139,1.12-1.28,11.5-14.0,1.00,0.07,---,---,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,ASTM A 128/A 128M-93 (2003),B-4,---,J91149,1.2-1.35,11.5-14.0,1.00,0.07,---,---,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,BS 3100:1991 AMD.1:1992,BW10,---,---,1.00-1.35,11.0,1.0,0.050,0.050,---,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,AFNOR NF A 32-058:1984,Z120M12-M,---,---,1.1-1.4,11-14,1,0.08,0.030,---,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,ISO 13521:1999,GX100Mn13,---,---,0.90-1.05,11-14,0.3-0.9,0.060,0.045,---,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,ISO 13521:1999,GX120Mn13,---,---,1.05-1.35,11-14,0.3-0.9,0.060,0.045,---,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,JIS G 5131:1991,SCMnH 11,---,---,0.90-1.30,11.00-14.00,0.80,0.070,0.040,1.50-2.50,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,ASTM A 128/A 128M-93 (2003),C,---,J91309,1.05-1.35,11.5-14.0,1.00,0.07,---,1.5-2.5,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,AFNOR NF A 32-058:1984,Z120MC12-M,---,---,1.1-1.4,11-14,1,0.08,0.030,1-2.5,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,ISO 13521:1999,GX120MnCr13-2,---,---,1.05-1.35,11-14,0.3-0.9,0.060,0.045,1.5-2.5,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,ASTM A 128/A 128M-93 (2003),D,---,J91459,0.7-1.3,11.5-14.0,1.00,0.07,---,---,3.0-4.0,---,---
7.2A Chemical Composition of Cast Manganese Steels,AFNOR NF A 32-058:1984,Z100MN13 4-M,---,---,0.7-1.3,12-15,1,0.08,0.030,---,2-5,---,---
7.2A Chemical Composition of Cast Manganese Steels,ISO 13521:1999,GX120MnNi13-3,---,---,1.05-1.35,11-14,0.3-0.9,0.060,0.045,---,3-4,---,---
7.2A Chemical Composition of Cast Manganese Steels,ASTM A 128/A 128M-93 (2003),E-1,---,J91249,0.7-1.3,11.5-14.0,1.00,0.07,---,---,---,0.9-1.2,---
7.2A Chemical Composition of Cast Manganese Steels,AFNOR NF A 32-058:1984,Z110MD12 1-M,---,---,0.8-1.3,11-14,1,0.08,0.030,---,---,0.8-1.2,---
7.2A Chemical Composition of Cast Manganese Steels,ISO 13521:1999,GX110MnMo13-1,---,---,0.75-1.35,11-14,0.3-0.9,0.060,0.045,---,---,0.9-1.2,---
7.2A Chemical Composition of Cast Manganese Steels,ASTM A 128/A 128M-93 (2003),E-2,---,J91339,1.05-1.45,11.5-14.0,1.00,0.07,---,---,---,1.8-2.1,---
7.2A Chemical Composition of Cast Manganese Steels,ISO 13521:1999,GX90MnMo14,---,---,0.70-1.00,13-15,0.3-0.6,0.070,0.045,---,---,1.0-1.8,---
7.2A Chemical Composition of Cast Manganese Steels,ASTM A 128/A 128M-93 (2003),F,---,J91340,1.05-1.35,6.0-8.0,1.00,0.07,---,---,---,0.9-1.2,---
7.2A Chemical Composition of Cast Manganese Steels,AFNOR NF A 32-058:1984,Z100MD8 1-M,---,---,0.8-1.2,5-7,1,0.08,0.030,---,---,0.8-1.2,---
7.2A Chemical Composition of Cast Manganese Steels,ISO 13521:1999,GX120MnMo7-1,---,---,1.05-1.35,6-8,0.3-0.9,0.060,0.045,---,---,0.9-1.2,---
7.2A Chemical Composition of Cast Manganese Steels,AFNOR NF A 32-058:1984,Z120MC17 2-M,---,---,1.1-1.4,16-18,1,0.08,0.030,1.8-2.3,---,---,---
7.2A Chemical Composition of Cast Manganese Steels,ISO 13521:1999,GX120MnCr7-2,---,---,1.05-1.35,16-19,0.3-0.9,0.060,0.045,1.5-2.5,---,---,---
