Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,AFNOR NF A 32-053:1992,20 D5-M,---,---,0.23,1.20,0.60,0.025,0.020,---,---,0.45-0.65,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,BS 3100:1991 AMD.1:1992,B1,---,---,0.20,0.40-1.00,0.20-0.60,0.040,0.040,0.30,0.40,0.45-0.65,Cu 0.30; Cr+Ni+Cu+V 0.80
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,AFNOR NF A 32-054:1994,G25CrMo4,---,---,0.22-0.28,1.00,0.60,0.030,0.020,0.80-1.20,---,0.15-0.35,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,JIS G 5111:1991,SCCrM 1,---,---,0.20-0.30,0.50-0.80,0.30-0.60,0.040,0.040,0.80-1.20,---,0.15-0.35,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,DIN 17205:1992,GS-25 CrMo 4,1.7218,---,0.22-0.29,0.50-0.80,0.60,0.020,0.015,0.80-1.20,---,0.20-0.30,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,ASTM A 958-00,SC 4130,---,---,0.28-0.33,0.40-0.80,0.30-0.60,0.035,0.040,0.80-1.10,---,0.15-0.25,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,DIN 17205:1992,GS-34 CrMo 4,1.7220,---,0.30-0.37,0.50-0.80,0.60,0.020,0.015,0.80-1.20,---,0.20-0.30,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,JIS G 5111:1991,SCCrM 3,---,---,0.30-0.40,0.50-0.80,0.30-0.60,0.040,0.040,0.80-1.20,---,0.15-0.35,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,AFNOR NF A 32-054:1994,G35CrMo4,---,---,0.30-0.38,1.00,0.60,0.030,0.020,0.80-1.20,---,0.15-0.35,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,ASTM A 958-00,SC 4140,---,---,0.38-0.43,0.70-1.10,0.30-0.60,0.035,0.040,0.80-1.10,---,0.15-0.25,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,DIN 17205:1992,GS-42 CrMo 4,1.7225,---,0.38-0.45,0.60-1.00,0.60,0.020,0.015,0.80-1.20,---,0.20-0.30,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,AFNOR NF A 32-054:1994,G42CrMo4,---,---,0.39-0.45,1.00,0.60,0.030,0.020,0.80-1.20,---,0.15-0.35,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,ASTM A 958-00,SC 4330,---,---,0.28-0.33,0.60-0.90,0.30-0.60,0.035,0.040,0.70-0.90,1.65-2.00,0.20-0.30,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,JIS G 5111:1991,SCNCrM 2,---,---,0.25-0.35,0.90-1.50,0.30-0.60,0.040,0.040,0.30-0.90,1.60-2.00,0.15-0.35,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,DIN 17205:1992,GS-33 CrNiMo 7 4 4,1.6740,---,0.30-0.36,0.50-0.80,0.60,0.015,0.007,0.90-1.20,1.50-1.80,0.35-0.50,---
7.3.1A Chemical Composition of Cast Alloy Steels for General and Structural Purposes,AFNOR NF A 32-054:1994,G30NiCrMo8,---,---,0.33,1.00,0.60,0.030,0.020,0.80-1.20,1.70-2.30,0.30-0.60,---
