Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,EN 10213-2:1995,G20Mo5,1.5419,---,0.15-0.23,0.50-1.00,0.60,0.025,0.020,---,0.40-0.60,---,---
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,JIS G 5151:1991,SCPH 11,---,---,0.25,0.50-0.80,0.60,0.040,0.040,0.35,0.45-0.65,0.50,W 0.1; Cu+Ni+Cr+W 1.00
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ISO 4991:1994,C28H,---,---,0.15-0.23,0.50-1.00,0.30-0.60,0.035,0.030,0.30,0.40-0.60,---,---
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ASTM A 217/A 217M-02,WC1,---,J12524,0.25,0.50-0.80,0.60,0.04,0.045,---,0.45-0.65,---,Cu 0.50; Ni 0.50; Cr 0.35; W 0.10; Cu+Ni+Cr+W 1.00
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,JIS G 5151:1991,SCPH 21,---,---,0.20,0.50-0.80,0.60,0.040,0.040,1.00-1.50,0.50,0.45-0.65,W 0.10; Cu+Ni+W 1.00
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ASTM A 217/A 217M-02,WC6,---,J12072,0.05-0.20,0.50-0.80,0.60,0.04,0.045,1.00-1.50,---,0.45-0.65,Cu 0.50; Ni 0.50; W 0.10; Cu+Ni+W 1.00
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ISO 4991:1994,C32H,---,---,0.10-0.20,0.50-0.80,0.30-0.60,0.035,0.035,1.00-1.50,---,0.45-0.65,---
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,EN 10213-2:1995,G17CrMo5-5,1.7357,---,0.15-0.20,0.50-1.00,0.60,0.020,0.020,1.00-1.50,---,0.45-0.65,---
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,JIS G 5151:1991,SCPH 23,---,---,0.20,0.50-0.80,0.60,0.040,0.040,1.00-1.50,0.50,0.90-1.20,V 0.15-0.25; Cu 0.50; W 0.10; Cu+Ni+W 1.00
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ASTM A 389/A 389M-03,C24,---,J12092,0.20,0.30-0.80,0.60,0.04,0.045,0.80-1.25,---,0.90-1.20,V 0.15-0.25
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ISO 4991:1994,C35BH,---,---,0.13-0.20,0.50-0.80,0.30-0.60,0.035,0.035,1.20-1.60,---,0.90-1.20,V 0.15-0.35
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,EN 10213-2:1995,G17CrMoV5-10,1.7706,---,0.15-0.20,0.50-0.90,0.60,0.020,0.015,1.20-1.50,---,0.90-1.10,V 0.20-0.30; Sn 0.025
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,JIS G 5151:1991,SCPH 32,---,---,0.20,0.50-0.80,0.60,0.040,0.040,2.00-2.75,0.50,0.90-1.20,Cu 0.50; W 0.10; Cu+Ni+W 1.00
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ASTM A 217/A 217M-02,WC9,---,J21890,0.05-0.18,0.40-0.70,0.60,0.04,0.045,2.00-2.75,---,0.90-1.20,Cu 0.50; Ni 0.50; W 0.10; Cu+Ni+W 1.00
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ISO 4991:1994,C34AH,---,---,0.08-0.15,0.50-0.80,0.30-0.60,0.035,0.035,2.00-.250,---,0.90-1.20,---
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ASTM A 487/A 487M-93 (2003),"Grade 8, Class A, B, C",---,J22091,0.05-0.20,0.50-0.90,0.80,0.04,0.045,2.00-2.75,---,0.90-1.10,Cu 0.50; W 0.10; V 0.03; Cu+W+V 0.60
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,EN 10213-2:1995,G17CrMo9-10,1.7379,---,0.13-0.20,0.50-0.90,0.60,0.020,0.020,2.00-2.50,---,0.90-1.20,---
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ISO 4991:1994,C34BH,---,---,0.13-0.20,0.50-0.80,0.30-0.60,0.035,0.035,2.00-.250,---,0.90-1.20,---
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,JIS G 5151:1991,SCPH 61,---,---,0.20,0.50-0.80,0.75,0.040,0.040,4.00-6.50,0.50,0.45-0.65,Cu 0.50; W 0.10; Cu+Ni+W 1.00
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ASTM A 217/A 217M-02,C5,---,J42045,0.20,0.40-0.70,0.75,0.04,0.045,4.00-6.50,---,0.45-0.65,Cu 0.50; Ni 0.50; W 0.10; Cu+Ni+W 1.00
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,EN 10213-2:1995,GX15CrMo5,1.7365,---,0.12-0.19,0.50-0.80,0.80,0.025,0.025,4.00-6.00,---,0.45-0.65,---
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ISO 4991:1994,C37H,---,---,0.12-0.19,0.50-0.80,0.80,0.035,0.035,4.00-6.00,---,0.45-0.65,---
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,EN 10295:2002,Gx30CrSi7,1.4710,---,0.20-0.35,0.50-1.00,1.00-2.50,0.035,0.030,6.00-8.00,0.50,0.15,---
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ISO 11973:1999,GX30CrSi7,---,---,0.20-0.35,0.5-1.0,1.0-2.5,0.04,0.04,6-8,0.5,0.5,---
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ASTM A 217/A 217M-02,C12,---,J82090,0.20,0.35-0.65,1.00,0.04,0.045,8.00-10.00,---,0.90-1.20,Cu 0.50; Ni 0.50; W 0.10; Cu+Ni+W 1.00
7.3.2A Chemical Composition of Cast Alloy Steels for Pressure Purposes at High Temperatures,ISO 4991:1994,C38H,---,---,0.10-0.17,0.50-0.80,0.80,0.035,0.035,8.00-10.00,---,1.00-1.30,---
