Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,EN 10213-3:1995,G18Mo5,1.5422,---,0.15-0.20,0.80-1.20,0.60,0.020,0.020,---,---,0.45-0.65,---
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,JIS G 5152:1991,SCPL 11,---,---,0.25,0.50-0.80,0.60,0.040,0.040,0.35,---,0.45-0.65,Cu 0.50
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,ASTM A 352/A 352M-03,LC1,---,J12522,0.25,0.50-0.80,0.60,0.04,0.045,---,---,0.45-0.65,---
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,JIS G 5152:1991,SCPL 21,---,---,0.25,0.50-0.80,0.60,0.040,0.040,0.35,2.00-3.00,---,Cu 0.50
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,EN 10213-3:1995,G9Ni10,1.5636,---,0.06-0.12,0.50-0.80,0.60,0.020,0.015,---,2.00-3.00,---,---
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,ASTM A 757/A 757M-00,"B2N, B2Q",---,J22501,0.25,0.50-0.80,0.60,0.025,0.025,0.40,2.0-3.0,0.25,Cu 0.50; V 0.03; P+S+Cu+V+Cr+Mo 1.00
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,ASTM A 352/A 352M-03,LC2,---,J22500,0.25,0.50-0.80,0.60,0.04,0.045,---,2.00-3.00,---,---
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,ISO 4991:1994,C43L,---,---,0.14,0.50-0.80,0.30-0.60,0.030,0.030,---,3.00-4.00,---,---
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,JIS G 5152:1991,SCPL 31,---,---,0.15,0.50-0.80,0.60,0.040,0.040,0.35,3.00-4.00,---,Cu 0.50
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,ASTM A 757/A 757M-00,"B3N, B3Q",---,J31500,0.15,0.50-0.80,0.60,0.025,0.025,0.40,3.0-4.0,0.25,Cu 0.50; V 0.03; P+S+Cu+V+Cr+Mo 1.00
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,ASTM A 352/A 352M-03,LC3,---,J31550,0.15,0.50-0.80,0.60,0.04,0.045,---,3.00-4.00,---,---
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,EN 10213-3:1995,G9Ni14,1.5638,---,0.06-0.12,0.50-0.80,0.60,0.020,0.015,---,3.00-4.00,---,---
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,ISO 4991:1994,C43E2aL,---,---,0.22,0.40-0.80,0.30-0.60,0.030,0.030,1.35-2.00,2.50-3.50,0.35-0.60,---
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,ASTM A 352/A 352M-03,LC2-1,---,J42215,0.22,0.55-0.75,0.50,0.04,0.045,1.351.85,2.50-3.50,0.30-0.60,---
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,EN 10213-3:1995,G17NiCrMo13-6,1.6781,---,0.15-0.19,0.55-0.80,0.50,0.015,0.015,1.30-1.80,3.00-3.50,0.45-0.60,---
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,ASTM A 757/A 757M-00,"E2N1, E2Q1, E2N2, E2Q2, E2N3, E2Q3",---,---,0.20,0.40-0.70,0.60,0.020,0.020,1.50-2.00,2.75-3.90,0.40-0.60,Cu 0.50; V 0.03; W 0.10; P+S+V+Cu+W 0.70
7.3.3A Chemical Composition of Cast Alloy Steels for Pressure Purposes at Low Temperatures,ISO 4991:1994,C43E2bL,---,---,0.22,0.40-0.80,0.30-0.60,0.030,0.030,1.50-2.00,2.75-3.90,0.35-0.60,---
