Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,JIS G 5121:2003,SCS 1,---,---,0.15,1.00,1.50,0.040,0.040,11.50-14.00,1.00,0.50,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,410C21,---,---,0.15,1.0,1.0,0.040,0.040,11.5-13.5,1.0,---,Cu 0.30
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CA15,---,J91150,0.15,1.00,1.50,0.04,0.04,11.5-14.0,1.00,0.50,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,420C28,---,---,0.20,1.0,1.0,0.040,0.040,11.5-13.5,1.0,---,Cu 0.30
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX12Cr12,1.4011,---,0.15,1.00,1.00,0.035,0.025,11.50-13.50,1.0,0.50,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,ISO 11972:1998,GX 12 Cr 12,---,---,0.15,0.8,0.8,0.035,0.025,11.5-13.5,1.0,0.5,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,420C29,---,---,0.20,1.0,1.0,0.040,0.040,11.5-13.5,1.0,---,Cu 0.30
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,JIS G 5121:2003,SCS 3,---,---,0.15,1.00,1.00,0.040,0.040,11.50-14.00,0.50-1.50,0.15-1.00,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX7CrNiMo12-1,1.4008,---,0.10,1.00,1.00,0.035,0.025,12.00-13.50,1.00-2.00,0.20-0.50,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,ISO 11972:1998,GX 8 CrNiMo 12 1,---,---,0.10,0.8,0.8,0.035,0.025,11.5-13.0,0.8-1.8,0.2-0.5,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CA15M,---,J91151,0.15,1.00,0.65,0.040,0.040,11.5-14.0,1.00,0.15-1.0,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,JIS G 5121:2003,SCS 2,---,---,0.16-0.24,1.00,1.50,0.040,0.040,11.50-14.00,1.00,0.50,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,JIS G 5121:2003,SCS 2A,---,---,0.25-0.40,1.00,1.50,0.040,0.040,11.50-14.00,1.00,0.50,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CA40,---,J91153,0.20-0.40,1.00,1.50,0.04,0.04,11.5-14.0,1.0,0.5,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,AFNOR NF A 32-053:1992,Z 3CN13.4-M,---,---,0.05,1.00,1.00,0.035,0.015,12.0-13.5,3.5-5.0,0.70,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,AFNOR NF A 32-054:1994,GX4CrNi13-4,---,---,0.06,1.00,0.80,0.035,0.020,12.00-13.50,3.50-4.50,---,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX4CrNi13-4,1.4317,---,0.06,1.00,1.00,0.035,0.025,12.00-13.50,3.50-5.00,0.70,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,JIS G 5121:2003,SCS 5,---,---,0.06,1.00,1.00,0.040,0.040,11.50-14.00,3.50-4.50,---,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,ISO 11972:1998,GX 4CrNi 12 4,---,---,0.06,1.5,1.0,0.035,0.025,11.5-13.0,3.5-5.0,1.0,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,425C11,---,---,0.10,1.0,1.0,0.040,0.030,11.5-13.5,3.4-4.2,0.60,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,JIS G 5121:2003,SCS 6,---,---,0.06,1.00,1.00,0.040,0.030,11.50-14.00,3.50-4.50,0.40-1.00,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,425C12,---,---,0.06,1.0,1.0,0.040,0.030,11.5-14.0,3.5-4.5,0.40-1.0,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CA6NM,---,J91540,0.06,1.00,1.00,0.04,0.03,11.5-14.0,3.5-4.5,0.4-1.0,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX4CrNiMo16-5-1,1.4405,---,0.06,1.00,0.80,0.035,0.025,15.00-17.00,4.00-6.00,0.70-1.50,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,ISO 11972:1998,GX 4 CrNiMo 16 5 1,---,---,0.06,0.8,0.8,0.035,0.025,15.0-17.0,4.0-6.0,0.7-1.5,---
7.4.1.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for General and Corrosion Resistant Applications,AFNOR NF A 32-054:1994,GX4CrNi16-4,---,---,0.06,1.00,0.80,0.020,0.035,15.50-17.00,4.00-5.50,---,---
