Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,JIS G 5121:2003,SCS 12,---,---,0.20,2.00,2.00,0.040,0.040,18.00-21.00,8.00-11.00,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CF20,---,J92602,0.20,1.50,2.00,0.04,0.04,18.0-21.0,8.0-11.0,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,AFNOR NF A 32-053:1992,Z 5CN19.10-M,---,---,0.07,2.00,2.00,0.035,0.025,18.0-21.0,8.0-12.0,0.50,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX5CrNi19-10,1.4308,---,0.07,1.50,1.50,0.040,0.030,18.00-20.00,8.00-11.00,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ISO 11972:1998,GX 5 CrNi 19 9,---,---,0.07,1.5,1.5,0.040,0.030,18.0-21.0,8.0-11.0,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,JIS G 5121:2003,SCS 13,---,---,0.08,2.00,2.00,0.040,0.040,18.00-21.00,8.00-11.00,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,JIS G 5121:2003,SCS 13A,---,---,0.08,1.50,2.00,0.040,0.040,18.00-21.00,8.00-11.00,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,304C15,---,---,0.08,2.0,1.5,0.040,0.040,18.0-21.0,8.0-11.0,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,304C15LT196,---,---,0.08,2.0,1.5,0.040,0.040,18.0-21.0,8.0-11.0,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CF8,---,J92600,0.08,1.50,2.00,0.04,0.04,18.0-21.0,8.0-11.0,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 744/A 744M-00,CF8,---,J92600,0.08,1.50,2.0,0.04,0.04,18.0-21.0,8.0-11.0,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,JIS G 5121:2003,SCS 19,---,---,0.03,2.00,2.00,0.040,0.040,17.00-21.00,8.00-12.00,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,304C12,---,---,0.03,2.0,1.5,0.040,0.040,17.0-21.0,8.0-12.0,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,304C12LT196,---,---,0.03,2.0,1.5,0.040,0.040,17.0-21.0,8.0-12.0,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX2CrNi19-11,1.4309,---,0.030,2.00,1.50,0.035,0.025,18.00-20.00,9.00-12.00,---,N 0.20
