Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,ASTM A 217/A 217M-02,CA15,---,J91150,0.15,1.00,1.50,0.040,0.040,11.5-14.0,1.00,0.50,---
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,ASTM A 487/A 487M-93 (2003),CA15,---,J91171,0.15,1.00,1.50,0.040,0.040,11.5-14.0,1.00,0.50,Cu 0.50; W 0.10; V 0.05 Cu+W+V 0.50
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,EN 10213-2:1995,GX8CrNi12,1.4107,---,0.10,0.50-0.80,0.40,0.030,0.020,11.50-12.50,0.80-1.50,0.50,---
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,ISO 4991:1994,C39CH,---,---,0.10-0.17,1.00,0.8,0.035,0.035,11.5-13.5,1.0,0.5,---
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,ISO 4991:1994,C39CNiH,---,---,0.05-0.10,0.40-0.80,0.80,0.035,0.035,11.5-13.0,0.80-1.80,0.20-0.50,
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,EN 10213-2:1995,GX4CrNi13-4,1.4317,---,0.06,1.00,1.00,0.035,0.025,12.00-13.50,3.50-5.00,0.70,---
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,EN 10213-3:1995,GX3CrNi13-4,1.6982,---,0.05,1.00,1.00,0.035,0.015,12.00-13.50,3.50-5.00,0.70,---
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,ISO 4991:1994,C39NiH,---,---,0.08,1.50,1.00,0.035,0.035,11.5-13.5,3.50-5.00,1.00,---
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,ISO 4991:1994,C39NiL,---,---,0.08,1.50,1.00,0.030,0.030,11.5-13.5,3.50-5.00,1.00,---
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,ASTM A 352/A 352M-03,CA6NM,---,J91540,0.06,1.00,1.00,0.04,0.03,11.5-14.0,3.5-4.5,0.4-1.0,---
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,ASTM A 487/A 487M-93 (2003),CA6NM,---,J91540,0.06,1.00,1.00,0.04,0.03,11.5-14.0,3.5-4.5,0.4-1.0,Cu 0.50; W 0.10; V 0.05; Cu+W+V 0.50
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,ASTM A 757/A 757M-00,E3N,---,J91550,0.06,1.00,1.00,0.030,0.030,11.5-14.0,3.5-4.5,0.4-1.0,Cu 0.50; W 0.10; P+S+Cu+W 0.50
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,EN 10213-2:1995,GX23CrMoV12-1,1.4931,---,0.20-0.26,0.50-0.80,0.40,0.030,0.020,11.30-12.20,1.00,1.00-1.20,V 0.25-0.35; W 0.50
7.4.2.1A Chemical Composition of Martensitic and Ferritic Stainless Steels for Pressure Purposes,ISO 4991:1994,C40H,---,---,0.20-0.26,0.50-0.70,0.20-0.40,0.035,0.035,11.3-12.3,0.70-1.00,1.00-1.20,V 0.25-0.35
