Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 1,---,---,0.20-0.40,1.00,1.50-3.00,0.040,0.040,12.00-15.00,1.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 3,---,---,0.40,1.00,2.00,0.040,0.040,12.00-15.00,1.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,BS 3100:1991 AMD.1:1992,420C24,---,---,0.25,1.0,2.0,0.050,0.050,12.0-16.0,---,---,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX40CrSi13,1.4729,---,---,1.00,1.00-2.50,0.040,0.030,12.00-14.00,1.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ISO 11973:1999,GX40CrSi13,---,---,0.3-0. 5,0.5-1.0,1.0-2.5,0.04,0.03,12-14,1,0.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX40CrSi17,1.4740,---,0.30-0.50,1.00,1.00-2.50,0.040,0.030,16.00-19.00,1.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ISO 11973:1999,GX40CrSi17,---,---,0.3-0.5,0.5-1.0,1.0-2.5,0.04,0.03,16-19,1,0.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX40CrSi24,1.4745,---,0.30-0.50,1.00,1.00-2.50,0.040,0.030,23.00-26.00,1.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ISO 11973:1999,GX40CrSi24,---,---,0.3-0.5,0.5-1.0,1.0-2.5,0.04,0.03,23-26,1,0.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX40CrSi28,1.4776,---,0.30-0.50,1.00,1.00-2.50,0.040,0.030,27.00-30.00,1.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ISO 11973:1999,GX40CrSi28,---,---,0.3-0.5,0.5-1.0,1.0-2.5,0.04,0.03,27-30,1,0.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX130CrSi29,1.4777,---,1.20-1.40,0.50-1.00,1.00-2.50,0.035,0.030,27.00-30.00,1.00,0.50,---
