Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
8.1.2A Chemical Composition of Ferritic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,405,---,S40500,0.08,1.00,1.00,0.040,0.030,11.5-14.5,0.60,---,Al 0.10-0.30
8.1.2A Chemical Composition of Ferritic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS405,---,---,0.08,1.00,1.00,0.040,0.030,11.50-14.50,---,---,Al 0.10-0.30
8.1.2A Chemical Composition of Ferritic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS405,---,---,0.08,1.00,1.00,0.040,0.030,11.50-14.50,---,---,Al 0.10-0.30
8.1.2A Chemical Composition of Ferritic Stainless Steels (Plate/Sheet/Strip),JIS G 4312:1991,SUS405,---,---,0.08,1.00,1.00,0.040,0.030,11.50-14.50,---,---,Al 0.10-0.30
8.1.2A Chemical Composition of Ferritic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X6CrAl13,1.4002,---,0.08,1.00,1.00,0.040,0.015,12.00-14.00,---,---,Al 0.10-0.30
8.1.2A Chemical Composition of Ferritic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,---,---,S40977,0.030,1.5,1.00,0.040,0.015,10.5-12.5,0.30-1.00,---,N 0.030
8.1.2A Chemical Composition of Ferritic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,---,---,S41050,0.030,1.00,1.00,0.040,0.030,12.0-13.0,0.50,---,N 0.030; Cb 9 x (C+N) to 0.60
8.1.2A Chemical Composition of Ferritic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X2CrNi12,1.4003,---,0.030,1.50,1.00,0.040,0.015,10.50-12.50,0.30-1.00,---,N 0.030
8.1.2A Chemical Composition of Ferritic Stainless Steels (Plate/Sheet/Strip),JIS G 4312:1991,SUH409L,---,---,0.030,1.00,1.00,0.040,0.030,10.50-11.75,---,---,Ti 6 x C to 0.75
8.1.2A Chemical Composition of Ferritic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X2CrTi12,1.4512,---,0.030,1.00,1.00,0.040,0.015,10.50-12.50,---,---,Ti 6 x (C+N) to 0.65
8.1.2A Chemical Composition of Ferritic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,430,---,S43000,0.12,1.00,1.00,0.040,0.030,16.0-18.0,0.75,---,---
8.1.2A Chemical Composition of Ferritic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS430,---,---,0.12,1.00,0.75,0.040,0.030,16.00-18.00,---,---,---
