Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 666-03,201,---,S20100,0.15,5.5-7.5,0.75,0.060,0.030,16.0-18.0,3.5-5.5,---,N 0.25
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,201,---,S20100,0.15,5.5-7.5,1.00,0.060,0.030,16.0-18.0,3.5-5.5,---,N 0.25
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X12CrMnNiN17-7-5,1.4372,---,0.15,5.50-7.50,1.00,0.045,0.015,16.00-18.00,3.50-5.50,---,N 0.05-0.25
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 666-03,201L,---,S20103,0.03,5.5-7.5,0.75,0.045,0.030,16.0-18.0,3.5-5.5,---,N 0.25
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 666-03,201LN,---,S20153,0.03,6.4-7.5,0.75,0.045,0.015,16.0-17.5,4.0-5.0,---,N 0.10-0.25; Cu 1.00
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,201L,---,S20103,0.03,5.5-7.5,0.75,0.045,0.030,16.0-18.0,3.5-5.5,---,N 0.25
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,201LN,---,S20153,0.03,6.4-7.5,0.75,0.045,0.015,16.0-17.5,4.0-5.0,---,N 0.10-0.25; Cu 1.00
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X2CrMnNiN17-7-5,1.4371,---,0.030,6.00-8.00,1.00,0.045,0.015,16.00-17.00,3.50-5.50,---,N 0.15-0.20
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 666-03,202,---,S20200,0.15,7.5-10.0,0.75,0.060,0.030,17.0-19.0,4.0-6.0,---,N 0.25
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,202,---,S20200,0.15,7.5-10.0,1.00,0.060,0.030,17.0-19.0,4.0-6.0,---,N 0.25
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X12CrMnNiN18-9-5,1.4373,---,0.15,7.50-10.50,1.00,0.045,0.015,17.00-19.00,4.00-6.00,---,N 0.05-0.25
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 666-03,301,---,S30100,0.15,2.00,1.00,0.045,0.030,16.0-18.0,6.0-8.0,---,N 0.10
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,301,---,S30100,0.15,2.00,1.00,0.045,0.030,16.0-18.0,6.0-8.0,---,N 0.10
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS301,---,---,0.15,2.00,1.00,0.045,0.030,16.00-18.00,6.00-8.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS301J1,---,---,0.08-0.12,2.00,1.00,0.045,0.030,16.00-18.00,7.00-9.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS301,---,---,0.15,2.00,1.00,0.045,0.030,16.00-18.00,6.00-8.00,---,---
