Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),ASTM A 276-03,403,---,S40300,0.15,1.00,0.50,0.040,0.030,11.5013.0,0.60,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4303:1998,SUS403,---,---,0.15,1.00,0.50,0.040,0.030,11.50-13.00,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4311:1991,SUS403,---,---,0.15,1.00,0.50,0.040,0.030,11.50-13.00,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4318:1998,SUS403,---,---,0.15,1.00,0.50,0.040,0.030,11.50-13.00,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),ASTM A 276-03,410,---,S41000,0.08-0.15,1.00,1.00,0.040,0.030,11.5-13.5,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4303:1998,SUS410,---,---,0.15,1.00,1.00,0.040,0.030,11.50-13.50,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4311:1991,SUS410,---,---,0.15,1.00,1.00,0.040,0.030,11.50-13.50,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4318:1998,SUS410,---,---,0.15,1.00,1.00,0.040,0.030,11.50-13.50,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),EN 10088-3:1995,X12Cr13,1.4006,---,0.08-0.15,1.50,1.00,0.040,0.030,11.50-13.50,0.75,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),ASTM A 582/A 582M-95b (2000),416,---,S41600,0.15,1.25,1.00,0.06,0.15 min,12.00-14.00,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4303:1998,SUS416,---,---,0.15,1.25,1.00,0.060,0.15 min,12.00-14.00,---,0.60,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4318:1998,SUS416,---,---,0.15,1.25,1.00,0.060,0.15 min,12.00-14.00,---,0.60,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),EN 10088-3:1995,X12CrS13,1.4005,---,0.08-0.15,1.50,1.00,0.040,0.15-0.35,12.00-14.00,---,0.60,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4303:1998,SUS420J1,---,---,0.16-0.25,1.00,1.00,0.040,0.030,12.00-14.00,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4318:1998,SUS420J1,---,---,0.16-0.25,1.00,1.00,0.040,0.030,12.00-14.00,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),EN 10088-3:1995,X20Cr13,1.4021,---,0.16-0.25,1.50,1.00,0.040,0.030,12.00-14.00,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4303:1998,SUS420J2,---,---,0.26-0.40,1.00,1.00,0.040,0.030,12.00-14.00,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4318:1998,SUS420J2,---,---,0.26-0.40,1.00,1.00,0.040,0.030,12.00-14.00,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),EN 10088-3:1995,X30Cr13,1.4028,---,0.26-0.35,1.50,1.00,0.040,0.030,12.00-14.00,---,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),ASTM A 582/A 582M-95b (2000),420F,---,S42020,0.30-0.40,1.25,1.00,0.06,0.15 min,12.00-14.00,0.50,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4303:1998,SUS420F,---,---,0.26-0.40,1.25,1.00,0.060,0.15 min,12.00-14.00,---,0.60,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4318:1998,SUS420F,---,---,0.26-0.40,1.25,1.00,0.060,0.15 min,12.00-14.00,---,0.60,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),EN 10088-3:1995,X29CrS13,1.4029,---,0.25-0.32,1.50,1.00,0.040,0.15-0.25,12.00-13.50,---,0.60,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),ASTM A 276-03,431,---,S43100,0.20,1.00,1.00,0.040,0.030,15.0-17.0,1.25-2.5,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4303:1998,SUS431,---,---,0.20,1.00,1.00,0.040,0.030,15.00-17.00,1.25-2.50,---,---
8.2.1A Chemical Composition of Martensitic Stainless Steels (Bar),JIS G 4311:1991,SUS431,---,---,0.20,1.00,1.00,0.040,0.030,15.00-17.00,1.25-2.50,---,---
