Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),ASTM A 276-03,405,---,S40500,0.08,1.00,1.00,0.040,0.030,11.5-14.5,0.50,---,Al 0.10-0.30
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),JIS G 4303:1998,SUS405,---,---,0.08,1.00,1.00,0.040,0.030,11.50-14.50,---,---,Al 0.10-0.30
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),JIS G 4311:1991,SUS405,---,---,0.08,1.00,1.00,0.040,0.030,11.50-14.50,---,---,Al 0.10-0.30
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),EN 10088-3:1995,X6Cr13,1.4000,---,0.08,1.00,1.00,0.040,0.030,12.00-14.00,---,---,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),ISO 4955:1994,X6Cr13,---,---,0.08,1.0,1.0,0.040,0.030,12.0-14.0,1.0,---,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),ASTM A 276-03,430,---,S43000,0.12,1.00,1.00,0.040,0.030,16.0-18.0,---,---,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),JIS G 4303:1998,SUS430,---,---,0.12,1.00,0.75,0.040,0.030,16.00-18.00,---,---,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),JIS G 4311:1991,SUS430,---,---,0.12,1.00,0.75,0.040,0.030,16.00-18.00,---,---,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),JIS G 4318:1998,SUS430,---,---,0.12,1.00,0.75,0.040,0.030,16.00-18.00,---,---,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),EN 10088-3:1995,X6Cr17,1.4016,---,0.08,1.00,1.00,0.040,0.030,16.00-18.00,---,---,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),ASTM A 582/A 582M-95b (2000),430F,---,S43020,0.12,1.25,1.00,0.060,0.15 min,16.00-18.00,---,---,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),JIS G 4303:1998,SUS430F,---,---,0.12,1.25,1.00,0.060,0.15 min,16.00-18.00,---,---,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),JIS G 4318:1998,SUS430F,---,---,0.12,1.25,1.00,0.060,0.15 min,16.00-18.00,---,---,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),EN 10088-3:1995,X6CrMoS17,1.4105,---,0.08,1.50,1.50,0.040,0.15-0.35,16.00-18.00,---,0.20-0.60,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),ISO 4955:1994,X6Cr17,---,---,0.08,1.0,1.0,0.040,0.030,16.0-18.0,1.0,---,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),ASTM A 582/A 582M-95b (2000),---,---,S18235,0.025,0.50,1.00,0.030,0.15-0.35,17.05-18.50,1.00,2.00-2.50,N 0.025; Ti 0.30-1.00; C+N 0.035
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),EN 10088-3:1995,X2CrMoTiS18-2,1.4523,---,0.030,0.50,1.00,0.040,0.15-0.35,17.50-19.00,---,2.00-2.50,C+N 0.040
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),JIS G 4303:1998,SUS434,---,---,0.12,1.00,1.00,0.040,0.030,16.00-18.00,---,0.75-1.25,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),EN 10088-3:1995,X6CrMo17-1,1.4113,---,0.08,1.00,1.00,0.040,0.030,16.00-18.00,---,0.90-1.40,---
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),ASTM A 276-03,447,---,S44700,0.010,0.30,0.20,0.025,0.020,28.0-30.0,0.15,3.5-4.2,N 0.020; Cu 0.15; C+N 0.025
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),JIS G 4303:1998,SUS447J1,---,---,0.010,0.40,0.40,0.030,0.020,28.50-32.00,0.50,1.50-2.50,N 0.015; Cu 0.20; Ni+Cu 0.50
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),ASTM A 276-03,XM-27,---,S44627,0.010,0.40,0.40,0.020,0.020,25.0-27.5,0.50,0.75-1.50,N 0.015; Cu 0.20; Cb 0.05-0.20
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),JIS G 4303:1998,SUSXM27,---,---,0.010,0.40,0.40,0.030,0.020,25.00-27.50,0.50,0.75-1.50,N 0.015; Cu 0.20; Ni+Cu 0.50
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),ASTM A 276-03,446,---,S44600,0.20,1.50,1.00,0.040,0.030,23.0-27.0,0.75,---,N 0.25
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),JIS G 4311:1991,SUH446,---,---,0.20,1.50,1.00,0.040,0.030,23.00-27.00,---,---,N 0.25
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),ISO 4955:1994,X15CrN26,---,---,0.20,1.0,1.0,0.040,0.030,24.0-28.0,1.0,---,N 0.15-0.25
8.2.2A Chemical Composition of Ferritic Stainless Steels (Bar),EN 10095:1999,X18CrN28,1.4749,---,0.15-0.20,1.00,1.00,0.040,0.015,26.00-29.00,---,---,N 0.15-0.25
