Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,201,---,S20100,0.15,5.5-7.5,1.00,0.060,0.030,16.0-18.0,3.5-5.5,---,N 0.25
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS201,---,---,0.15,5.50-7.50,1.00,0.060,0.030,16.00-18.00,3.50-5.50,---,N 0.25
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,202,---,S20200,0.15,7.5-10.0,1.00,0.060,0.030,17.0-19.0,4.0-6.0,---,N 0.25
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS202,---,---,0.15,7.50-10.00,1.00,0.060,0.030,17.00-19.00,4.00-6.00,---,N 0.25
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS301,---,---,0.15,2.00,1.00,0.045,0.030,16.00-18.00,6.00-8.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X10CrNi18-8,1.4310,---,0.05-0.15,2.00,2.00,0.045,0.015,16.00-19.00,6.00-9.50,0.80,N 0.11
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,302,---,S30200,0.15,2.00,1.00,0.045,0.030,17.0-19.0,8.0-10.0,---,N 0.10
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS302,---,---,0.15,2.00,0.75,0.045,0.030,17.00-19.00,8.00-10.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4318:1998,SUS302,---,---,0.15,2.00,0.75,0.045,0.030,17.00-19.00,8.00-10.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 582/A 582M-95b (2000),303,---,S30300,0.15,2.00,1.00,0.20,0.15 min,17.00-19.00,8.00-10.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS303,---,---,0.15,2.00,1.00,0.20,0.15 min,17.00-19.00,8.00-10.00,0.60,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4318:1998,SUS303,---,---,0.15,2.00,1.00,0.20,0.15 min,17.00-19.00,8.00-10.00,0.60,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X8CrNiS18-9,1.4305,---,0.10,2.00,1.00,0.045,0.15-0.35,17.00-19.00,8.00-10.00,---,N 0.11; Cu 1.00
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 582/A 582M-95b (2000),303Se,---,S30323,0.15,2.00,1.00,0.20,0.06,17.00-19.00,8.00-10.00,---,Se 0.15 min
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS303Se,---,---,0.15,2.00,1.00,0.20,0.06,17.00-19.00,8.00-10.00,0.60,Se 0.15 min
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4318:1998,SUS303Se,---,---,0.15,2.00,1.00,0.20,0.06,17.00-19.00,8.00-10.00,0.60,Se 0.15 min
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,304,---,S30400,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.0-11.0,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS304,---,---,0.08,2.00,1.00,0.045,0.030,18.00-20.00,8.00-10.50,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4311:1991,SUS304,---,---,0.08,2.00,1.00,0.045,0.030,18.00-20.00,8.00-10.50,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4318:1998,SUS304,---,---,0.08,2.00,1.00,0.045,0.030,18.00-20.00,8.00-10.50,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X5CrNi18-10,1.4301,---,0.07,2.00,1.00,0.045,0.030,17.00-19.50,8.00-10.50,---,N 0.11
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,304L,---,S30403,0.030,2.00,1.00,0.045,0.030,18.0-20.0,8.0-12.0,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS304L,---,---,0.030,2.00,1.00,0.045,0.030,18.00-20.00,9.00-13.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4318:1998,SUS304L,---,---,0.030,2.00,1.00,0.045,0.030,18.00-20.00,9.00-13.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X2CrNi18-9,1.4307,---,0.030,2.00,1.00,0.045,0.030,17.50-19.50,8.00-10.00,---,N 0.11
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,304N,---,S30451,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.0-11.0,---,N 0.10-0.16
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS304N1,---,---,0.08,2.50,1.00,0.045,0.030,18.00-20.00,7.00-10.50,---,N 0.10-0.25
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,304LN,---,S30453,0.030,2.00,1.00,0.045,0.030,18.0-20.0,8.0-11.0,---,N 0.10-0.16
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS304LN,---,---,0.030,2.00,1.00,0.045,0.030,17.00-19.00,8.50-11.50,---,N 0.12-0.22
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X2CrNiN18-10,1.4311,---,0.030,2.00,1.00,0.045,0.030,17.00-19.50,8.50-11.50,---,N 0.12-0.22
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,XM-21,---,S30452,0.08,2.00,1.00,0.045,0.030,18.0-20.0,8.0-10.0,---,N 0.16-0.30
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS304N2,---,---,0.08,2.50,1.00,0.045,0.030,18.00-20.00,7.50-10.50,---,N 0.15-0.30; Nb 0.15
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,305,---,S30500,0.12,2.00,1.00,0.045,0.030,17.0-19.0,11.0-13.0,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS305,---,---,0.12,2.00,1.00,0.045,0.030,17.00-19.00,10.50-13.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4318:1998,SUS305,---,---,0.12,2.00,1.00,0.045,0.030,17.00-19.00,10.50-13.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X4CrNi18-12,1.4303,---,0.06,2.00,1.00,0.045,0.030,17.00-19.00,11.00-13.00,---,N 0.11
