Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1109,---,G11090,0.08-0.13,0.60-0.90,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1109,---,G11090,0.08-0.13,0.60-0.90,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,JIS G 4804:1999,SUM 12,---,---,0.08-0.13,0.60-0.90,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10087:1998,10S20,1.0721,---,0.07-0.13,0.70-1.10,0.40,0.06,0.15-0.25,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10277-3:1999,10S20,1.0721,---,0.07-0.13,0.70-1.10,0.40,0.06,0.15-0.25,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ISO 683-9:1988,10 S 20,---,---,0.07-0.13,0.70-1.10,0.15-0.40,0.06,0.15-0.25,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1110,---,G11100,0.08-0.13,0.30-0.60,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1110,---,G11100,0.08-0.13,0.30-0.60,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,JIS G 4804:1999,SUM 11,---,---,0.08-0.13,0.30-0.60,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1117,---,G11700,0.14-0.20,1.00-1.30,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1118,---,G11180,0.14-0.20,1.30-1.60,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1117,---,G11700,0.14-0.20,1.00-1.30,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1118,---,G11180,0.14–0.20,1.30–1.60,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,SAE J403-NOV01,1117,---,G11700,0.14-0.20,1.00-1.30,---,0.030,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,SAE J403-NOV01,1118,---,G11180,0.14-0.20,1.30-1.60,---,0.030,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,JIS G 4804:1999,SUM 31,---,---,0.14-0.20,1.00-1.30,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,JIS G 4804:1999,SUM 32,---,---,0.12-0.20,0.60-1.10,---,0.040,0.10-0.20,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10087:1998,15SMn13,1.0725,---,0.12-0.18,0.90-1.30,0.40,0.06,0.08-0.18,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10277-3:1999,15SMn13,1.0725,---,0.12-0.18,0.90-1.30,0.40,0.06,0.08-0.18,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ISO 683-9:1988,17 SMn 20,---,---,0.14-0.20,1.20-1.60,0.15-0.40,0.06,0.15-0.25,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1137,---,G11370,0.32-0.39,1.35-1.65,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1137,---,G11370,0.32-0.39,1.35-1.65,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,SAE J403-NOV01,1137,---,G11370,0.32-0.39,1.35-1.65,---,0.030,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,JIS G 4804:1999,SUM 41,---,---,0.32-0.39,1.35-1.65,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10087:1998,35S20,1.0726,---,0.32-0.39,0.70-1.10,0.40,0.06,0.15-0.25,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10087:1998,36SMn14,1.0764,---,0.32-0.39,1.30-1.70,0.40,0.06,0.10-0.18,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10277-3:1999,35S20,1.0726,---,0.32-0.39,0.70-1.10,0.40,0.06,0.15-0.25,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10277-3:1999,36SMn14,1.0764,---,0.32-0.39,1.30-1.70,0.40,0.06,0.10-0.18,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ISO 683-9:1988,35 S 20,---,---,0.32-0.39,0.70-1.10,0.15-0.40,0.06,0.15-0.25,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ISO 683-9:1988,35 SMn 20,---,---,0.32-0.39,0.90-1.40,0.15-0.40,0.06,0.15-0.25,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1139,---,G11390,0.35-0.43,1.35-1.65,---,0.040,0.13-0.20,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1139,---,G11390,0.35–0.43,1.35–1.65,---,0.040,0.13-0.20,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,SAE J403-NOV01,1138,---,G11380,0.34-0.40,0.70-1.00,---,0.030,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10087:1998,38SMn28,1.0760,---,0.35-0.40,1.20-1.50,0.40,0.06,0.24-0.33,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,EN 10277-3:1999,38SMn28,1.0760,---,0.35-0.40,1.20-1.50,0.40,0.06,0.24-0.33,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1140,---,G11400,0.37-0.44,0.70-1.00,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1140,---,G11400,0.37–0.44,0.70–1.00,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,SAE J403-NOV01,1140,---,G11400,0.37-0.44,0.70-1.00,---,0.030,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1141,---,G11410,0.37-0.45,1.35-1.65,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1141,---,G11410,0.37-0.45,1.35-1.65,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,SAE J403-NOV01,1141,---,G11410,0.37-0.45,1.35-1.65,---,0.030,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,JIS G 4804:1999,SUM 42,---,---,0.37-0.45,1.35-1.65,---,0.040,0.08-0.13,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1144,---,G11440,0.40-0.48,1.35-1.65,---,0.040,0.24-0.33,---,---,---,---
9.1.1 Chemical Composition of Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1144,---,G11440,0.40-0.48,1.35-1.65,---,0.040,0.24-0.33,---,---,---,---
