Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1212,---,G12120,0.13,0.70-1.00,---,0.07-0.12,0.16-0.23,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1212,---,G12120,0.13,0.70-1.00,---,0.07-0.12,0.16-0.23,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,SAE J403-NOV01,1212,---,G12120,0.13,0.70-1.00,---,0.07-0.12,0.16-0.23,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,JIS G 4804:1999,SUM 21,---,---,0.13,0.70-1.00,---,0.07-0.12,0.16-0.23,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,ISO 683-9:1988,9 S 20,---,---,0.13,0.60-1.20,0.05,0.11,0.15-0.25,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1213,---,G12130,0.13,0.70-1.00,---,0.07-0.12,0.24-0.33,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1213,---,G12130,0.13,0.70-1.00,---,0.07-0.12,0.24-0.33,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,SAE J403-NOV01,1213,---,G12130,0.13,0.70-1.00,---,0.07-0.12,0.24-0.33,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,JIS G 4804:1999,SUM 22,---,---,0.13,0.70-1.00,---,0.07-0.12,0.24-0.33,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,EN 10087:1998,11SMn30,1.0715,---,0.14,0.90-1.30,0.05,0.11,0.27-0.33,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,EN 10277-3:1999,11SMn30,1.0715,---,0.14,0.90-1.30,0.05,0.11,0.27-0.33,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,ISO 683-9:1988,11 SMn 28,---,---,0.14,0.90-1.30,0.05,0.11,0.24-0.33,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,1215,---,G12150,0.09,0.75-1.05,---,0.04-0.09,0.26-0.35,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),1215,---,G12150,0.09,0.75-1.05,---,0.04-0.09,0.26-0.35,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,SAE J403-NOV01,1215,---,G12150,0.09,0.75-1.05,---,0.04-0.09,0.26-0.35,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,JIS G 4804:1999,SUM 23,---,---,0.09,0.75-1.05,---,0.04-0.09,0.26-0.35,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,JIS G 4804:1999,SUM 25,---,---,0.15,0.90-1.40,---,0.07-0.12,0.30-0.40,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,EN 10087:1998,11SMn37,1.0736,---,0.14,1.00-1.50,0.05,0.11,0.34-0.40,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,EN 10277-3:1999,11SMn37,1.0736,---,0.14,1.00-1.50,0.05,0.11,0.34-0.40,---,---,---,---
9.1.2 Chemical Composition of Rephosphorized and Resulfurized Carbon Steels for Free-Machining Applications,ISO 683-9:1988,12 SMn 35,---,---,0.15,1.00-1.50,0.05,0.11,0.30-0.40,---,---,---,---
