Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,11 L 09,---,G11094,0.08-0.13,0.60-0.90,---,0.040,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),11 L 09,---,G11094,0.08-0.13,0.60-0.90,---,0.040,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,EN 10087:1998,10SPb20,1.0722,---,0.07-0.13,0.70-1.10,0.40,0.06,0.15-0.25,---,---,---,Pb 0.20-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,EN 10277-3:1999,10SPb20,1.0722,---,0.07-0.13,0.70-1.10,0.40,0.06,0.15-0.25,---,---,---,Pb 0.20-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ISO 683-9:1988,10 SPb 20,---,---,0.07-0.13,0.70-1.10,0.15-0.40,0.06,0.15-0.25,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,11 L 17,---,G11174,0.14-0.20,1.00-1.30,---,0.040,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),11 L 17,---,G11174,0.14-0.20,1.00-1.30,---,0.040,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,SAE J403-NOV01,11L17,---,G11174,0.14-0.20,1.00-1.30,---,0.030,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,JIS G 4804:1999,SUM 31 L,---,---,0.14-0.20,1.00-1.30,---,0.040,0.08-0.13,---,---,---,Pb 0.10-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,11 L 37,---,G11374,0.32-0.39,1.35-1.65,---,0.040,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),11 L 37,---,G11374,0.32-0.39,1.35-1.65,---,0.040,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,SAE J403-NOV01,11L37,---,G11374,0.32-0.39,1.35-1.65,---,0.030,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,EN 10087:1998,36SMnPb14,1.0765,---,0.32-0.39,1.30-1.70,0.40,0.06,0.10-0.18,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,EN 10277-3:1999,36SMnPb14,1.0765,---,0.32-0.39,1.30-1.70,0.40,0.06,0.10-0.18,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,11 L 41,---,G11414,0.37-0.45,1.35-1.65,---,0.040,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),11 L 41,---,G11414,0.37-0.45,1.35-1.65,---,0.040,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,SAE J403-NOV01,11L41,---,G11414,0.37-0.45,1.35-1.65,---,0.030,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,EN 10087:1998,38SMnPb28,1.0761,---,0.35-0.40,1.20-1.50,0.40,0.06,0.24-0.33,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,EN 10277-3:1999,38SMnPb28,1.0761,---,0.35-0.40,1.20-1.50,0.40,0.06,0.24-0.33,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,11 L 44,---,G11444,0.40-0.48,1.35-1.65,---,0.040,0.24-0.33,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),11 L 44,---,G11444,0.40-0.48,1.35-1.65,---,0.040,0.24-0.33,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,SAE J403-NOV01,11L44,---,G11444,0.40-0.48,1.35-1.65,---,0.030,0.24-0.33,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,EN 10087:1998,44SMnPb28,1.0763,---,0.40-0.48,1.30-1.70,0.40,0.06,0.24-0.33,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,EN 10277-3:1999,44SMnPb28,1.0763,---,0.40-0.48,1.30-1.70,0.40,0.06,0.24-0.33,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ASTM A 29/A 29M-03,11 L 46,---,G11464,0.42-0.49,0.70-1.00,---,0.040,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,ASTM A 576-90b (2000),11 L 46,---,G11464,0.42-0.49,0.70-1.00,---,0.040,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,SAE J403-NOV01,11L46,---,G11464,0.42-0.49,0.70-1.00,---,0.030,0.08-0.13,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,EN 10087:1998,46SPb20,1.0757,---,0.42-0.50,0.70-1.10,0.40,0.06,0.15-0.25,---,---,---,Pb 0.15-0.35
9.1.3 Chemical Composition of Resulfurized and Leaded Carbon Steels for Free-Machining Applications,EN 10277-3:1999,46SPb20,1.0757,---,0.42-0.50,0.70-1.10,0.40,0.06,0.15-0.25,---,---,---,Pb 0.15-0.35
