Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,ASTM A 29/A 29M-03,12 L 13,---,G12134,0.13,0.70-1.00,---,0.07-0.12,0.24-0.33,---,---,---,Pb 0.15-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,ASTM A 576-90b (2000),12 L 13,---,G12134,0.13,0.70-1.00,---,0.07-0.12,0.24-0.33,---,---,---,Pb 0.15-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,SAE J403-NOV01,12L13,---,G12134,0.13,0.70-1.00,---,0.07-0.12,0.24-0.33,---,---,---,Pb 0.15-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,JIS G 4804:1999,SUM 22 L,---,---,0.13,0.70-1.00,---,0.07-0.12,0.24-0.33,---,---,---,Pb 0.10-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,EN 10087:1998,11SMnPb30,1.0718,---,0.14,0.90-1.30,0.05,0.11,0.27-0.33,---,---,---,Pb 0.20-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,EN 10277-3:1999,11SMnPb30,1.0718,---,0.14,0.90-1.30,0.05,0.11,0.27-0.33,---,---,---,Pb 0.20-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,ISO 683-9:1988,11 SMnPb 28,---,---,0.14,0.90-1.30,0.05,0.11,0.24-0.33,---,---,---,Pb 0.15-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,ASTM A 29/A 29M-03,12 L 14,---,G12144,0.15,0.85-1.15,---,0.04-0.09,0.26-0.35,---,---,---,Pb 0.15-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,ASTM A 576-90b (2000),12 L 14,---,---,0.15,0.85-1.15,---,0.04-0.09,0.26-0.35,---,---,---,Pb 0.15-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,SAE J403-NOV01,12L14,---,G12144,0.15,0.85-1.15,---,0.04-0.09,0.26-0.35,---,---,---,Pb 0.15-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,JIS G 4804:1999,SUM 24 L,---,---,0.15,0.85-1.15,---,0.04-0.09,0.26-0.35,---,---,---,Pb 0.10-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,ASTM A 29/A 29M-03,12 L 15,---,G12154,0.09,0.75-1.05,---,0.04-0.09,0.26-0.35,---,---,---,Pb 0.15-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,ASTM A 576-90b (2000),12 L 15,---,G12154,0.09,0.75-1.05,---,0.04-0.09,0.26-0.35,---,---,---,Pb 0.15-0.35
9.1.4-9.1.5 Chemical Composition of Rephosphorized/Resulfurized/Leaded Carbon Steels and Free-Machining Stainless Steels,SAE J403-NOV01,12L15,---,G12154,0.09,0.75-1.05,---,0.04-0.09,0.26-0.35,---,---,---,Pb 0.15-0.35
