Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 682/A 682M-02,1040,---,G10400,0.37-0.44,0.60-0.90,0.15-0.30,0.035,0.040,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 689-97 (2000),1040,---,G10400,0.37-0.44,0.60-0.90,0.15-0.30,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,EN 10089:2002,38Si7,1.5023,---,0.35-0.42,0.50-0.80,1.50-1.80,0.025,0.025,---,---,---,Cu+10Sn see standard
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 682/A 682M-02,1050,---,G10500,0.48-0.55,0.60-0.90,0.15-0.30,0.035,0.040,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 689-97 (2000),1050,---,G10500,0.48-0.55,0.60-0.90,0.15-0.30,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,JIS G 4802:1999,S50C-CSP,---,---,0.47-0.53,0.60-0.90,0.15-0.35,0.030,0.035,0.20,0.20,---,Cu 0.30; Ni+Cr 0.35
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,EN 10089:2002,46Si7,1.5024,---,0.42-0.50,0.50-0.80,1.50-2.00,0.025,0.025,---,---,---,Cu+10Sn see standard
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 682/A 682M-02,1055,---,G10550,0.50-0.60,0.60-0.90,0.15-0.30,0.035,0.040,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 689-97 (2000),1055,---,G10550,0.50-0.60,0.60-0.90,0.15-0.30,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 713-04,1055,---,G10550,0.50-0.60,0.60-0.90,---,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,JIS G 4802:1999,S55C-CSP,---,---,0.52-0.58,0.60-0.90,0.15-0.35,0.030,0.035,0.20,0.20,---,Cu 0.30; Ni+Cr 0.35
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,EN 10089:2002,56Si7,1.5026,---,0.52-0.60,0.60-0.90,1.60-2.00,0.025,0.025,---,---,---,Cu+10Sn see standard
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,EN 10132-4:2000,C55S,1.1204,---,0.52-0.60,0.60-0.90,0.15-0.35,0.025,0.025,0.40,0.40,0.10,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 682/A 682M-02,1060,---,G10600,0.55-0.65,0.60-0.90,0.15-0.30,0.035,0.040,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 689-97 (2000),1060,---,G10600,0.55-0.65,0.60-0.90,0.15-0.30,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 713-04,1060,---,G10600,0.55-0.65,0.60-0.90,---,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,JIS G 4802:1999,S60C-CSP,---,---,0.55-0.65,0.60-0.90,0.15-0.35,0.030,0.035,0.20,0.20,---,Cu 0.30; Ni+Cr 0.35
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,EN 10132-4:2000,C60S,1.1211,---,0.57-0.65,0.60-0.90,0.15-0.35,0.025,0.025,0.40,0.40,0.10,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 682/A 682M-02,1064,---,G10640,0.60-0.70,0.50-0.80,0.15-0.30,0.035,0.040,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 682/A 682M-02,1065,---,G10650,0.60-0.70,0.60-0.90,0.15-0.30,0.035,0.040,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 713-04,1064,---,G10640,0.60-0.70,0.50-0.80,---,0.035,0.040,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 713-04,1065,---,G10650,0.60-0.70,0.60-0.90,---,0.035,0.040,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,JIS G 4802:1999,S65C-CSP,---,---,0.60-0.70,0.60-0.90,0.15-0.35,0.030,0.035,0.20,0.20,---,Cu 0.30; Ni+Cr 0.35
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 682/A 682M-02,1070,---,G10700,0.65-0.75,0.60-0.90,0.15-0.30,0.035,0.040,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 689-97 (2000),1070,---,G10700,0.65-0.75,0.60-0.90,0.15-0.30,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 713-04,1070,---,G10700,0.65-0.75,0.60-0.90,---,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,JIS G 4802:1999,S70C-CSP,---,---,0.65-0.75,0.60-0.90,0.15-0.35,0.030,0.035,0.20,0.20,---,Cu 0.30; Ni+Cr 0.35
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,EN 10132-4:2000,C67S,1.1231,---,0.65-0.73,0.60-0.90,0.15-0.35,0.025,0.025,0.40,0.40,0.10,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 682/A 682M-02,1074,---,G10740,070-0.80,0.50-0.80,0.15-0.30,0.035,0.040,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 713-04,1074,---,G10740,070-0.80,0.50-0.80,---,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,EN 10132-4:2000,C75S,1.1248,---,0.70-0.80,0.60-0.90,0.15-0.35,0.025,0.025,0.40,0.40,0.10,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 689-97 (2002),1078,---,G10780,0.72-0.85,0.30-0.60,---,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 713-04,1078,---,G10780,0.72-0.85,0.30-0.60,---,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,JIS G 4801:1984,SUP 3,---,---,0.75-0.90,0.30-0.60,0.15-0.35,0.035,0.035,---,---,---,Cu 0.30
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 682/A 682M-02,1085,---,G10850,0.80-0.95,0.70-1.00,0.15-0.30,0.035,0.040,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 713-04,1084,---,G10840,0.80-0.93,0.60-0.90,0.15-0.30,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,JIS G 4802:1999,SK5-CSP,---,---,0.80-0.90,0.50,0.35,0.030,0.030,0.30,0.25,---,Cu 0.25
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,EN 10132-4:2000,C85S,1.1269,---,0.80-0.90,0.40-0.70,0.15-0.35,0.025,0.025,0.40,0.40,0.10,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 682/A 682M-02,1086,---,G10860,0.80-0.93,0.30-0.50,0.15-0.30,0.035,0.040,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 713-04,1086,---,G10860,0.80-0.93,0.30-0.50,---,0.040,0.050,---,---,---,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,EN 10132-4:2000,C90S,1.1217,---,0.85-0.95,0.40-0.70,0.15-0.35,0.025,0.025,0.40,0.40,0.10,---
9.2.1 Chemical Composition of Cold Rolled Carbon Spring Steels,ASTM A 682/A 682M-02,1095,---,G10950,0.90-1.03,0.30-0.50,0.15-0.30,0.035,0.040,---,---,---,---
